"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
200	0.8239957	1.0000000	0.4614712	0.0325210	0.3971757	0.7330314	0.6187068	0.1227471	0.0066255	0.1804284	0.1007769	0.0402923	0.0399447	0.9385485	0.9724665	0.0202024	0.1895562	0.2860133	0.0872915	0.4025662
250	0.8274505	1.0000000	0.4614712	0.0250791	0.3971757	0.8895607	0.6931616	0.1217087	0.0021295	0.1802285	0.0983473	0.0402916	0.0399447	0.9623616	0.9724675	0.0202024	0.1888108	0.2743375	0.0835044	0.4025662
300	0.8290745	1.0000000	0.4614712	0.0223055	0.3971757	0.9572982	0.7272825	0.1213015	0.0006767	0.1801671	0.0974867	0.0402913	0.0399447	0.9737819	0.9724679	0.0202023	0.1885682	0.2690105	0.0818815	0.4025661
350	0.8298124	1.0000000	0.4614712	0.0212912	0.3971757	0.9834265	0.7414127	0.1211418	0.0002144	0.1801489	0.0971887	0.0402912	0.0399447	0.9791170	0.9724681	0.0202023	0.1884900	0.2666604	0.0811861	0.4025661
400	0.8301396	1.0000000	0.4614712	0.0209241	0.3971757	0.9928816	0.7469302	0.1210792	0.0000684	0.1801436	0.0970869	0.0402911	0.0399447	0.9815681	0.9724682	0.0202023	0.1884649	0.2656476	0.0808881	0.4025661
450	0.8302823	1.0000000	0.4614712	0.0207921	0.3971757	0.9961747	0.7490060	0.1210546	0.0000225	0.1801421	0.0970524	0.0402911	0.0399447	0.9826819	0.9724683	0.0202023	0.1884569	0.2652186	0.0807604	0.4025661
500	0.8303435	1.0000000	0.4614712	0.0207447	0.3971757	0.9972947	0.7497677	0.1210450	0.0000081	0.1801417	0.0970408	0.0402911	0.0399447	0.9831843	0.9724683	0.0202023	0.1884543	0.2650393	0.0807057	0.4025661
550	0.8150576	1.0000000	0.4614712	0.1165535	0.3971757	0.9642811	0.8191883	0.1493800	0.1453249	0.1846896	0.1332103	0.0402911	0.0399447	0.8775278	0.9724683	0.0202023	0.2073393	0.3233239	0.1421338	0.4025661
600	0.7953007	1.0000000	0.4614712	0.2112269	0.3971757	0.6592383	0.7427789	0.1663821	0.2522857	0.1887494	0.1680817	0.0402911	0.0399447	0.7426003	0.9724683	0.0202023	0.2229095	0.3965627	0.1880330	0.4025661
650	0.7824148	1.0000000	0.4614712	0.2577432	0.3971757	0.3427318	0.5642584	0.1731304	0.2761387	0.1904928	0.1846432	0.0402910	0.0399447	0.6550869	0.9724683	0.0202023	0.2292787	0.4428732	0.2085558	0.4025661
700	0.7754412	1.0000000	0.4614712	0.2770206	0.3971757	0.1692206	0.4328621	0.1757777	0.2716514	0.1911105	0.1912340	0.0402910	0.0399447	0.6075784	0.9724683	0.0202023	0.2315179	0.4671746	0.2173873	0.4025661
750	0.7719878	1.0000000	0.4614712	0.2844622	0.3971757	0.0927941	0.3618908	0.1768158	0.2639963	0.1913104	0.1936636	0.0402910	0.0399447	0.5837752	0.9724683	0.0202023	0.2322633	0.4788480	0.2211733	0.4025661
800	0.7703644	1.0000000	0.4614712	0.2872357	0.3971757	0.0623634	0.3284692	0.1772229	0.2589286	0.1913718	0.1945242	0.0402910	0.0399447	0.5723593	0.9724683	0.0202023	0.2325059	0.4841741	0.2227957	0.4025661
850	0.7696268	1.0000000	0.4614712	0.2882500	0.3971757	0.0508852	0.3138694	0.1773825	0.2562921	0.1913900	0.1948221	0.0402910	0.0399447	0.5670262	0.9724683	0.0202023	0.2325841	0.4865238	0.2234909	0.4025661
900	0.7692996	1.0000000	0.4614712	0.2886170	0.3971757	0.0466887	0.3077824	0.1774451	0.2550709	0.1913953	0.1949239	0.0402910	0.0399447	0.5645760	0.9724683	0.0202023	0.2326092	0.4875364	0.2237888	0.4025661
950	0.7691571	1.0000000	0.4614712	0.2887490	0.3971757	0.0451825	0.3053236	0.1774697	0.2545428	0.1913968	0.1949584	0.0402910	0.0399447	0.5634625	0.9724683	0.0202023	0.2326172	0.4879653	0.2239165	0.4025661
1000	0.7690958	1.0000000	0.4614712	0.2887964	0.3971757	0.0446478	0.3043526	0.1774793	0.2543245	0.1913972	0.1949700	0.0402910	0.0399447	0.5629603	0.9724683	0.0202023	0.2326198	0.4881446	0.2239712	0.4025661

0	0.7690122	1.0000000	0.4614713	0.2888259	0.3971757	0.0443361	0.3036893	0.1775033	0.2541609	0.1913976	0.1949777	0.0403240	0.0399484	0.5625084	0.9724241	0.0202075	0.2326217	0.4882894	0.2240297	0.4025721
50	0.7777506	1.0000000	0.4614712	0.2888238	0.3971757	0.0443489	0.3037224	0.1774925	0.1562217	0.1913974	0.1949765	0.0403055	0.0399460	0.6572313	0.9724484	0.0202042	0.2326212	0.3892041	0.1728106	0.4025684
100	0.7890121	1.0000000	0.4614712	0.2888231	0.3971757	0.0443538	0.3037356	0.1774882	0.0725106	0.1913974	0.1949761	0.0402974	0.0399452	0.7780082	0.9724594	0.0202030	0.2326211	0.2648125	0.1345491	0.4025670
150	0.7963534	1.0000000	0.4614712	0.2888228	0.3971757	0.0443557	0.3037408	0.1774866	0.0373767	0.1913974	0.1949760	0.0402938	0.0399448	0.8563230	0.9724643	0.0202026	0.2326210	0.1861697	0.1174414	0.4025664
