"Time"	gadX	torR	hdeA	hdeB	yhiD
200	0.2138584	0.6216620	0.3819942	0.6566045	0.4484052
250	0.1007580	0.7166099	0.4810678	0.5807798	0.3626427
300	0.1482507	0.6272731	0.4868195	0.7032670	0.3508322
350	0.1444783	0.7421191	0.4857215	0.6636507	0.3381772
400	0.2145146	0.8010109	0.4870187	0.6779453	0.4083818
450	0.1313579	0.6478392	0.4811956	0.5446286	0.3807738
500	0.1755026	0.6444022	0.5410508	0.6597915	0.3146210
550	0.1862815	0.5886247	0.4171936	0.6566273	0.3465280
600	0.1563892	0.6993296	0.5850171	0.5966957	0.2981659
650	0.1610378	0.6499179	0.4386313	0.6753285	0.3386680
700	0.1180331	0.6986331	0.4106497	0.7125851	0.3321952
750	0.1735095	0.6411105	0.4469618	0.6703402	0.3646463
800	0.1368907	0.6761323	0.4743579	0.5488318	0.3076113
850	0.0959307	0.6190708	0.5070243	0.5943305	0.2979187
900	0.1661515	0.6669145	0.5250266	0.7037240	0.3013482
950	0.2020754	0.6668089	0.4220877	0.7439594	0.2628767
1000	0.1399514	0.7452202	0.5031205	0.6029783	0.3095530

0	0.1570499	0.6996673	0.5607883	0.6809381	0.3613610
50	0.1895285	0.5695941	0.6386544	0.6121927	0.4113625
100	0.1968974	0.3484218	0.5210657	0.6760448	0.3602016
150	0.2484271	0.2034213	0.3664362	0.5766695	0.3611337
200	0.2854391	0.2135031	0.3159816	0.6747793	0.1861626
250	0.3957577	0.2407206	0.3540016	0.5555163	0.2465035
300	0.3573748	0.1776425	0.2547700	0.5703429	0.1722118
350	0.3566284	0.2308308	0.2938338	0.4329195	0.2256492
400	0.3399183	0.1702625	0.2646691	0.6499645	0.1793402
450	0.3433073	0.2070472	0.3315029	0.4999603	0.2044321
500	0.4788109	0.1952489	0.2975870	0.4468672	0.1901779
550	0.2724035	0.3221850	0.2385700	0.5487931	0.2866251
600	0.1763964	0.6043019	0.3908499	0.5719308	0.2574689
650	0.2286697	0.5830670	0.3792332	0.5212293	0.3490956
700	0.1438709	0.5765966	0.3771634	0.5986702	0.3410094
750	0.1790402	0.5777998	0.4184880	0.5186915	0.3256520
800	0.1570311	0.7891240	0.4745817	0.6840391	0.3713530
850	0.1941210	0.7108946	0.4356436	0.6118953	0.2907534
900	0.1367275	0.5782425	0.5878005	0.6905825	0.2993640
950	0.2048029	0.7362932	0.5308887	0.5034311	0.2798282
1000	0.1839734	0.6244764	0.5498950	0.4963280	0.3867545

0	0.1517566	0.6425896	0.4561595	0.6043109	0.3431124
50	0.1483463	0.6033979	0.4757565	0.6126686	0.3795024
100	0.1729425	0.7192948	0.6256432	0.6610092	0.3949955
150	0.1938944	0.6218080	0.5363969	0.6614394	0.3647850
200	0.1779869	0.6507153	0.4309920	0.6031212	0.3694399
250	0.1430784	0.6556628	0.5526266	0.6044451	0.3797358
300	0.1264031	0.5204176	0.5688862	0.5579024	0.4406210
350	0.1832456	0.7301829	0.4491937	0.5814143	0.3651555
400	0.1464211	0.7593971	0.5642045	0.5701613	0.4009564
450	0.1394726	0.6047405	0.7046253	0.5886796	0.3614210
500	0.2039880	0.6990374	0.6133425	0.5030230	0.3437992
550	0.1655135	0.5561115	0.4345327	0.6075797	0.3422722
600	0.1446969	0.7218611	0.5024410	0.6930771	0.4575802
650	0.1959955	0.6884139	0.5285561	0.6470718	0.3149208
700	0.2326298	0.8415245	0.5034164	0.6087427	0.3234463
750	0.1357007	0.6667291	0.5186103	0.5931619	0.2794734
800	0.1253433	0.5574355	0.4317489	0.6230239	0.3319527
850	0.1511528	0.6383944	0.4388997	0.5863765	0.2384587
900	0.1458318	0.7737991	0.5098440	0.6404048	0.3339385
950	0.1312218	0.6509559	0.4543332	0.5896268	0.3904492
