"Time"	gadX	torR	hdeA	hdeB	yhiD
150	0.4584811	0.2402517	0.5043052	0.8708068	0.3753891
200	0.5212877	0.2371476	0.4392327	0.8034347	0.3077790
250	0.5530959	0.2366205	0.4154230	0.7513165	0.2899532
300	0.5668961	0.2365310	0.4110783	0.7250559	0.2921573
350	0.5724121	0.2365158	0.4122869	0.7143048	0.2972257
400	0.5745275	0.2365132	0.4139721	0.7103211	0.3006739
450	0.5753227	0.2365127	0.4150589	0.7089113	0.3024588
500	0.5756188	0.2365127	0.4156195	0.7084210	0.3032711
550	0.4621287	0.8703455	0.4978318	0.8422103	0.4296718
600	0.3292863	0.9779822	0.6250703	0.9116774	0.5416789
650	0.2743335	0.9962610	0.6939899	0.9223968	0.5533680
700	0.2546226	0.9993650	0.7248864	0.9217599	0.5483204
750	0.2475736	0.9998922	0.7378672	0.9203468	0.5446595
800	0.2450144	0.9999817	0.7431178	0.9195419	0.5429849
850	0.2440755	0.9999969	0.7451880	0.9191780	0.5423048
900	0.2437294	0.9999995	0.7459897	0.9190280	0.5420406
950	0.2436015	0.9999999	0.7462963	0.9189690	0.5419400
1000	0.2435543	1.0000000	0.7464125	0.9189463	0.5419021

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.2435266	1.0000000	0.8132340	0.9189346	0.5418861
100	0.2435266	1.0000000	0.8318614	0.9189331	0.5418811
150	0.2435266	1.0000000	0.8370593	0.9189327	0.5418798
200	0.2435266	1.0000000	0.8385098	0.9189326	0.5418795
250	0.2435266	1.0000000	0.8389145	0.9189326	0.5418795
300	0.2435266	1.0000000	0.8390274	0.9189326	0.5418794
350	0.2435266	1.0000000	0.8390590	0.9189326	0.5418794
400	0.2435266	1.0000000	0.8390678	0.9189326	0.5418794
450	0.2435266	1.0000000	0.8390702	0.9189326	0.5418794
500	0.2435266	1.0000000	0.8390709	0.9189326	0.5418794
550	0.2435266	1.0000000	0.7723191	0.9189326	0.5418794
600	0.2435266	1.0000000	0.7536920	0.9189326	0.5418794
650	0.2435266	1.0000000	0.7484942	0.9189326	0.5418794
700	0.2435266	1.0000000	0.7470437	0.9189326	0.5418794
750	0.2435266	1.0000000	0.7466390	0.9189326	0.5418794
800	0.2435266	1.0000000	0.7465260	0.9189326	0.5418794
850	0.2435266	1.0000000	0.7464945	0.9189326	0.5418794
900	0.2435266	1.0000000	0.7464857	0.9189326	0.5418794
950	0.2435266	1.0000000	0.7464833	0.9189326	0.5418794
1000	0.2435266	1.0000000	0.7464826	0.9189326	0.5418794

0	0.2435266	1.0000000	0.7464808	0.9189397	0.5419059
50	0.1819786	1.0000000	0.7460702	0.9179574	0.5399065
100	0.1739067	1.0000000	0.7454288	0.9163107	0.5369923
150	0.1728481	1.0000000	0.7450939	0.9154301	0.5356062
200	0.1727093	1.0000000	0.7449615	0.9150959	0.5351153
250	0.1726911	1.0000000	0.7449151	0.9149876	0.5349623
300	0.1726887	1.0000000	0.7448998	0.9149554	0.5349181
350	0.1726884	1.0000000	0.7448950	0.9149465	0.5349059
400	0.1726883	1.0000000	0.7448935	0.9149440	0.5349026
450	0.1726883	1.0000000	0.7448931	0.9149434	0.5349018
500	0.1726883	1.0000000	0.7448930	0.9149432	0.5349015
550	0.2342363	1.0000000	0.7451343	0.9158081	0.5361627
600	0.2423082	1.0000000	0.7457250	0.9174322	0.5389367
650	0.2433668	1.0000000	0.7461579	0.9183787	0.5407466
700	0.2435056	1.0000000	0.7463627	0.9187552	0.5415083
750	0.2435238	1.0000000	0.7464419	0.9188804	0.5417688
800	0.2435262	1.0000000	0.7464694	0.9189181	0.5418484
850	0.2435265	1.0000000	0.7464783	0.9189287	0.5418711
900	0.2435266	1.0000000	0.7464811	0.9189316	0.5418772
950	0.2435266	1.0000000	0.7464819	0.9189323	0.5418789
1000	0.2435266	1.0000000	0.7464822	0.9189325	0.5418793

