"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
1000	0.4258894	0.1878793	0.9105660	0.0303934	0.0276779	0.0357841	0.3405947	0.1540938	0.0622680	0.0350556	0.1705908	0.6563401	0.0417376	0.2652676	0.6753393	0.0163429	0.0679945	0.2750963	0.0820043	0.4901406

0	0.5891176	0.1836955	0.7792656	0.0592914	0.0166588	0.0752038	0.4878426	0.2171315	0.0921635	0.0535510	0.2773275	0.6015301	0.0292584	0.3232269	0.5788499	0.0093481	0.0690184	0.4050926	0.0366982	0.4831259
50	0.4974342	0.1640999	0.7195701	0.0149864	0.0510316	0.2204644	0.3737558	0.1998344	0.0462020	0.0423218	0.2730576	0.6817595	0.0274152	0.3360628	0.7392820	0.0023073	0.0487282	0.4058800	0.0586856	0.4293255
100	0.4685601	0.2280356	0.4391351	0.0379699	0.0218388	0.3245456	0.3849561	0.1171110	0.0704999	0.0466571	0.2578446	0.6727631	0.0846603	0.4577805	0.6832785	0.0042714	0.0733958	0.3383099	0.0911962	0.4431071
150	0.6167370	0.2847799	0.4063195	0.0698765	0.0344437	0.4741941	0.4121414	0.2100509	0.1241373	0.0987432	0.4168980	0.7985117	0.0531581	0.4844601	0.7184832	0.0041213	0.1164790	0.3609057	0.0880881	0.4703007
200	0.6770019	0.3074394	0.2687498	0.0607288	0.0549248	0.5562625	0.4854381	0.2539131	0.1995576	0.0945590	0.3436077	0.7392603	0.0933646	0.6000458	0.7420373	0.0020495	0.1191024	0.4863184	0.1363819	0.4925957
250	0.6430915	0.4242544	0.3500821	0.0979836	0.0817354	0.6006211	0.6884137	0.2942474	0.2407306	0.1388950	0.3319357	0.6807157	0.1451896	0.6668117	0.6336596	0.0094725	0.2249100	0.6910701	0.2020860	0.5699039
300	0.7063913	0.4567098	0.3429831	0.0733949	0.0943829	0.6569244	0.6889813	0.3635006	0.3295153	0.1492270	0.3550336	0.8852904	0.1146490	0.6414980	0.7793314	0.0253254	0.2230449	0.7311126	0.1607122	0.5058960
350	0.5601280	0.4603582	0.3807577	0.0446908	0.0947915	0.6092116	0.8027200	0.4375315	0.4811848	0.1521675	0.4211321	0.8555092	0.1246062	0.6624490	0.6768368	0.0146404	0.3219804	0.5641632	0.1773169	0.5958495
400	0.7467729	0.4911187	0.3572455	0.0556041	0.0803431	0.6374237	0.6735054	0.6280584	0.5009580	0.1604307	0.3502298	0.8552117	0.1393802	0.6716367	0.6839247	0.0134702	0.2512952	0.6676019	0.1850734	0.5092216
450	0.6924812	0.4904298	0.3825180	0.0739076	0.1006452	0.6861481	0.7098624	0.5318385	0.4181377	0.2121820	0.4760815	0.7153300	0.1747145	0.7233724	0.7988002	0.0215568	0.2888319	0.7295571	0.2823017	0.4864528
500	0.7638199	0.5175922	0.3603820	0.1317994	0.0893449	0.7887366	0.6989365	0.6122836	0.4377559	0.1555106	0.4742507	0.6746924	0.1263006	0.7118149	0.6018538	0.0100361	0.2869987	0.7216705	0.2952826	0.5311828
550	0.7787415	0.3748063	0.4073670	0.0854095	0.0690234	0.5101765	0.6976066	0.6100216	0.5053194	0.2004238	0.3997204	0.8797270	0.1633371	0.7327737	0.6494356	0.0371121	0.3659304	0.8312987	0.1994359	0.5740499
600	0.6315291	0.5186232	0.5781205	0.0383869	0.0806484	0.5864091	0.6567846	0.5743406	0.5610304	0.0694977	0.5913186	0.6755058	0.1099116	0.6123621	0.8070172	0.0099309	0.3155464	0.6191577	0.2549119	0.6380454
650	0.7314022	0.3930445	0.6868693	0.0426705	0.1011557	0.4157393	0.7078283	0.5073612	0.4357134	0.0354462	0.4995200	0.6482172	0.0684907	0.5516649	0.5982996	0.0241957	0.1927481	0.6624226	0.2370165	0.4609184
700	0.6172066	0.3650164	0.7855716	0.0205090	0.1109380	0.5081807	0.6691257	0.4926874	0.4219186	0.0266208	0.4053123	0.7003264	0.0622466	0.5159265	0.6889846	0.0301163	0.1514457	0.6788388	0.2422228	0.4915600
750	0.7262681	0.2230507	0.6458749	0.0324375	0.0982011	0.2756156	0.5877928	0.3125104	0.2603500	0.0228605	0.4309503	0.7275183	0.0530846	0.4372748	0.7418700	0.0104614	0.1717579	0.5856553	0.1321506	0.4754901
800	0.5369595	0.1722983	0.8473714	0.0326523	0.0534193	0.2426743	0.5498755	0.2806084	0.1171003	0.0446490	0.3665716	0.6842281	0.0262161	0.4115829	0.7467973	0.0120983	0.1885010	0.5886395	0.0677712	0.4648668
850	0.5226113	0.1858179	0.7786478	0.0699627	0.0379188	0.1480923	0.5244346	0.1870165	0.0908773	0.0162408	0.3436167	0.7425768	0.0278638	0.4350488	0.6651814	0.0026722	0.0935910	0.4074687	0.0616301	0.3535120
900	0.4787744	0.1876687	0.6410839	0.1046479	0.0393477	0.0537008	0.3484546	0.1912291	0.0872456	0.0485747	0.2637845	0.8578340	0.0308599	0.3945305	0.5696620	0.0030915	0.1039096	0.3008526	0.0727896	0.4579283
950	0.5427696	0.1993178	0.6810166	0.0356987	0.0093800	0.0474661	0.4121227	0.2343128	0.0664210	0.0099566	0.1873673	0.7521040	0.0385658	0.3140896	0.7034566	0.0002804	0.0648169	0.3282958	0.0504846	0.3222082
1000	0.4332702	0.1307787	0.7650496	0.0263574	0.0145724	0.0888667	0.4090392	0.2080470	0.0765972	0.0433857	0.2261544	0.7877503	0.0526314	0.3694552	0.7252294	0.0061846	0.0510897	0.4234049	0.0566025	0.6263919

0	0.4470457	0.1351749	0.6786861	0.0583346	0.0412569	0.0979969	0.4868675	0.1812170	0.1074127	0.0532927	0.2551918	0.6985605	0.0491207	0.3355583	0.6883532	0.0012094	0.0970589	0.3923569	0.0845357	0.3871636
50	0.5651028	0.1306634	0.7200221	0.0301333	0.0175206	0.1059954	0.5180694	0.1726742	0.0635778	0.0509454	0.4176158	0.7331018	0.0650696	0.2727586	0.5911054	0.1862996	0.0620178	0.3553309	0.0454717	0.4433347
100	0.6380268	0.1721673	0.6373739	0.0160041	0.0072941	0.1261864	0.6557963	0.1393436	0.0365156	0.0351904	0.4934187	0.7014075	0.1069131	0.2826684	0.5834949	0.3106009	0.0673711	0.3544088	0.0881572	0.4179945
150	0.7125192	0.1644564	0.6382473	0.0166417	0.0058862	0.1243993	0.4755676	0.2233436	0.0430348	0.0404540	0.5700508	1.0185358	0.0610087	0.3183042	0.6423202	0.3818013	0.0695360	0.3861477	0.0547269	0.4029837
200	0.6556433	0.1523817	0.7511687	0.0392741	0.0011358	0.1278401	0.5077578	0.2458843	0.0473157	0.0063842	0.7398969	0.8130290	0.0411542	0.2743299	0.7743828	0.4009108	0.0600696	0.3849102	0.0613718	0.4378586
250	0.6886309	0.1380190	0.8383520	0.0809246	0.0056872	0.0666806	0.5992358	0.2105239	0.0533396	0.0243667	0.6229515	0.7256480	0.1148331	0.2711231	0.6668329	0.4647740	0.0683720	0.2991239	0.0361060	0.4214912
