"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
950	0.7993534	0.2300285	1.0122529	0.0349331	0.0351901	0.2499501	0.9005418	0.3390769	0.1248793	0.0407930	0.4917612	1.0039945	0.0799681	0.4858572	0.9637205	0.0049616	0.1463794	0.6533002	0.1529629	0.5668598
1000	0.7586984	0.2510736	0.9806249	0.0374926	0.0229174	0.1715630	0.7231954	0.2845370	0.1081025	0.0225858	0.4782603	1.0288597	0.0980775	0.4262078	0.9670360	0.0083977	0.1131756	0.5962655	0.1229911	0.6312227

0	0.7935601	0.2607611	1.0095953	0.0533262	0.0443207	0.1041409	0.6966857	0.2363415	0.1261324	0.0576936	0.3635871	0.9908147	0.0804276	0.4543911	1.0319497	0.0076167	0.1073224	0.5470053	0.0822185	0.5866606
50	0.6533235	0.2410566	0.6920510	0.0445684	0.0329039	0.1258393	0.7176432	0.1973711	0.1197753	0.7861268	0.4380469	1.0340763	0.0541454	0.3896695	0.9769432	0.0136044	0.1128111	0.4191918	0.0754572	0.8674852
100	0.7092266	0.4237416	0.4536654	0.0471261	0.0216872	0.1166328	0.8757019	0.2418525	0.1079839	0.9118367	0.3673410	0.9872013	0.0871541	0.4409389	1.0085071	0.0081771	0.1679700	0.4267602	0.0816555	0.9995001
150	0.8855397	0.5687735	0.3515564	0.0657063	0.0640678	0.1859775	1.0472316	0.3663693	0.2324546	0.9478690	0.3758966	0.9253418	0.1351452	0.5778638	1.0094578	0.0153807	0.2756385	0.6470495	0.1330504	0.8417630
200	0.9207288	0.7904273	0.3716526	0.1074852	0.1299055	0.3369913	0.9491230	0.4922222	0.4305058	0.9439941	0.4747999	0.9713033	0.1991707	0.6489981	1.0013927	0.0166924	0.3706012	0.7927991	0.2193252	1.0175480
250	0.9849304	0.9463612	0.4138252	0.2157602	0.2220620	0.5267335	1.0046532	0.6385908	0.6684225	0.9861141	0.5889244	0.9876517	0.3009873	0.6401286	1.0935470	0.0238354	0.4500828	0.8820392	0.3502271	0.9708106
300	1.0400617	0.8433885	0.3935580	0.2233357	0.2495105	0.6836092	1.0358964	0.7811164	0.7314937	0.9550764	0.6791890	0.8620972	0.3755692	0.6598438	0.9735237	0.0124817	0.5392304	0.9623836	0.4154038	1.0013056
350	0.9509195	0.8067245	0.3531988	0.2083358	0.2732069	0.7165327	1.0621079	0.8208577	0.7309384	0.8769858	0.6769797	0.9898825	0.3534178	0.6883547	0.9498637	0.0202076	0.4940863	1.0045773	0.4204215	0.9606596
400	0.9400678	0.8798767	0.3862011	0.2206583	0.2759756	0.7715215	0.9820941	0.7969065	0.8381211	0.9258944	0.6135707	0.9837867	0.3455710	0.6556241	1.0439195	0.0292469	0.4404279	0.9775759	0.3865006	0.9659936
450	1.0066414	0.8714906	0.4451011	0.2544294	0.2706799	0.7948672	0.9463452	0.8884706	0.7606857	0.9885602	0.7022729	1.0764445	0.3884828	0.7096857	0.9081150	0.0211377	0.5206816	1.0363741	0.4190406	1.0181738
500	1.0305329	0.9006698	0.4173155	0.2096614	0.2289644	0.7365005	1.0336546	0.8778708	0.7095619	1.0014971	0.7149086	1.0676882	0.3211338	0.6649351	0.9186648	0.0258880	0.5078613	0.9359574	0.4003772	0.9621600
550	0.9959395	0.8147270	0.8314676	0.1586543	0.2247639	0.8431257	0.9700368	0.8803511	0.6585268	0.2489789	0.7350067	0.9621150	0.2744565	0.6986614	0.9763385	0.0231837	0.4806487	0.9321810	0.4386225	0.7769152
600	0.9380630	0.5535603	1.0069927	0.0740569	0.2321541	0.7533323	0.9264381	0.7598047	0.5741666	0.0791623	0.5874941	0.9222043	0.1376654	0.6021105	0.9711833	0.0096124	0.3200868	0.9293108	0.4599288	0.7056690
650	0.9965757	0.3975897	1.0115951	0.0584284	0.1669555	0.6607209	0.9346607	0.6994828	0.5908114	0.0323353	0.5634878	1.0567707	0.0712077	0.5519778	1.0375813	0.0076230	0.2723471	0.8599472	0.3707977	0.6947903
700	0.8856819	0.2853492	1.0351097	0.0410087	0.1209227	0.4686687	0.9706143	0.5070707	0.3786852	0.0209811	0.5317080	0.9500276	0.0583259	0.5073291	0.9960119	0.0048315	0.1784305	0.8542457	0.2579872	0.6602747
