"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
650	0.5176836	0.9374537	0.2925088	0.2949641	0.3327057	0.0207130	0.2613521	0.0748062	0.1112791	0.1878752	0.1812237	0.0379562	0.0612915	0.4428974	0.5791879	0.0178159	0.2204152	0.3256081	0.2608703	0.2949848
700	0.6552128	0.7769868	0.3043017	0.2391730	0.2651994	0.0189560	0.2678018	0.1358403	0.0919570	0.1143283	0.1778621	0.0140079	0.0913694	0.3777149	0.7302484	0.0069366	0.2024789	0.4575010	0.2322614	0.4160425
750	0.5555440	0.6174191	0.4047167	0.2340764	0.3369929	0.0227221	0.2680585	0.1567708	0.1809181	0.1679182	0.1365684	0.0266446	0.0198287	0.3544896	0.5684393	0.0154363	0.2035045	0.3819465	0.1908808	0.3032387
800	0.4990816	0.6554984	0.4406218	0.2060404	0.3084001	0.0532743	0.2677786	0.1912485	0.2655367	0.1688201	0.1496991	0.0263285	0.0391772	0.3935027	0.5770108	0.0285771	0.2447466	0.3999149	0.1870849	0.3389897
850	0.5222731	0.7248226	0.4128682	0.2470260	0.3131904	0.0387731	0.2859855	0.1618165	0.2762058	0.1916627	0.1490234	0.0216464	0.0444717	0.5223326	0.7547874	0.0142312	0.2917838	0.2951475	0.1218706	0.3362701
900	0.5233923	0.6603565	0.3636984	0.2434965	0.2867954	0.0261213	0.2317661	0.1663455	0.2481046	0.1829444	0.1538398	0.0226033	0.0567282	0.5284671	0.8856798	0.0245911	0.1355367	0.3859954	0.1284404	0.2165776
950	0.4756248	0.6137279	0.3860916	0.2032323	0.3196657	0.0627568	0.2165887	0.1598039	0.1717059	0.1807888	0.1772563	0.0155769	0.0367538	0.4527352	0.6485140	0.0256814	0.2106455	0.4382703	0.1597144	0.2708662
1000	0.6584245	0.7527745	0.3663303	0.3579432	0.1968670	0.0160269	0.2312105	0.1584019	0.1227939	0.1187644	0.1418416	0.0295493	0.0350261	0.5453846	0.6484085	0.0239587	0.2383160	0.4607465	0.2264481	0.3027183

0	0.5937445	0.6742476	0.3015738	0.2007283	0.3049545	0.0416480	0.2239915	0.1209003	0.1869939	0.1696852	0.1551186	0.0134266	0.0230217	0.4660612	0.7551954	0.0158331	0.2216710	0.3974430	0.1258164	0.3226189
50	0.6472187	0.6580921	0.2544499	0.1821854	0.2754002	0.0494818	0.2392261	0.0666807	0.2116102	0.1399449	0.1811377	0.0408493	0.0271987	0.4385215	0.7288236	0.0031131	0.1478737	0.3557001	0.1671068	0.3011987
100	0.6177867	0.5893628	0.3779530	0.1296727	0.2446094	0.0754492	0.2672352	0.0530564	0.1260610	0.0871110	0.1598025	0.0376720	0.0395912	0.3938200	0.5559756	0.0013336	0.1869428	0.3368957	0.3679160	0.3090466
