"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
650	0.6555314	0.9820899	0.5137961	0.3821565	0.4301775	0.0178183	0.2797053	0.2314291	0.1669491	0.2828306	0.2233974	0.0436047	0.0379823	0.5178282	0.9642183	0.0203930	0.2855406	0.5333924	0.3574379	0.4555085
700	0.7152331	0.9936571	0.4840345	0.3265132	0.4110725	0.0206364	0.2697936	0.2185481	0.1897943	0.2296648	0.2066770	0.0415331	0.0392259	0.5401007	0.9695286	0.0202671	0.2571108	0.5110140	0.2945460	0.4253536
750	0.7448421	0.9977537	0.4704719	0.3033397	0.4027029	0.0260632	0.2729875	0.2026217	0.2137543	0.2065706	0.1995567	0.0407503	0.0396814	0.5523694	0.9714079	0.0202249	0.2432274	0.4990716	0.2590809	0.4118250
800	0.7585427	0.9992045	0.4649111	0.2942700	0.3992942	0.0323078	0.2819881	0.1911046	0.2315994	0.1972314	0.1967147	0.0404591	0.0398482	0.5582073	0.9720845	0.0202103	0.2370230	0.4931955	0.2407957	0.4061884
850	0.7646075	0.9997183	0.4627520	0.2908325	0.3979679	0.0374494	0.2907207	0.1843267	0.2425777	0.1935949	0.1956224	0.0403520	0.0399093	0.5607727	0.9723298	0.0202052	0.2343936	0.4904512	0.2318376	0.4039463
900	0.7672093	0.9999002	0.4619401	0.2895555	0.3974670	0.0407974	0.2967956	0.1807490	0.2485698	0.1922129	0.1952128	0.0403130	0.0399317	0.5618446	0.9724185	0.0202033	0.2333188	0.4892151	0.2275928	0.4030821
950	0.7682996	0.9999647	0.4616410	0.2890876	0.3972816	0.0426587	0.3003218	0.1789849	0.2515880	0.1916966	0.1950619	0.0402989	0.0399399	0.5622772	0.9724505	0.0202027	0.2328910	0.4886727	0.2256278	0.4027563
1000	0.7687483	0.9999875	0.4615323	0.2889179	0.3972139	0.0435900	0.3021514	0.1781551	0.2530241	0.1915062	0.1950069	0.0402938	0.0399429	0.5624474	0.9724619	0.0202025	0.2327240	0.4884394	0.2247334	0.4026355

0	0.7690493	1.0000000	0.4614712	0.2888227	0.3971757	0.0443516	0.3037303	0.1774994	0.2541722	0.1913974	0.1949759	0.0402910	0.0399467	0.5625529	0.9724683	0.0202023	0.2326213	0.4882727	0.2240249	0.4025661
50	0.7194163	0.6192207	0.5150398	0.1751574	0.2890359	0.0675405	0.3435638	0.0927910	0.2641710	0.1424418	0.2201348	0.0451936	0.0399454	0.5607599	0.9599189	0.0035440	0.2026836	0.5067507	0.2793774	0.4412639
100	0.5447453	0.4843681	0.6528406	0.2543511	0.3052162	0.1503239	0.4452269	0.0725393	0.2798124	0.2576772	0.3003001	0.0605263	0.0399450	0.4832951	0.9067110	0.0011435	0.2888299	0.5646101	0.4902160	0.5538288
150	0.3663390	0.4366102	0.7630498	0.3294991	0.3437043	0.1644832	0.5023246	0.0859379	0.2745432	0.3719527	0.3867210	0.0779123	0.0399449	0.4037322	0.8273886	0.0016207	0.4057922	0.6263787	0.6997437	0.6596006
200	0.2547150	0.4196968	0.8208577	0.3634989	0.3716166	0.1298648	0.5289611	0.1106400	0.2566351	0.4276717	0.4455314	0.0902381	0.0399449	0.3523927	0.7630909	0.0026654	0.4908823	0.6707939	0.8264797	0.7240936
250	0.1974719	0.4137070	0.8461431	0.3762159	0.3865372	0.1007519	0.5436182	0.1316240	0.2399356	0.4497615	0.4763984	0.0966992	0.0399450	0.3255305	0.7277036	0.0034622	0.5380194	0.6968753	0.8917292	0.7559113
