"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
400	0.4746646	0.0034319	0.6923083	0.0107094	0.0268880	0.1520570	0.1289628	0.5009574	0.0100400	0.1540600
450	0.6421047	0.0031650	0.5925699	0.0102672	0.0225476	0.1363610	0.1317543	0.4260474	0.0000757	0.1572601
500	0.7122804	0.0004333	0.6987960	0.0046444	0.0595884	0.1147855	0.1189956	0.5466094	0.0009128	0.1195305
550	0.7756759	0.0000000	0.7309605	0.0290696	0.0999803	0.1568618	0.1868527	0.6900580	0.3353318	0.0958988
600	0.7067116	0.0028583	0.6232451	0.0102246	0.1429475	0.1414048	0.1393331	0.7001109	0.3280743	0.0760794
650	0.7064736	0.0039208	0.6870262	0.0321618	0.1448238	0.1498099	0.1374170	0.5801703	0.3460561	0.1073803
700	0.7450576	0.0044527	0.7624335	0.0664443	0.1759455	0.1392849	0.1673820	0.6335772	0.2850774	0.0447109
750	0.6563547	0.0053370	0.7985246	0.0351067	0.1934566	0.1423906	0.1356986	0.6163750	0.3001677	0.0813243
800	0.6454592	0.0068752	0.7263080	0.0615100	0.1466986	0.0871460	0.1519338	0.6674266	0.3012265	0.0953724
850	0.7421101	0.0025068	0.6465567	0.0555309	0.1014538	0.1284316	0.1356194	0.6542461	0.3876769	0.0850581
900	0.6127899	0.0150830	0.7299697	0.0831284	0.1699081	0.1057746	0.1175107	0.5612184	0.3345571	0.1369883
950	0.8138897	0.0009766	0.6059959	0.0570023	0.1820208	0.1540480	0.1087477	0.5631479	0.3499781	0.0886693
1000	0.7207801	0.0008936	0.5553248	0.0483680	0.1277477	0.1474893	0.1583915	0.6016722	0.3490597	0.0747795

0	0.7706045	0.0117476	0.6978462	0.0224019	0.1793014	0.1563595	0.1333036	0.7346887	0.3671947	0.0775815
50	0.1365847	0.0016028	0.6830505	0.0579221	0.0966790	0.0608043	0.0603563	0.4504519	0.3228041	0.0867555
100	0.0586842	0.0015748	0.6865489	0.0842688	0.0545335	0.0694995	0.0164149	0.5404386	0.2963352	0.0727669
150	0.0136436	0.0384669	0.7402116	0.0479697	0.0811310	0.0614779	0.0083093	0.3905311	0.3365250	0.0791079
200	0.0181457	0.2609576	0.7821675	0.0765615	0.0667180	0.0639136	0.0051687	0.3195266	0.3784005	0.0685278
250	0.0248318	0.3932448	0.7589686	0.0486226	0.0385744	0.0610989	0.0003269	0.4662713	0.3235595	0.0621508
300	0.0255536	0.5788005	0.7583072	0.0669520	0.0266047	0.0761336	0.0020579	0.4519856	0.2734412	0.0986251
350	0.0370145	0.5790834	0.6011355	0.0529127	0.0570878	0.0919546	0.0010227	0.4266476	0.3963068	0.0645215
400	0.0566754	0.5430503	0.6546945	0.0250602	0.0285973	0.0669766	0.0015255	0.4474716	0.3700535	0.0784056
450	0.0529126	0.5490172	0.7751943	0.0524054	0.0442570	0.1207655	0.0037215	0.5043896	0.3059094	0.0985235
500	0.0420135	0.6298882	0.6178171	0.0512063	0.0292100	0.0930358	0.0024025	0.3870464	0.2818583	0.0685228
550	0.4876191	0.2376044	0.5575537	0.0758286	0.0995312	0.1185220	0.0913225	0.5881952	0.2806808	0.0609397
600	0.6075604	0.1243433	0.5946758	0.0378354	0.1044812	0.1443844	0.1556968	0.6171754	0.2981223	0.0727084
650	0.6612591	0.0458214	0.5922313	0.0652796	0.1786069	0.1702073	0.1103184	0.6818018	0.3465117	0.0914516
700	0.7491712	0.0143518	0.6519090	0.0321530	0.1109714	0.1790799	0.1152254	0.6065067	0.2935911	0.1121069
750	0.7524579	0.0022335	0.6486826	0.0380257	0.1425874	0.1433685	0.1101894	0.5948317	0.3248315	0.1084234
800	0.7087830	0.0029129	0.6280779	0.0579475	0.1492738	0.1348818	0.1111364	0.6980128	0.3339015	0.0838263
850	0.7209601	0.0080926	0.6280212	0.0364058	0.2025785	0.1378420	0.1549587	0.7944420	0.3083814	0.0952244
900	0.7629950	0.0016017	0.6858047	0.0312302	0.1536358	0.1615501	0.1397953	0.5218660	0.3882840	0.1614567
950	0.7511491	0.0047752	0.6914022	0.0262517	0.1591055	0.1497458	0.1643458	0.6944016	0.3368208	0.0701860
1000	0.7031260	0.0032900	0.6454642	0.0600899	0.1348125	0.1341474	0.1465332	0.7351957	0.3115163	0.1111254

0	0.6570568	0.0041141	0.7808248	0.0359953	0.1634653	0.1559511	0.1529889	0.7631538	0.3498695	0.1237592
50	0.5703402	0.0013477	0.7649854	0.0497093	0.1424161	0.1939462	0.2949350	0.6124618	0.3305619	0.0609105
