"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	1.0000000	0.0035646	1.0000000	0.0676493	0.2240902	0.2082859	0.3197891	0.9990695	0.4772716	0.1279442
100	1.0000000	0.0035645	1.0000000	0.0676480	0.2240796	0.2082798	0.4470511	0.9990704	0.4772832	0.1279319
150	1.0000000	0.0035645	1.0000000	0.0676474	0.2240751	0.2082771	0.5145832	0.9990707	0.4772887	0.1279265
200	1.0000000	0.0035645	1.0000000	0.0676472	0.2240731	0.2082760	0.5442221	0.9990709	0.4772912	0.1279242
250	1.0000000	0.0035645	1.0000000	0.0676471	0.2240723	0.2082755	0.5561083	0.9990709	0.4772923	0.1279232
300	1.0000000	0.0035645	1.0000000	0.0676470	0.2240719	0.2082753	0.5606295	0.9990709	0.4772929	0.1279228
350	1.0000000	0.0035645	1.0000000	0.0676470	0.2240718	0.2082752	0.5622904	0.9990709	0.4772931	0.1279226
400	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.5628857	0.9990710	0.4772932	0.1279226
450	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.5630952	0.9990710	0.4772933	0.1279225
500	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.5631678	0.9990710	0.4772933	0.1279225
550	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.4449332	0.9990710	0.4772933	0.1279225
600	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.3176785	0.9990710	0.4772933	0.1279225
650	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2501488	0.9990710	0.4772933	0.1279225
700	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2205107	0.9990710	0.4772933	0.1279225
750	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2086247	0.9990710	0.4772933	0.1279225
800	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2041036	0.9990710	0.4772933	0.1279225
850	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2024427	0.9990710	0.4772933	0.1279225
900	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2018474	0.9990710	0.4772933	0.1279225
950	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2016380	0.9990710	0.4772933	0.1279225
1000	1.0000000	0.0035645	1.0000000	0.0676470	0.2240717	0.2082752	0.2015653	0.9990710	0.4772933	0.1279225

0	1.0000000	0.0035648	1.0000000	0.0676523	0.2241147	0.2083002	0.2015323	0.9990674	0.4772468	0.1279729
50	1.0000000	0.0035646	1.0000000	0.0479713	0.2239503	0.1745783	0.1524303	0.9991374	0.4779583	0.2965741
