"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
650	0.8791908	0.9948256	0.6528433	0.5887562	0.1479030	0.2701186	0.7916799	0.3883151	0.6405153	0.0669011
700	0.9416862	0.9973608	0.5055277	0.6664501	0.1712358	0.2891691	0.8825762	0.3344359	0.5775106	0.0615227
750	0.9723969	0.9985151	0.3948777	0.7505390	0.2093913	0.3135114	0.9455307	0.2963903	0.5446492	0.0585971
800	0.9870615	0.9990075	0.3229671	0.8225648	0.2606155	0.3410999	0.9758924	0.2728204	0.5408038	0.0572248
850	0.9939657	0.9992138	0.2800756	0.8739617	0.3179769	0.3664529	0.9880365	0.2593146	0.5557363	0.0566215
900	0.9971930	0.9993003	0.2558743	0.9063800	0.3729104	0.3862186	0.9925290	0.2519550	0.5776574	0.0563634
950	0.9986961	0.9993369	0.2427324	0.9252776	0.4192923	0.3999697	0.9941848	0.2480802	0.5984844	0.0562540
1000	0.9993947	0.9993526	0.2357919	0.9357624	0.4547962	0.4088194	0.9948250	0.2460897	0.6147550	0.0562074

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.2285687	0.9474742	0.5231551	0.4672205	0.9953214	0.2441125	0.6435174	0.0371986
100	1.0000000	0.9993649	0.2285675	0.9474778	0.5232863	0.5220725	0.9953216	0.2441108	0.6435549	0.0176972
150	1.0000000	0.9993649	0.2285670	0.9474793	0.5233536	0.5550908	0.9953216	0.2441101	0.6435728	0.0078251
200	1.0000000	0.9993649	0.2285668	0.9474800	0.5233878	0.5717027	0.9953217	0.2441098	0.6435813	0.0036725
250	1.0000000	0.9993649	0.2285667	0.9474803	0.5234050	0.5794098	0.9953217	0.2441097	0.6435852	0.0020682
300	1.0000000	0.9993649	0.2285666	0.9474804	0.5234136	0.5828304	0.9953217	0.2441096	0.6435870	0.0014773
350	1.0000000	0.9993649	0.2285666	0.9474804	0.5234179	0.5843084	0.9953217	0.2441096	0.6435879	0.0012661
400	1.0000000	0.9993649	0.2285666	0.9474805	0.5234200	0.5849363	0.9953217	0.2441096	0.6435883	0.0011920
450	1.0000000	0.9993649	0.2285666	0.9474805	0.5234210	0.5851999	0.9953217	0.2441096	0.6435884	0.0011664
500	1.0000000	0.9993649	0.2285666	0.9474805	0.5234215	0.5853098	0.9953217	0.2441096	0.6435885	0.0011577
550	1.0000000	0.9993649	0.2285666	0.9474805	0.5234218	0.5394468	0.9953217	0.2441096	0.6435886	0.0201281
600	1.0000000	0.9993649	0.2285666	0.9474805	0.5234219	0.4846265	0.9953217	0.2441096	0.6435886	0.0396284
650	1.0000000	0.9993649	0.2285666	0.9474805	0.5234219	0.4516219	0.9953217	0.2441096	0.6435886	0.0495002
700	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4350160	0.9953217	0.2441096	0.6435886	0.0536527
