"Time"	relE	relB	hokD	alaS	ilvN
350	0.0961085	0.9754981	0.1307099	1.0515146	0.9912837
400	0.0993351	1.0244723	0.1117870	0.9984473	0.9159275
450	0.0764095	1.0033786	0.0718485	0.9626449	0.9640017
500	0.0972352	0.9263398	0.0793272	0.9499732	0.9556541
550	0.1003264	0.9688447	0.0906886	1.0417960	0.9350656
600	0.0600338	1.0696185	0.1365800	1.0341031	0.9824472
650	0.0888472	0.9905529	0.1271621	1.0030865	0.9594889
700	0.0692218	0.9834671	0.0965834	1.1355134	0.9699100
750	0.0708704	0.9942616	0.0846324	0.9189383	1.0142349
800	0.0846625	0.9920509	0.0894209	0.9746424	1.0834488
850	0.1089670	0.9933930	0.1051670	1.0096664	1.0605665
900	0.0998887	1.0233528	0.0792667	0.8892695	1.0335946
950	0.1017823	0.9708329	0.1038104	1.0042486	1.0338309
1000	0.0935259	1.0270549	0.0829292	0.9533501	0.9939281

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.1136852	0.9529548	0.0684054	0.9636138	0.5225115
100	0.1012278	1.0061667	0.0983823	1.1211502	0.3421566
150	0.0686073	1.0417105	0.1075424	1.0025351	0.3257494
200	0.0544008	1.0142881	0.0978985	1.0881214	0.2604593
250	0.0946967	1.0498191	0.0975898	0.9808766	0.2554875
300	0.0970996	1.0075247	0.1136297	1.0287392	0.2425328
350	0.0708412	0.9800455	0.1041196	1.0327186	0.2402108
400	0.0778249	0.8677800	0.1096794	1.0166940	0.2744120
450	0.0744622	1.0089440	0.1352048	0.9382110	0.3102769
500	0.0688732	0.9809705	0.1427772	1.0181410	0.2663903
550	0.0957942	1.0137301	0.1027395	1.0140967	0.8118519
600	0.0969519	1.0036723	0.1279730	1.0012734	0.9538104
650	0.0836694	1.0294777	0.1321800	1.0643850	0.9023905
700	0.1025297	1.0227538	0.1228125	1.0473477	0.8410509
750	0.1099186	1.0246513	0.0903734	0.9504286	0.9486099
800	0.0854744	1.0219421	0.1019934	1.0220560	1.0278284
850	0.0979399	1.0159599	0.0555622	0.9816937	1.0335517
900	0.0792151	1.0527245	0.1118249	0.9498421	0.9951812
950	0.0826507	1.1111840	0.0832241	0.9628208	0.9465957
1000	0.0960891	1.0180164	0.1308508	1.0015873	0.9168911

0	0.1017512	1.0140979	0.1183276	1.0197753	0.9573333
50	0.0839429	0.9816631	0.0263477	0.6827458	1.1118325
100	0.1314184	0.9903221	0.0040335	0.6012196	0.9678894
150	0.1028619	1.0154734	0.0011035	0.5590208	0.9814088
200	0.0936505	0.9858549	0.0020046	0.6042827	1.0527538
250	0.0799786	1.0360649	0.0014134	0.6125847	1.1451145
300	0.0888376	0.9966860	0.0056926	0.6958289	0.9925531
350	0.0823321	0.9574949	0.0011925	0.5854520	1.0063571
400	0.0762591	1.0491337	0.0013768	0.5953245	0.9882353
450	0.0936916	1.0102532	0.0000000	0.5868432	0.9379350
500	0.0832152	1.0166661	0.0023140	0.5833640	0.9990959
550	0.1011026	1.0223023	0.0846353	0.8785810	0.9618363
600	0.0902431	1.0163548	0.0913641	1.0041191	0.9328261
650	0.0819881	1.0403374	0.1082874	0.9730404	1.0052240
700	0.0901444	1.0655757	0.0951701	1.0201859	0.9694917
750	0.0837379	1.0032554	0.1119876	1.1088145	0.9980549
800	0.0895179	0.9889285	0.0822475	1.0332407	0.9894407
850	0.0660978	0.8966521	0.0973250	0.9431408	0.9926909
900	0.1341089	1.0959175	0.1041028	0.9968827	0.9888062
950	0.1350738	1.0865463	0.0882944	1.0258925	1.0617678
