"Time"	relE	relB	hokD	alaS	ilvN
300	0.0622793	0.5033324	0.0840738	0.7432942	0.6924447
350	0.0707483	0.5912425	0.0930985	0.5698464	0.6405630
400	0.0553924	0.5867940	0.1042378	0.6604657	0.6313765
450	0.0521782	0.5459856	0.0952942	0.7261112	0.6488486
500	0.0303707	0.5107679	0.1195124	0.8110650	0.6129592
550	0.0617867	0.6561355	0.1528811	0.7373691	0.8075975
600	0.0584414	0.5877464	0.1021296	0.6713787	0.8010824
650	0.0976067	0.6277301	0.1088123	0.6233898	0.6605115
700	0.0512915	0.7200817	0.0535397	0.6658007	0.7518794
750	0.0639972	0.6124551	0.0455393	0.8579313	0.6676670
800	0.0587357	0.7683201	0.0491194	0.6972466	0.8867539
850	0.0600914	0.8132249	0.0785982	0.7339181	0.6574762
900	0.0853179	0.7527735	0.0703031	0.5306328	0.7445659
950	0.0637349	0.7410450	0.0573081	0.5732818	0.9554519
1000	0.0586181	0.6546862	0.0793346	0.7143967	0.8775943

0	0.0697409	0.7791886	0.0656596	0.5505303	0.6351695
50	0.0824966	0.6885761	0.1298786	0.5822611	0.4072321
100	0.0532678	0.3302525	0.1580406	0.3290531	0.2443237
150	0.0614459	0.2212821	0.3278054	0.2404435	0.1727376
200	0.0835335	0.1664092	0.3287157	0.2010847	0.1193356
250	0.0966842	0.1567072	0.5934277	0.2183751	0.1481870
300	0.0709719	0.1171808	0.6177319	0.1436753	0.1080417
350	0.1080936	0.1511245	0.6071091	0.1632786	0.1320766
400	0.0858927	0.2605227	0.5926512	0.1557613	0.1199282
450	0.0687495	0.1261367	0.5681796	0.1825918	0.0826209
500	0.2010735	0.1178104	0.6859638	0.1671320	0.2059197
550	0.1102169	0.3527896	0.5327559	0.3737632	0.4632984
600	0.1587721	0.5785076	0.2923002	0.4908135	0.5028267
650	0.1113600	0.7011218	0.1117673	0.6664568	0.6510207
700	0.1205281	0.7877927	0.0914722	0.6012910	0.7429784
750	0.1249558	0.7539217	0.0366812	0.5736115	0.6070875
800	0.0794100	0.7265789	0.0983719	0.6359870	0.6485602
850	0.0703199	0.7324883	0.0407909	0.7024684	0.7152638
900	0.1314593	0.7134104	0.0865553	0.7210635	0.8004948
950	0.0614888	0.9093458	0.0580418	0.6875855	0.7481579
1000	0.0566924	0.7893080	0.1403420	0.6671114	0.7257429

0	0.0735425	0.6822001	0.0799483	0.6548003	0.6813292
50	0.0846563	0.6336154	0.0641194	0.6143378	0.7335258
100	0.0195988	0.4386753	0.0896794	0.7695785	0.8678399
150	0.0044697	0.3543756	0.2242833	0.7913103	0.7778911
200	0.0123047	0.2938703	0.4066612	0.6718710	0.7462621
250	0.0047177	0.3965493	0.5241274	0.7382036	0.7360565
300	0.0010477	0.4180078	0.5437678	0.8417787	0.8381355
350	0.0050901	0.3795019	0.7152120	0.6826601	0.6873487
400	0.0041474	0.4119295	0.6222049	0.6556927	0.7402161
450	0.0012274	0.5802547	0.6858091	0.7507593	0.6643248
500	0.0019247	0.3483487	0.5182329	0.6307947	0.6353669
550	0.0069117	0.4352734	0.5948011	0.6916753	0.8025829
600	0.0265841	0.5574931	0.4254019	0.6360119	0.8471685
650	0.0397066	0.5488645	0.2112461	0.8118589	0.8452105
700	0.0726382	0.7079436	0.1255829	0.7765184	0.6820834
750	0.0654913	0.8124630	0.0679992	0.6478741	0.7889110
800	0.1043593	0.5326296	0.0690946	0.6376927	0.6698443
850	0.0610180	0.7221358	0.0571106	0.7335037	0.7004754
900	0.0719164	0.7290700	0.0768106	0.7658834	0.8865465
950	0.0347031	0.7211378	0.0805161	0.7216332	0.9671348
1000	0.0906518	0.8753038	0.0889659	0.7310500	0.7212959

0	0.0723356	0.8336011	0.0811358	0.6420177	0.6290611
50	0.0750532	0.4638046	0.0756912	0.8045822	0.6524179
100	0.0836106	0.2277733	0.1318834	0.7370931	0.7101185
150	0.0681671	0.2285598	0.3849517	0.6847699	0.6576627
200	0.0862782	0.1504422	0.4312650	0.7713115	0.6502954
250	0.0857327	0.1932381	0.5942379	0.6447561	0.5844266
300	0.1167946	0.1893165	0.6036059	0.6693189	0.7553806
350	0.1365953	0.1246834	0.7085298	0.7260115	0.7021231
