"Time"	relE	relB	hokD	alaS	ilvN
700	0.0986144	1.0397587	0.1310667	0.9060822	0.9981730
750	0.0822211	0.9816938	0.0863089	0.8984299	0.9648646
800	0.0859964	1.0748077	0.1141567	1.0459324	1.0467295
850	0.0593969	1.0099965	0.1133337	1.0408259	1.1194621
900	0.0654155	1.0498646	0.1253979	0.9556081	1.0257424
950	0.1038485	1.0496131	0.1182771	1.0112925	0.8881949
1000	0.1266325	1.1274820	0.1005355	1.0291044	0.9871093

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0998569	0.9471859	0.0975964	1.0306823	1.0105681
100	0.0870137	0.9216772	0.0791812	1.0009262	0.9212853
150	0.1119033	0.9983827	0.1120195	1.0273211	0.9607953
200	0.0662174	1.1541015	0.0927037	0.9726879	0.9226333
250	0.0702819	1.1201073	0.1016098	1.0384541	0.8573077
300	0.0834760	1.0333976	0.0738382	1.0468772	0.9333129
350	0.0898591	0.9498936	0.0774892	1.0553303	0.9867678
400	0.0920057	1.1099866	0.1020394	1.0467558	1.0206731
450	0.1105151	1.0146611	0.0688536	1.0471463	0.9127523
500	0.1202287	1.0571162	0.0634895	0.9903466	0.9674115
550	0.1276157	0.8997662	0.0707914	0.9795961	1.0118105
600	0.1046839	0.9913145	0.0673110	1.0489620	1.0369540
650	0.0924990	0.9968365	0.0923240	0.9570067	0.8778118
700	0.0879271	1.0014680	0.0913612	0.9859980	0.9132566
750	0.0815034	0.9842981	0.0920402	0.9448236	0.9901807
800	0.0939716	0.9629675	0.0801771	1.0273021	1.1013411
850	0.1003685	0.9519029	0.1056365	0.9629532	1.0567349
900	0.1052736	1.0536253	0.1035789	0.9483060	1.0516345
950	0.1047381	1.0404829	0.1016083	0.9940915	1.0216106
1000	0.0738481	1.0698966	0.0749780	0.9540509	1.0043891

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.1141945	0.9862178	0.0916863	0.9245957	0.6365344
100	0.1058598	0.9758890	0.0742931	1.0031640	0.4154227
150	0.0893778	1.0870527	0.1079669	1.0311991	0.4177968
200	0.0601869	1.0301444	0.1035850	1.0492923	0.2657046
250	0.0543210	1.0809986	0.1051167	0.9947994	0.2594282
300	0.0755884	1.0368094	0.1230666	0.9032209	0.2243287
350	0.0580318	1.0123095	0.1204828	0.9138012	0.2482549
400	0.0718092	0.9254968	0.1099863	1.0312359	0.2609972
450	0.0548525	0.9485622	0.1192512	1.0112770	0.3061423
500	0.0701749	0.9025677	0.1334528	0.9131256	0.2327090
550	0.0854664	0.9264303	0.0942147	0.9794404	0.5836941
600	0.0822501	1.0372008	0.1061819	1.0571451	0.9714349
650	0.0739802	1.0093130	0.1133895	1.0673148	0.9599790
700	0.0860812	0.9942046	0.1392041	1.0454513	0.8992804
750	0.0931990	0.9211890	0.1424224	1.0293314	0.8883251
800	0.0927110	1.0418970	0.0826941	0.9567225	0.9537248
850	0.0944251	1.0030183	0.0895203	1.0439310	0.9251013
900	0.0925382	1.0049814	0.0929370	0.9644535	0.9106710
950	0.0828370	0.9895265	0.0852010	0.9329749	0.9383886
1000	0.0871788	0.9967008	0.1253313	1.0611943	0.9091460

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0984263	0.9054353	0.0673054	0.9331280	1.1631209
100	0.1306700	0.9348533	0.0290250	0.7475126	0.9992672
150	0.1110052	1.0262451	0.0042052	0.6378035	0.9844705
200	0.0938627	0.9693168	0.0109139	0.5593390	1.0051567
250	0.1004374	0.9492830	0.0027759	0.6145138	1.0980583
300	0.0972232	0.9995293	0.0082412	0.5891320	0.9556390
350	0.0808967	0.9628677	0.0072880	0.6148569	1.0848652
400	0.0680231	1.0878385	0.0039519	0.6835109	0.9485402
450	0.0661619	1.1180977	0.0013072	0.5725482	0.9042687
500	0.0563535	1.0595913	0.0019240	0.5555360	0.9356807
550	0.0844664	0.9484305	0.0583621	0.7191642	0.9770431
600	0.1125498	0.9355071	0.1018681	0.9471237	0.9041802
650	0.1101693	0.9841704	0.1063987	0.9181253	0.9444855
700	0.0949675	0.9955299	0.1101477	0.9458527	1.0197913
750	0.1171385	0.9586073	0.1171768	1.0856673	1.0364933
800	0.1041330	0.9183166	0.0901663	1.1048135	0.9698428
850	0.0994991	0.9300696	0.0828212	1.0014332	0.9553711
900	0.1009228	1.0382494	0.0850021	1.0230335	1.1327576
950	0.1265681	1.1351565	0.1022815	0.9481701	1.0570470
1000	0.1165244	1.0445939	0.0772352	0.9723458	0.9893863

0	0.1141474	1.0590266	0.1103301	0.8506831	0.9543922
50	0.0957625	0.9992385	0.0946520	0.7179608	1.0667868
100	0.0880142	0.9925482	0.1290270	0.4114386	1.0061990
150	0.0794950	1.0771871	0.1385475	0.3044813	0.9705123
200	0.0908191	1.0098794	0.1134022	0.2390082	0.9745359
