"Time"	relE	relB	hokD	alaS	ilvN
550	0.0951246	0.8884473	0.1316055	1.0000000	1.0000000
600	0.0948701	0.9550449	0.1219052	1.0000000	1.0000000
650	0.0945557	0.9841869	0.1131551	1.0000000	1.0000000
700	0.0943163	0.9947589	0.1083048	1.0000000	1.0000000
750	0.0941713	0.9982785	0.1061565	1.0000000	1.0000000
800	0.0940941	0.9993952	0.1053220	1.0000000	1.0000000
850	0.0940565	0.9997390	0.1050265	1.0000000	1.0000000
900	0.0940391	0.9998429	0.1049296	1.0000000	1.0000000
950	0.0940315	0.9998739	0.1049001	1.0000000	1.0000000
1000	0.0940282	0.9998830	0.1048919	1.0000000	1.0000000

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0942166	0.6818296	0.1130583	0.7213358	0.6359441
100	0.0961502	0.3942353	0.2123232	0.4597763	0.3628902
150	0.1029997	0.2683907	0.4688585	0.3386000	0.2543191
200	0.1157290	0.2227341	0.7021844	0.2913107	0.2149930
250	0.1300362	0.2075208	0.8223987	0.2741322	0.2010380
300	0.1413746	0.2026694	0.8673403	0.2681103	0.1961100
350	0.1485595	0.2011470	0.8794794	0.2660396	0.1943718
400	0.1525087	0.2006632	0.8806421	0.2653352	0.1937589
450	0.1544873	0.2005028	0.8792828	0.2650970	0.1935427
500	0.1554195	0.2004460	0.8779484	0.2650168	0.1934665
550	0.1472531	0.5181953	0.7568725	0.5436540	0.5574956
600	0.1260501	0.8056929	0.4092901	0.8052045	0.8305400
650	0.1101220	0.9317016	0.2096616	0.9263777	0.9391077
700	0.1014171	0.9775310	0.1359291	0.9736660	0.9784327
750	0.0972454	0.9928399	0.1130574	0.9908442	0.9923872
800	0.0953811	0.9977183	0.1067133	0.9968660	0.9973151
850	0.0945830	0.9992292	0.1051568	0.9989367	0.9990532
900	0.0942510	0.9996891	0.1048533	0.9996411	0.9996662
950	0.0941157	0.9998275	0.1048319	0.9998792	0.9998823
1000	0.0940613	0.9998690	0.1048538	0.9999594	0.9999585

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0662737	0.8014115	0.1118107	1.0000000	1.0000000
100	0.0346392	0.6219650	0.1876098	1.0000000	1.0000000
150	0.0168957	0.5434513	0.3979949	1.0000000	1.0000000
200	0.0087803	0.5149723	0.6430794	1.0000000	1.0000000
250	0.0054363	0.5054938	0.8110224	1.0000000	1.0000000
300	0.0041419	0.5024881	0.8977021	1.0000000	1.0000000
350	0.0036601	0.5015633	0.9361408	1.0000000	1.0000000
400	0.0034854	0.5012845	0.9517929	1.0000000	1.0000000
450	0.0034229	0.5012016	0.9578499	1.0000000	1.0000000
500	0.0034009	0.5011772	0.9601191	1.0000000	1.0000000
550	0.0320078	0.6996708	0.8662617	1.0000000	1.0000000
600	0.0634381	0.8791579	0.5060468	1.0000000	1.0000000
650	0.0806356	0.9576826	0.2589713	1.0000000	1.0000000
700	0.0885059	0.9861452	0.1570165	1.0000000	1.0000000
750	0.0918280	0.9956003	0.1216980	1.0000000	1.0000000
800	0.0931692	0.9985877	0.1102543	1.0000000	1.0000000
850	0.0936964	0.9995013	0.1066171	1.0000000	1.0000000
900	0.0939002	0.9997744	0.1054557	1.0000000	1.0000000
950	0.0939782	0.9998545	0.1050790	1.0000000	1.0000000
1000	0.0940078	0.9998777	0.1049542	1.0000000	1.0000000

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0942151	0.6838466	0.1129775	1.0000000	1.0000000
100	0.0961166	0.3980761	0.2104799	1.0000000	1.0000000
150	0.1027604	0.2730295	0.4625815	1.0000000	1.0000000
200	0.1149354	0.2276625	0.6939277	1.0000000	1.0000000
250	0.1284808	0.2125464	0.8142452	1.0000000	1.0000000
300	0.1391470	0.2077275	0.8595826	1.0000000	1.0000000
350	0.1458791	0.2062175	0.8719459	1.0000000	1.0000000
400	0.1495694	0.2057397	0.8731987	1.0000000	1.0000000
450	0.1514144	0.2055827	0.8718703	1.0000000	1.0000000
500	0.1522817	0.2055279	0.8705457	1.0000000	1.0000000
550	0.1446213	0.5212903	0.7503068	1.0000000	1.0000000
600	0.1245574	0.8069717	0.4067495	1.0000000	1.0000000
650	0.1094071	0.9321648	0.2090933	1.0000000	1.0000000
700	0.1011016	0.9776883	0.1359002	1.0000000	1.0000000
750	0.0971124	0.9928914	0.1131162	1.0000000	1.0000000
800	0.0953267	0.9977348	0.1067598	1.0000000	1.0000000
850	0.0945612	0.9992345	0.1051826	1.0000000	1.0000000
900	0.0942424	0.9996907	0.1048657	1.0000000	1.0000000
950	0.0941123	0.9998281	0.1048374	1.0000000	1.0000000
1000	0.0940600	0.9998692	0.1048562	1.0000000	1.0000000

0	0.0940673	0.9998771	0.1048180	1.0000000	1.0000000
50	0.0799136	0.9998917	0.0601583	0.9499665	0.6002294
100	0.0636955	0.9999269	0.0285270	0.9030041	0.3003884
150	0.0543945	0.9999598	0.0198112	0.8812472	0.1811663
200	0.0499512	0.9999791	0.0193679	0.8727565	0.1379821
250	0.0479993	0.9999884	0.0206103	0.8696721	0.1226582
300	0.0471812	0.9999923	0.0216574	0.8685909	0.1172467
350	0.0468482	0.9999940	0.0222633	0.8682191	0.1153380
400	0.0467152	0.9999946	0.0225629	0.8680926	0.1146649
450	0.0466627	0.9999949	0.0226987	0.8680499	0.1144276
500	0.0466423	0.9999950	0.0227569	0.8680355	0.1143439
550	0.0607626	0.9999940	0.0758304	0.9180641	0.5140850
600	0.0769677	0.9999845	0.1064656	0.9650249	0.8139156
650	0.0862638	0.9999628	0.1107305	0.9867813	0.9331341
700	0.0907051	0.9999368	0.1088120	0.9952718	0.9763169
