"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
0	0.0136695	1.0170041	1.0721733	1.0793691	0.3926231	0.0111080	0.7505467	0.0158926	0.9119853	0.0215148
50	0.0200881	1.0048612	1.0549817	1.0428212	0.4011097	0.2500428	0.7735630	0.6163934	0.9187557	0.0235319
100	0.0105099	1.0111450	1.0475608	1.0344669	0.3842509	0.3435326	0.7845946	0.8367688	0.9729889	0.0264110
150	0.0086982	0.9875620	0.9858438	1.0101400	0.3542751	0.3091416	0.7236797	0.7753980	0.9359532	0.0145617
200	0.0093925	1.0242036	1.0030004	0.9502206	0.3526516	0.3733144	0.7358935	0.7648881	0.9295802	0.0320681
250	0.0085329	1.0154023	1.0009424	1.0534111	0.3920007	0.3854140	0.6823976	0.6528777	0.9367202	0.0224183
300	0.0063342	1.0948727	0.9021114	1.0329743	0.3769268	0.4188286	0.7516161	0.7284377	0.8658669	0.0258480
350	0.0141564	1.0331769	1.0034007	0.9625468	0.3581491	0.4442763	0.7466049	0.7399958	0.9040170	0.0144921
400	0.0087533	0.9327183	1.0036671	1.0172466	0.3173224	0.3648072	0.7708346	0.6949553	0.9038471	0.0138532
450	0.0154470	0.9923394	0.9892270	0.9260285	0.3566346	0.3311257	0.7312128	0.8090204	0.9071084	0.0101778
500	0.0170900	0.9732530	0.9787414	1.0562180	0.3581545	0.3738581	0.7667622	0.7759236	0.9223741	0.0134886
550	0.0206839	0.9666921	0.9782426	1.0262904	0.4321552	0.1549885	0.8223613	0.1686905	0.9406678	0.0096862
600	0.0149434	0.9430878	1.0978090	0.9260842	0.3806907	0.0547141	0.7665225	0.0588504	0.9429308	0.0178815
650	0.0103034	0.9796273	1.0414034	0.9659721	0.3825736	0.0312038	0.6809253	0.0293260	0.9288744	0.0193092
700	0.0114955	1.0260099	1.0541112	1.0094047	0.3741791	0.0181205	0.7371634	0.0064766	0.9786956	0.0146153
750	0.0130221	0.9831559	0.9701101	1.0678787	0.3884770	0.0148571	0.7094978	0.0054256	1.0017250	0.0185347
800	0.0116978	1.0111083	0.9857211	1.0915005	0.4085459	0.0127195	0.7472692	0.0144091	0.9863880	0.0202204
