"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
450	0.0359425	1.0000000	0.3639214	0.9996375	0.3798052	0.0085467	0.7781163	0.5709372	0.9224761	0.0170635
500	0.0368408	1.0000000	0.3635117	0.9995735	0.3798201	0.0085476	0.7780988	0.5723850	0.9224383	0.0170688
550	0.0332263	1.0000000	0.5662606	0.9991946	0.3798371	0.0085483	0.7780877	0.3759479	0.9224153	0.0170708
600	0.0238396	1.0000000	0.7812910	0.9970599	0.3799366	0.0085478	0.7781041	0.1850781	0.9224501	0.0170608
650	0.0176361	1.0000000	0.8990012	0.9961321	0.3801972	0.0085465	0.7781285	0.0886657	0.9225104	0.0170483
700	0.0147068	1.0000000	0.9548744	0.9968928	0.3803878	0.0085453	0.7781439	0.0455781	0.9225518	0.0170415
750	0.0134892	1.0000000	0.9801082	0.9978222	0.3803871	0.0085446	0.7781516	0.0270754	0.9225728	0.0170388
800	0.0130104	1.0000000	0.9912813	0.9984150	0.3802795	0.0085441	0.7781551	0.0192863	0.9225820	0.0170378
850	0.0128258	1.0000000	0.9961878	0.9987172	0.3801621	0.0085439	0.7781567	0.0160532	0.9225857	0.0170375
900	0.0127549	1.0000000	0.9983349	0.9988551	0.3800759	0.0085438	0.7781573	0.0147264	0.9225871	0.0170374
950	0.0127274	1.0000000	0.9992730	0.9989142	0.3800238	0.0085437	0.7781576	0.0141870	0.9225877	0.0170374
1000	0.0127167	1.0000000	0.9996827	0.9989386	0.3799957	0.0085437	0.7781578	0.0139691	0.9225879	0.0170374

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0127288	1.0000000	0.7284442	0.9989973	0.4175566	0.0085437	0.8199448	0.0138291	0.9225880	0.0170373
100	0.0133478	1.0000000	0.4405886	0.9993165	0.4538515	0.0085437	0.8613309	0.0138811	0.9225880	0.0170374
150	0.0238821	1.0000000	0.2830245	0.9996787	0.4710269	0.0085437	0.8827452	0.0151344	0.9225871	0.0170380
200	0.0905835	1.0000000	0.2082357	0.9998438	0.4777911	0.0085478	0.8923430	0.0306983	0.9222110	0.0171036
250	0.2226476	1.0000000	0.1744594	0.9998339	0.4805509	0.0087740	0.8592929	0.1004512	0.8996069	0.0201111
300	0.3452690	1.0000000	0.1595039	0.9998404	0.4848379	0.0110434	0.7406831	0.2220779	0.8451290	0.0424785
350	0.4237950	1.0000000	0.1529364	0.9998730	0.4960063	0.0182998	0.6539120	0.3413371	0.8065354	0.0893613
400	0.4657697	1.0000000	0.1500625	0.9999000	0.5123482	0.0299862	0.6098933	0.4273718	0.7875922	0.1363362
450	0.4861774	1.0000000	0.1488067	0.9999160	0.5279659	0.0424937	0.5897446	0.4798241	0.7795659	0.1682442
500	0.4955921	1.0000000	0.1482584	0.9999242	0.5394473	0.0529049	0.5808391	0.5087668	0.7764116	0.1859706
550	0.4264053	1.0000000	0.4195748	0.9988457	0.5078175	0.0593586	0.3988860	0.5211810	0.7752393	0.1904711
600	0.2307251	1.0000000	0.7073260	0.9385799	0.4561939	0.0517542	0.2251380	0.4804178	0.7752674	0.1364657
650	0.1072857	1.0000000	0.8648445	0.7601435	0.4271532	0.0354675	0.2623579	0.3565847	0.7911332	0.0647071
700	0.0533486	1.0000000	0.9396134	0.7326624	0.4332223	0.0227809	0.4910276	0.2144732	0.8446082	0.0311189
750	0.0320194	1.0000000	0.9733810	0.8396765	0.4372621	0.0154556	0.6442806	0.1173146	0.8870604	0.0206645
800	0.0223655	1.0000000	0.9883327	0.9260533	0.4246963	0.0117336	0.7189780	0.0652641	0.9082741	0.0179140
850	0.0174605	1.0000000	0.9948985	0.9694392	0.4077467	0.0099677	0.7524641	0.0393993	0.9171981	0.0172432
900	0.0149548	1.0000000	0.9977718	0.9876851	0.3948716	0.0091647	0.7670730	0.0265716	0.9206426	0.0170853
950	0.0137268	1.0000000	0.9990272	0.9947542	0.3872266	0.0088099	0.7733865	0.0201322	0.9219057	0.0170486
1000	0.0131538	1.0000000	0.9995754	0.9973941	0.3832767	0.0086563	0.7761057	0.0168953	0.9223536	0.0170401

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0129857	1.0000000	1.0000000	0.6164520	0.3907638	0.0085437	0.7781573	0.0132814	0.9225880	0.1752930
100	0.0229122	1.0000000	1.0000000	0.2661804	0.4634260	0.0085437	0.7781577	0.0111831	0.9225872	0.2774644
150	0.0641193	1.0000000	1.0000000	0.1106172	0.5923859	0.0085436	0.7781563	0.0100543	0.9224800	0.3084555
200	0.1467815	1.0000000	1.0000000	0.0498583	0.7201957	0.0085437	0.7780608	0.0110439	0.9141420	0.3168441
250	0.2373786	1.0000000	1.0000000	0.0232280	0.8121853	0.0085437	0.7770616	0.0122676	0.8284292	0.3230512
300	0.3039350	1.0000000	1.0000000	0.0116080	0.8683086	0.0085437	0.7749165	0.0117392	0.6692128	0.3367245
350	0.3419121	1.0000000	1.0000000	0.0069758	0.8992991	0.0085436	0.7735750	0.0099157	0.5413785	0.3562473
400	0.3603968	1.0000000	1.0000000	0.0052448	0.9151671	0.0085436	0.7735317	0.0080723	0.4685161	0.3738888
450	0.3685431	1.0000000	1.0000000	0.0046203	0.9228087	0.0085436	0.7739873	0.0067983	0.4330231	0.3856642
500	0.3719132	1.0000000	1.0000000	0.0043983	0.9263088	0.0085436	0.7744139	0.0060787	0.4171089	0.3921324
550	0.3817918	1.0000000	1.0000000	0.0885271	0.9170863	0.0085444	0.7280736	0.0128867	0.4144671	0.2579733
600	0.3205988	1.0000000	1.0000000	0.1663278	0.8652752	0.0085676	0.5318549	0.0451251	0.4403310	0.1626413
650	0.2350651	1.0000000	1.0000000	0.2088752	0.8007014	0.0086099	0.4360022	0.0723482	0.4906151	0.0982053
700	0.1717983	1.0000000	1.0000000	0.2502295	0.7483204	0.0086240	0.5041692	0.0785429	0.5694897	0.0544058
750	0.1285771	1.0000000	1.0000000	0.3193382	0.7046256	0.0086151	0.6142897	0.0736500	0.6779662	0.0322832
800	0.0946278	1.0000000	1.0000000	0.4330865	0.6568166	0.0086014	0.6929130	0.0674065	0.7813424	0.0229128
850	0.0662748	1.0000000	1.0000000	0.5908241	0.5984709	0.0085889	0.7371014	0.0619930	0.8528747	0.0191906
900	0.0445462	1.0000000	1.0000000	0.7549649	0.5345888	0.0085764	0.7593791	0.0555795	0.8921309	0.0177722
950	0.0300386	1.0000000	1.0000000	0.8767320	0.4772464	0.0085646	0.7698436	0.0468421	0.9103902	0.0172695
1000	0.0214900	1.0000000	1.0000000	0.9451983	0.4350084	0.0085556	0.7745380	0.0370637	0.9179836	0.0171065

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0083658	1.0000000	1.0000000	0.9990659	0.3835987	0.0085437	0.7803332	0.0132952	0.9225881	0.0170372
100	0.0038534	1.0000000	1.0000000	0.9994614	0.3870795	0.0085437	0.7824884	0.0106277	0.9225886	0.0170368
150	0.0015531	1.0000000	1.0000000	0.9997712	0.3886879	0.0085436	0.7836036	0.0073520	0.9225890	0.0170366
200	0.0005837	1.0000000	1.0000000	0.9999168	0.3892884	0.0085436	0.7841122	0.0049725	0.9225892	0.0170365
250	0.0002105	1.0000000	1.0000000	0.9999721	0.3894872	0.0085436	0.7843353	0.0036387	0.9225892	0.0170365
300	0.0000742	1.0000000	1.0000000	0.9999911	0.3895475	0.0085436	0.7844319	0.0029952	0.9225893	0.0170365
350	0.0000261	1.0000000	1.0000000	0.9999973	0.3895642	0.0085436	0.7844736	0.0027129	0.9225893	0.0170365
400	0.0000096	1.0000000	1.0000000	0.9999992	0.3895685	0.0085436	0.7844915	0.0025966	0.9225893	0.0170365
450	0.0000040	1.0000000	1.0000000	0.9999998	0.3895694	0.0085436	0.7844992	0.0025508	0.9225893	0.0170365
500	0.0000022	1.0000000	1.0000000	0.9999999	0.3895696	0.0085436	0.7845025	0.0025332	0.9225893	0.0170365
550	0.0043385	1.0000000	1.0000000	0.9999986	0.3859411	0.0085436	0.7823281	0.0028057	0.9225893	0.0170365
600	0.0088431	1.0000000	1.0000000	0.9999439	0.3824371	0.0085436	0.7801738	0.0047546	0.9225893	0.0170365
650	0.0111404	1.0000000	1.0000000	0.9997407	0.3807857	0.0085436	0.7790591	0.0077639	0.9225891	0.0170367
700	0.0121108	1.0000000	1.0000000	0.9994641	0.3801583	0.0085436	0.7785507	0.0103637	0.9225888	0.0170370
750	0.0124876	1.0000000	1.0000000	0.9992358	0.3799632	0.0085436	0.7783276	0.0120520	0.9225885	0.0170372
800	0.0126280	1.0000000	1.0000000	0.9990930	0.3799248	0.0085437	0.7782310	0.0129823	0.9225883	0.0170373
850	0.0126794	1.0000000	1.0000000	0.9990176	0.3799321	0.0085437	0.7781893	0.0134445	0.9225881	0.0170373
900	0.0126983	1.0000000	1.0000000	0.9989818	0.3799463	0.0085437	0.7781714	0.0136589	0.9225881	0.0170373
950	0.0127053	1.0000000	1.0000000	0.9989660	0.3799570	0.0085437	0.7781637	0.0137537	0.9225880	0.0170373
1000	0.0127080	1.0000000	1.0000000	0.9989594	0.3799634	0.0085437	0.7781604	0.0137943	0.9225880	0.0170373

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0127099	1.0000000	1.0000000	0.9989540	0.3799726	0.0085437	0.8217400	0.0138283	0.8644189	0.3899661
100	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.0085437	0.8649040	0.0138253	0.8038908	0.6307317
150	0.0127097	1.0000000	1.0000000	0.9989547	0.3799703	0.0085437	0.8872382	0.0138241	0.7729593	0.7037195
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.0085437	0.8974239	0.0138235	0.7598870	0.7223031
250	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.0085437	0.9018929	0.0138233	0.7548374	0.7267105
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9038281	0.0138232	0.7529867	0.7277205
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9046622	0.0138232	0.7523313	0.7279479
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9050210	0.0138232	0.7521048	0.7279985
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9051754	0.0138232	0.7520278	0.7280097
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9052417	0.0138232	0.7520021	0.7280122
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.8616876	0.0138232	0.8101627	0.3550840
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.8185362	0.0138232	0.8706880	0.1143185
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7962073	0.0138232	0.9016186	0.0413308
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7860240	0.0138232	0.9146906	0.0227472
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7815559	0.0138232	0.9197401	0.0183397
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7796212	0.0138232	0.9215908	0.0173297
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7787873	0.0138232	0.9222462	0.0171024
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7784285	0.0138232	0.9224727	0.0170518
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7782742	0.0138232	0.9225496	0.0170405
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7782079	0.0138232	0.9225753	0.0170380

0	0.0127105	1.0000000	1.0000000	0.9989526	0.3799769	0.0085438	0.7781566	0.0138352	0.9225880	0.0170373
50	0.0128111	1.0000000	0.9573498	0.9536687	0.3177086	0.1570334	0.7781573	0.0137727	0.9252857	0.0170373
100	0.0133665	1.0000000	0.9121395	0.9121974	0.2607779	0.3454834	0.7781576	0.0135833	0.9280929	0.0170374
150	0.0141349	1.0000000	0.8873926	0.8937681	0.2370048	0.4660766	0.7781578	0.0135881	0.9295272	0.0170375
200	0.0147612	1.0000000	0.8756464	0.8869185	0.2294721	0.5301302	0.7781578	0.0138870	0.9301331	0.0170377
250	0.0151518	1.0000000	0.8703415	0.8845267	0.2275903	0.5612751	0.7781578	0.0143103	0.9303670	0.0170379
300	0.0153598	1.0000000	0.8679926	0.8836948	0.2272904	0.5756581	0.7781577	0.0146908	0.9304525	0.0170381
350	0.0154602	1.0000000	0.8669611	0.8833959	0.2273275	0.5820807	0.7781577	0.0149620	0.9304826	0.0170381
