"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
350	0.0183722	1.0009106	0.6243031	0.9562195	0.3847676	0.0075679	0.8321433	0.0115980	0.9724839	0.0220377
400	0.0060242	0.9436910	0.6018661	0.9594454	0.3377835	0.0103421	0.7860604	0.0142589	1.0187610	0.0086531
450	0.0136153	0.9845046	0.5911151	0.9867295	0.3958580	0.0144909	0.7761057	0.0148582	1.0049709	0.0113412
500	0.0133053	0.9091327	0.5925316	1.0257845	0.3422916	0.0132741	0.7858151	0.0114561	0.9942602	0.0115308
550	0.0084938	1.0363651	0.9270597	1.0799518	0.3805371	0.0105349	0.7985641	0.0249471	0.8559433	0.0153043
600	0.0099039	1.0659345	1.0180636	1.1110762	0.3887014	0.0061291	0.7807728	0.0245448	0.8693487	0.0189920
650	0.0135510	0.9840509	1.0085721	1.0876032	0.3597828	0.0098186	0.8329684	0.0113632	0.9278721	0.0366483
700	0.0141672	1.0106743	1.0244854	0.9761040	0.3506933	0.0051485	0.8122391	0.0003160	0.9033525	0.0333206
750	0.0140748	0.9997697	1.0026369	1.1120978	0.3895125	0.0096073	0.7942363	0.0133987	0.9575926	0.0248117
800	0.0072404	1.0727392	1.0157721	1.0124611	0.3814414	0.0220666	0.8015453	0.0160843	0.9197199	0.0177621
850	0.0058032	1.0273789	1.0149630	1.0256675	0.3344573	0.0212872	0.7716041	0.0171495	0.9345537	0.0188561
900	0.0096298	1.0485205	0.9277909	0.9202203	0.3762751	0.0175281	0.8453470	0.0046565	0.8243433	0.0126769
950	0.0090817	0.9569733	1.1372358	0.9764471	0.3901671	0.0107877	0.6994478	0.0024557	0.9090320	0.0111550
1000	0.0000000	0.9730104	1.0207470	1.0228777	0.3972884	0.0084650	0.7183911	0.0058070	0.9151667	0.0213088

0	0.0220300	1.0181380	1.1456257	1.0054803	0.4024273	0.0121947	0.8211471	0.0288094	0.9102823	0.0215107
50	0.0161413	0.4035492	0.9845403	0.5877956	0.5322224	0.0054935	0.8230941	0.0260442	0.9848015	0.0181274
100	0.0229575	0.1845365	0.9142010	0.4317452	0.5916760	0.0067120	0.6924504	0.0262755	0.9119414	0.0207121
150	0.0364586	0.1397601	0.9888704	0.4079135	0.6114995	0.0177634	0.5141834	0.0204250	0.7514095	0.0123685
200	0.0531952	0.1189892	0.9580091	0.3598170	0.6615824	0.0053038	0.3782600	0.0318235	0.6625257	0.0149462
250	0.0591362	0.1237147	0.9971638	0.3230981	0.7064381	0.0073746	0.2678579	0.0433697	0.6752392	0.0086586
300	0.0769963	0.1402318	1.0615643	0.2963629	0.6348544	0.0059585	0.2186054	0.0208270	0.6421098	0.0112641
350	0.0684813	0.1340866	0.9224660	0.2930715	0.6270436	0.0028769	0.2197656	0.0297434	0.5707842	0.0076530
400	0.0584192	0.1474806	0.9733038	0.2702104	0.6200706	0.0023814	0.2024016	0.0411376	0.5400679	0.0164434
450	0.0908588	0.1419260	0.9358347	0.2609125	0.6556798	0.0098472	0.1647303	0.0462576	0.6106187	0.0109213
500	0.0912808	0.1022233	0.9658887	0.2418020	0.7456382	0.0080967	0.2230630	0.0422601	0.6668516	0.0157744
550	0.1007878	0.7997943	0.9735292	0.6238956	0.5799856	0.0138282	0.2830972	0.0479222	0.6371739	0.0171067
