"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
150	0.0223338	0.2598418	0.9845339	0.4679368	0.6118026	0.0099795	0.6747662	0.0204846	0.8861861	0.0133789
200	0.0468818	0.1731678	0.9747813	0.3907927	0.6079178	0.0037154	0.4481046	0.0233579	0.7381302	0.0015294
250	0.0692547	0.1349631	1.0524559	0.3363287	0.6742543	0.0034641	0.3199467	0.0291274	0.5954101	0.0199013
300	0.0657465	0.1537703	1.0469480	0.3047874	0.6072027	0.0008743	0.2438024	0.0215169	0.6534593	0.0164822
350	0.0865362	0.1413298	1.0732849	0.3438420	0.6658618	0.0031326	0.2471181	0.0159555	0.5948214	0.0109229
400	0.0812336	0.1540858	1.0340990	0.2997091	0.6777026	0.0064033	0.2253543	0.0376274	0.5722368	0.0158078
450	0.1087944	0.1350100	0.9488694	0.2852809	0.6416829	0.0104890	0.2058092	0.0591407	0.5574792	0.0079534
500	0.1102583	0.1427258	1.0535341	0.2912938	0.6957194	0.0085553	0.1711841	0.0636469	0.5756221	0.0158501
550	0.0693144	0.3718270	1.0171383	0.3840396	0.5709061	0.0204579	0.2211141	0.0607458	0.5712666	0.0118432
600	0.0578174	0.7246569	0.8832896	0.6816440	0.5561375	0.0150495	0.4063723	0.0519061	0.7172830	0.0220751
650	0.0250287	0.7776432	0.9561594	0.8279322	0.5483518	0.0089857	0.5807812	0.0439198	0.7919260	0.0145867
700	0.0327816	1.0087607	0.9580755	0.9016858	0.5055465	0.0094835	0.6999146	0.0266693	0.8999235	0.0362187
750	0.0285906	1.0435630	1.0843004	1.0368887	0.4223849	0.0098629	0.6540674	0.0438006	0.8749753	0.0405530
800	0.0121894	1.0760643	1.0669255	1.0051592	0.4096374	0.0092069	0.7148432	0.0485504	0.9700892	0.0181583
850	0.0215048	1.0442586	1.0004268	1.0197110	0.3870729	0.0100266	0.7815615	0.0438050	0.9177192	0.0074351
900	0.0122459	1.0509513	1.0039251	1.0019599	0.4057154	0.0226288	0.8353556	0.0298209	0.9611692	0.0160223
950	0.0016573	1.0327528	0.8906469	1.0181226	0.4318476	0.0072880	0.7936656	0.0065774	1.0312651	0.0233119
1000	0.0129336	0.9457632	0.9087986	1.0534036	0.3855273	0.0176919	0.8091544	0.0138978	1.0252419	0.0336091

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0167248	0.8373346	1.0396045	0.8667576	0.4639603	0.0250540	0.7362671	0.0171034	0.9965296	0.0152513
100	0.0157593	0.5271099	0.9346114	0.7520010	0.4524580	0.0282325	0.7148207	0.0118445	0.8976604	0.0208537
150	0.0211975	0.4042110	1.0072200	0.7694050	0.4155152	0.0235175	0.6935338	0.0087086	0.9187164	0.0245630
200	0.0227501	0.3283236	1.0358513	0.7680670	0.3588340	0.0137127	0.5779362	0.0171854	0.8481653	0.0216630
250	0.0215073	0.3356787	0.9631713	0.6853709	0.3690660	0.0160892	0.4560871	0.0239953	0.8184052	0.0265480
300	0.0334897	0.3831055	0.9640812	0.6582258	0.3704216	0.0117765	0.4701566	0.0313848	0.7957507	0.0100194
350	0.0240781	0.3989901	0.9762025	0.7478550	0.3584567	0.0217148	0.4026969	0.0273706	0.8223999	0.0161795
400	0.0277904	0.3160620	0.9370993	0.7082549	0.3642508	0.0218398	0.4005174	0.0318526	0.7971687	0.0198511
450	0.0359970	0.3222506	0.9750575	0.6550062	0.3649783	0.0182812	0.4227959	0.0273977	0.7971962	0.0167728
500	0.0376294	0.2752107	1.0564179	0.5589970	0.4106618	0.0185884	0.4919808	0.0241407	0.8333183	0.0261619
550	0.0380274	0.5379979	1.0291859	0.7166992	0.4669584	0.0143736	0.4210410	0.0150179	0.7962561	0.0092179
600	0.0174333	0.7737538	0.9452658	0.9198278	0.3968839	0.0218534	0.4992880	0.0292936	0.9242266	0.0104586
650	0.0259428	0.8938307	1.0156837	0.9970743	0.3473118	0.0113377	0.6302792	0.0285775	0.9232432	0.0101492
700	0.0110029	0.9492838	0.9791874	1.0380736	0.3920494	0.0147156	0.6215872	0.0254708	0.8721404	0.0288334
750	0.0125573	1.0362346	0.9809128	1.1984007	0.3281157	0.0127388	0.7397284	0.0251160	0.9843557	0.0113566
800	0.0028641	1.0899565	0.9222499	1.1352360	0.3621747	0.0149043	0.6680351	0.0188910	0.8931813	0.0140350
850	0.0098267	1.1150986	0.9933961	1.1247610	0.3416584	0.0200271	0.8274153	0.0103546	0.9370876	0.0062478
900	0.0049654	1.0942872	1.0316105	0.8746650	0.4167078	0.0103383	0.7847859	0.0105720	0.8938773	0.0112612
950	0.0081486	0.9964708	0.9351056	0.9742891	0.4094857	0.0084378	0.8358566	0.0150395	0.8659730	0.0206251
1000	0.0054100	0.8669725	1.0919027	0.9968302	0.3397774	0.0095065	0.7777489	0.0194819	0.8738919	0.0254672

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0176808	1.0008373	1.0582829	0.9806061	0.3377607	0.1212504	0.7636060	0.0199901	0.9955647	0.0259328
100	0.0142351	1.0624253	1.0095575	0.9349070	0.3928656	0.3186361	0.7492189	0.0208475	0.9312564	0.0293592
150	0.0071684	1.1269702	0.8974290	0.9298337	0.4773955	0.5004191	0.6697745	0.0148630	0.9195214	0.0119225
200	0.0274451	1.1169486	1.0245557	0.9606987	0.4056741	0.5142347	0.8102803	0.0146127	0.8941972	0.0125032
250	0.0244729	1.1098348	1.0289518	0.9518159	0.4090068	0.4801274	0.9050659	0.0249097	0.8811714	0.0301253
300	0.0140341	1.0544093	0.9957952	1.0562957	0.3721926	0.5313270	0.8016511	0.0336165	0.9020082	0.0238553
350	0.0152475	1.0903081	1.0362372	1.0265584	0.3218782	0.5158045	0.7512020	0.0134298	0.9102878	0.0204899
400	0.0186181	1.0557723	1.0747530	1.0009138	0.4245938	0.5907357	0.8128879	0.0234235	0.9771098	0.0169573
450	0.0180389	1.0187894	1.0426803	0.9455652	0.3370592	0.5625741	0.8598412	0.0240441	0.9957440	0.0131112
500	0.0145867	1.0411667	1.0122163	0.9412034	0.2799255	0.6147069	0.8492640	0.0164091	0.9308811	0.0364312
550	0.0161828	1.0551912	0.9695226	1.0257573	0.3832132	0.4542054	0.8879601	0.0130963	0.9790585	0.0346600
600	0.0078866	0.9977084	1.0548874	1.0147138	0.4047998	0.2940345	0.8409700	0.0134049	0.8381860	0.0208059
650	0.0153237	1.0078726	0.9822060	1.0040222	0.3636858	0.1674757	0.8226361	0.0122691	0.9549121	0.0298450
700	0.0153111	1.0668310	1.0190634	1.0271282	0.3389932	0.0643720	0.8631465	0.0199632	1.0214384	0.0360788
750	0.0046818	1.1460650	0.9689353	0.9621033	0.3930961	0.0375509	0.8381816	0.0189579	0.9582622	0.0147657
800	0.0094948	1.0974527	0.9361711	0.9736569	0.3889688	0.0272130	0.8297224	0.0135004	0.9140179	0.0349730
850	0.0103894	1.0178294	0.8861750	0.9657649	0.4103419	0.0226191	0.8300292	0.0071444	0.8989695	0.0164605
900	0.0136090	1.0447633	1.0614017	0.9615218	0.4236223	0.0163029	0.8130258	0.0106703	0.9558875	0.0273709
950	0.0094621	0.9843410	1.0429726	0.9830740	0.4668555	0.0068355	0.7972349	0.0162488	0.9575611	0.0271095
1000	0.0101778	0.9650757	1.0684687	0.9667779	0.3743371	0.0081360	0.9339725	0.0114857	0.9301303	0.0229846

0	0.0207522	1.0491202	1.0367315	1.0173827	0.4207443	0.0146601	0.7468318	0.0151882	0.8677134	0.0135140
50	0.0107948	0.9689483	0.8400672	0.7836027	0.3625547	0.0327858	0.7421695	0.0345020	0.7874493	0.2873901
100	0.0092296	0.9763323	0.6769595	0.5666195	0.4050215	0.0490558	0.8351253	0.0239987	0.8505515	0.3909056
150	0.0039658	1.0125526	0.5649985	0.5253335	0.4183286	0.0442796	0.7831861	0.0181852	0.8633633	0.3596982
