"Time"	relE	relB	hokD	alaS	ilvN
400	0.0014836	0.5966022	0.4477347	0.5972780	0.0602731
450	0.0069400	0.5167852	0.4630089	0.7229372	0.0290473
500	0.0003868	0.6488825	0.5842146	0.7727576	0.0729719
550	0.0288894	0.7952471	0.4753879	0.6151829	0.3681501
600	0.0416921	0.8642663	0.3174781	0.8511774	0.5142809
650	0.0471202	0.8879569	0.1508742	0.6905280	0.5675362
700	0.0427795	0.6813965	0.0760130	0.8440143	0.6414429
750	0.0683741	0.7233467	0.0874952	0.7837069	0.7352715
800	0.0654122	0.6635326	0.1035373	0.7460812	0.5984435
850	0.1432772	0.7266186	0.0523225	0.8446012	0.6242592
900	0.0573226	0.9446501	0.0857675	0.7804913	0.8779968
950	0.1000365	0.7475361	0.0636141	0.8262724	0.8198505
1000	0.0406887	0.7967010	0.0724632	0.9099191	0.7425597

0	0.0880593	0.7501811	0.0981830	0.7813689	0.8328967
50	0.0735315	0.7357143	0.0624522	0.7475335	0.4640829
100	0.0226659	0.7066083	0.0789924	0.8061185	0.2288312
150	0.0477316	0.7218673	0.0513921	0.7962807	0.1666933
200	0.0418882	0.7794886	0.0570845	0.7923167	0.0746110
250	0.0210785	0.7927668	0.1899552	0.7186212	0.1054209
300	0.0212388	1.0609535	0.1522234	0.7003947	0.1177225
350	0.0119795	0.8446197	0.0746649	0.7557668	0.0787205
400	0.0191353	0.8699499	0.0923999	0.7356228	0.1492640
450	0.0263726	0.8581441	0.1105415	0.7431995	0.0715392
500	0.0239309	0.9402848	0.0933744	0.8173628	0.0737123
550	0.0456133	0.8515571	0.1341602	0.8278520	0.3483957
600	0.0319850	0.8024669	0.0884264	0.8114255	0.6427420
650	0.0355581	0.7688951	0.1208202	0.8312927	0.8453671
700	0.0522099	0.6676172	0.0785537	0.8298325	0.8728290
750	0.0739084	0.6747058	0.1452343	0.7545869	0.8165069
800	0.0689828	0.6880410	0.1188013	0.8639118	0.7639527
850	0.1029016	0.7191754	0.0520080	0.6992480	0.7475568
900	0.0761251	0.5435088	0.0730449	0.5707129	0.7109817
950	0.0592934	0.7276583	0.0851298	0.8105506	0.6750956
1000	0.0561430	0.7061703	0.0722841	0.8111434	0.8902569

0	0.0649851	0.8323721	0.0799270	0.6998762	0.7491560
50	0.1111534	0.7700772	0.0733714	0.7820627	0.6340256
100	0.0760333	0.6137198	0.0505546	0.8068730	0.8982414
150	0.0586519	0.7019448	0.0668301	0.7688678	0.8548733
200	0.0774923	0.7244171	0.0952183	0.6730177	0.6711381
250	0.0910755	0.7866624	0.1587960	0.6671003	0.6240826
300	0.1251118	0.6918464	0.0843105	0.6434761	0.7115111
350	0.0554470	0.7996536	0.0653370	0.6764805	0.7432553
400	0.0868261	0.7317424	0.1046922	0.8018432	0.8103563
450	0.0971665	0.7492287	0.0783308	0.8555357	0.8773536
500	0.0819032	0.7673785	0.1653337	0.6911135	0.8104467
550	0.1020410	0.5834455	0.1531842	0.7016305	0.7009088
600	0.0724524	0.7542542	0.0847263	0.7989992	0.7463784
650	0.0654755	0.7893156	0.0796049	0.6280106	0.6545573
700	0.0684424	0.7847249	0.0911490	0.5597728	0.7561272
750	0.0743014	0.6862721	0.0882749	0.7671921	0.7705479
800	0.0849828	0.7789686	0.0830733	0.7499982	0.7428881
850	0.1003793	0.6990058	0.1161001	0.7766694	0.7466425
900	0.0631216	0.7085586	0.1163029	0.8183904	0.7862118
950	0.0753878	0.7064378	0.0759592	0.7670787	0.9158023
1000	0.0886752	0.7821864	0.0804239	0.8037603	0.8294346

0	0.1362981	0.6747395	0.0959520	0.7242973	0.7046836
50	0.1000379	0.7382157	0.0591914	0.6994483	0.6560117
100	0.0837798	0.9649592	0.0584742	0.6649568	0.5035234
150	0.0515353	0.7834572	0.0861917	0.7232695	0.5030314
200	0.1024962	0.7326577	0.0756195	0.9100497	0.5868493
250	0.0686929	0.8112337	0.1281488	0.8052821	0.4134366
300	0.0622327	0.8504830	0.1087584	0.7320181	0.5071523
350	0.0447173	0.7520197	0.1266561	0.8845654	0.3740261
400	0.0452481	0.6631045	0.1091419	1.0269935	0.4372105
450	0.0801939	0.7345027	0.1005235	0.7162993	0.3898919
500	0.0502596	0.7789370	0.0634288	0.7383218	0.3466223
550	0.0555545	0.8506171	0.0448925	0.8599698	0.5367306
600	0.0448004	0.7295114	0.1332208	0.7290393	0.7260347
650	0.0627173	0.6472776	0.1169351	0.7701236	0.7444924
700	0.0905220	0.9183370	0.0894640	0.7963232	0.7220020
750	0.0915672	1.0635289	0.0767325	0.6755899	0.7083445
800	0.0531838	0.7504968	0.0662016	0.9034320	0.7163120
850	0.0631536	0.7647800	0.0823239	0.8211854	0.6665902
900	0.1245061	0.6997491	0.0840473	0.7060061	0.6340611
950	0.0923345	0.8100239	0.1575551	0.7505364	0.7774062
1000	0.0469869	0.7570338	0.0877817	0.9816320	0.7957423

0	0.0926449	0.6355591	0.1206122	0.7239626	0.6842844
50	0.1278057	0.6955713	0.0591783	0.8616502	0.4603564
100	0.0527692	0.7214076	0.0833910	0.7036797	0.1961569
