"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
800	0.6478062	0.9420726	0.4496025	0.3345742	0.4369610	0.0110624	0.2622423	0.2133345	0.2107164	0.1955674	0.2137339	0.0351152	0.0241423	0.5353490	0.9329819	0.0231359	0.2508026	0.4486943	0.2845072	0.4051956
850	0.7731601	0.9695542	0.4968916	0.3245492	0.4430510	0.0321267	0.2264836	0.1380200	0.1986912	0.1733259	0.2330384	0.0513760	0.0310798	0.5123848	0.9586789	0.0236366	0.2076293	0.5107866	0.2650229	0.4435529
900	0.7851855	0.9389206	0.4637017	0.2849565	0.3877504	0.0204819	0.1843987	0.1460599	0.2326157	0.1985245	0.2028695	0.0434522	0.0505813	0.5864899	1.0274474	0.0216104	0.2868031	0.4766516	0.2489031	0.4250945
950	0.7976160	1.0547460	0.4641537	0.3343095	0.4345631	0.0299382	0.2851736	0.1643815	0.2190684	0.2066106	0.2142066	0.0227577	0.0488565	0.5209134	0.9966382	0.0158664	0.2352990	0.5203429	0.1863449	0.4125797
1000	0.8643188	1.0016310	0.3448258	0.2725086	0.3586517	0.0345148	0.2634998	0.1512923	0.2202280	0.1487544	0.1668255	0.0339983	0.0445377	0.5352918	0.9569941	0.0097166	0.1985962	0.5186890	0.1430648	0.3868616

0	0.8053952	1.0430033	0.5027263	0.2848109	0.4076368	0.0596438	0.3139982	0.1678955	0.2677928	0.1726433	0.2185841	0.0346736	0.0329177	0.5984516	0.9806326	0.0255934	0.2377669	0.4847804	0.2140663	0.4079076
50	0.8391573	0.7458879	0.1508930	0.1803935	0.4046903	0.0609298	0.2087150	0.1453940	0.2432275	0.0560091	0.1423784	0.0547357	0.0225481	0.8655398	1.0967194	0.0218333	0.1305641	0.4463404	0.1088272	0.3628024
100	0.6702993	0.6790850	0.1594575	0.2453811	0.4352898	0.1582275	0.2298833	0.1552803	0.2875079	0.0482613	0.1744098	0.0552676	0.0112581	0.8710595	1.0014300	0.0248722	0.1391082	0.5000566	0.1794740	0.4073627
150	0.5064441	0.5841745	0.1506338	0.4112865	0.5063283	0.1342006	0.2474582	0.1638906	0.2395124	0.0588941	0.2177860	0.0463964	0.0034544	0.7756312	0.9521257	0.0196515	0.1851449	0.5145240	0.2119124	0.5233216
200	0.4674500	0.6406944	0.1589986	0.4806725	0.4560058	0.0675887	0.2368001	0.2039260	0.2182231	0.0702051	0.2098339	0.0686132	0.0001823	0.6985065	0.9009471	0.0121172	0.1752095	0.5747257	0.2729846	0.5619406
250	0.4315001	0.5606180	0.1580094	0.4125689	0.5167629	0.0443807	0.1982732	0.1661296	0.1952008	0.0506111	0.2099396	0.0684153	0.0000253	0.7697501	0.8886086	0.0256562	0.1792830	0.6023056	0.2562193	0.6084834
300	0.4313469	0.7251392	0.1710341	0.4784834	0.5191860	0.0415395	0.2262040	0.2207583	0.1742241	0.0744862	0.2562926	0.0589329	0.0000750	0.6807749	0.9330121	0.0201310	0.2153121	0.6395185	0.3014881	0.5940609
