"Time"	relE	relB	hokD	alaS	ilvN
400	0.0607973	0.6630864	0.1063834	0.7680843	0.1760537
450	0.0660417	0.6920992	0.0589555	0.5887761	0.2245230
500	0.0610223	0.7157452	0.0858207	0.7474289	0.1761017
550	0.0477667	0.7669015	0.0934031	0.7896525	0.5265054
600	0.0571009	0.7397050	0.0818403	0.7220046	0.5393025
650	0.0551326	0.7615969	0.0831587	0.7761527	0.6434746
700	0.0719858	0.6969172	0.1242211	0.5976421	0.5467811
750	0.0727129	0.6556398	0.0578054	0.7340794	0.7537589
800	0.0650544	0.8929323	0.0740974	0.7006091	0.7888083
850	0.0809088	0.7277131	0.0700663	0.6861866	0.7725980
900	0.0462343	0.6549602	0.0891258	0.7959150	0.7597870
950	0.0658744	0.7993903	0.0610849	0.7497204	0.6993575
1000	0.0438644	0.7156870	0.0854079	0.6948969	0.6507464

0	0.0838020	0.5898086	0.0753790	0.7919272	0.6656295
50	0.0708995	0.6898703	0.0202423	0.3903366	0.7095913
100	0.0534127	0.7217418	0.0044150	0.4496724	0.7496872
150	0.0449305	0.7793448	0.0006260	0.4641170	0.7081498
200	0.0810102	0.6254200	0.0011551	0.4954333	0.7139407
250	0.0294923	0.8426745	0.0011958	0.4658037	0.8033246
300	0.0472714	0.7426567	0.0064033	0.4504006	0.7312198
350	0.0474578	0.6816522	0.0006502	0.3942366	0.8228051
400	0.0582332	0.7418918	0.0008699	0.4173705	0.8348081
450	0.0635813	0.7890920	0.0000000	0.4126971	0.5664254
500	0.0555569	0.7197196	0.0012078	0.4427848	0.8004406
550	0.0594123	0.6248075	0.0612520	0.5383244	0.6675300
600	0.0880310	0.8143088	0.0821675	0.6829425	0.6530688
650	0.0454693	0.6208447	0.0696416	0.6468954	0.6807407
700	0.0455449	0.7184717	0.0520432	0.7630161	0.6858890
750	0.0485817	0.7785927	0.1075126	0.7710915	0.6123765
800	0.0556520	0.7461472	0.0617709	0.6562758	0.6442169
850	0.0352125	0.6463338	0.0735266	0.5885664	0.6568130
900	0.0703826	0.8059012	0.0839449	0.6358797	0.6510413
950	0.1233367	0.8635839	0.0804562	0.6358267	0.8296931
1000	0.1135622	0.8277745	0.0592734	0.6815844	0.6659854

0	0.0900519	0.6353780	0.0821128	0.7557487	0.5631252
50	0.0632325	0.6722661	0.1093039	0.2760265	0.8058949
100	0.0824989	0.6991569	0.1168830	0.2250881	0.7945025
150	0.0501520	0.7105984	0.1250697	0.1483458	0.7531818
200	0.0525385	0.7036233	0.0642265	0.1832082	0.7621411
250	0.0550308	0.7671092	0.0658595	0.1982224	0.7335092
300	0.0469583	0.6216689	0.0795491	0.1268898	0.7290399
350	0.1033336	0.6968012	0.0962243	0.1483893	0.6374957
400	0.1061100	0.6713964	0.1067841	0.1516518	0.6385824
450	0.1316756	0.7029433	0.1032919	0.2270221	0.5402431
500	0.0958961	0.7145124	0.0497203	0.1169348	0.6874219
550	0.0564968	0.8103397	0.0399763	0.6207170	0.7403358
600	0.0870945	0.7693282	0.0600671	0.6990134	0.5840816
650	0.0588575	0.6728816	0.1045741	0.7586799	0.6758483
700	0.1253348	0.6705711	0.0455364	0.6672812	0.4878818
750	0.0589330	0.7477915	0.0686041	0.5946514	0.7343812
800	0.0364619	0.6918042	0.0565007	0.7874025	0.7553217
850	0.0427727	0.7314232	0.0601926	0.6045655	0.8251758
900	0.0489684	0.5824497	0.1535888	0.5926974	0.6887361
950	0.0603932	0.7589981	0.0771534	0.6351677	0.7372549
1000	0.1141090	0.6285716	0.0872246	0.7155835	0.6985267

0	0.0724875	0.7380194	0.0550933	0.6725006	0.5863280
50	0.0635070	0.7615379	0.1315498	0.6998524	0.5027517
100	0.1175714	0.6568167	0.0918564	0.6362724	0.3048598
150	0.0695152	0.5691526	0.1355300	0.8092855	0.2837557
200	0.0507240	0.6419189	0.1278953	0.7185318	0.4235489
250	0.0564208	0.6974745	0.0559259	0.8201401	0.3174149
300	0.0749902	0.7519755	0.0893523	0.7224367	0.3784914
350	0.0947008	0.7766668	0.0678312	0.6963631	0.2993948
400	0.0916258	0.7461417	0.0777595	0.7382199	0.3055363
450	0.1000231	0.9117420	0.0675679	0.7159365	0.3493155
