"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
50	0.9936108	0.9993627	0.1997972	0.8760811	0.5241111	0.4940312	0.9952671	0.2241488	0.6398260	0.0561758
100	0.9860038	0.9993510	0.1628434	0.8195531	0.5323051	0.5756867	0.9949979	0.2022111	0.6209143	0.0561989
150	0.9813440	0.9993344	0.1392430	0.8015358	0.5498315	0.6194301	0.9946865	0.1904094	0.5970666	0.0562342
200	0.9789070	0.9993200	0.1269482	0.7989562	0.5717672	0.6386501	0.9945011	0.1852573	0.5795226	0.0562669
250	0.9777095	0.9993102	0.1212003	0.8001366	0.5923953	0.6467005	0.9944331	0.1832726	0.5698639	0.0562905
300	0.9771377	0.9993043	0.1187102	0.8014888	0.6086815	0.6502143	0.9944225	0.1825937	0.5655668	0.0563054
350	0.9768684	0.9993010	0.1177011	0.8023490	0.6201189	0.6518805	0.9944294	0.1823989	0.5640406	0.0563138
400	0.9767426	0.9992993	0.1173207	0.8027999	0.6275052	0.6527304	0.9944376	0.1823638	0.5636830	0.0563184
450	0.9766840	0.9992984	0.1171907	0.8030119	0.6319833	0.6531798	0.9944432	0.1823719	0.5637165	0.0563207
500	0.9766567	0.9992980	0.1171536	0.8031038	0.6345669	0.6534180	0.9944463	0.1823862	0.5638304	0.0563219
550	0.9830333	0.9993002	0.1477076	0.8768159	0.6348461	0.5806578	0.9945573	0.2028359	0.5673517	0.0563181
600	0.9906345	0.9993127	0.1862077	0.9358832	0.6260525	0.5003270	0.9949665	0.2251035	0.5860208	0.0562934
650	0.9952915	0.9993297	0.2098452	0.9540497	0.6068802	0.4572369	0.9952975	0.2368467	0.6107537	0.0562569
700	0.9977272	0.9993439	0.2214091	0.9551290	0.5840165	0.4377650	0.9954174	0.2417956	0.6293966	0.0562245
750	0.9989242	0.9993533	0.2263145	0.9523148	0.5635564	0.4292267	0.9954162	0.2435858	0.6394813	0.0562018
800	0.9994957	0.9993588	0.2281289	0.9498707	0.5481026	0.4253077	0.9953818	0.2441251	0.6435692	0.0561879
850	0.9997648	0.9993618	0.2286770	0.9484598	0.5376879	0.4233753	0.9953521	0.2442324	0.6446312	0.0561802
900	0.9998906	0.9993634	0.2287710	0.9477959	0.5312351	0.4223729	0.9953343	0.2442168	0.6445517	0.0561760
950	0.9999492	0.9993642	0.2287338	0.9475332	0.5274947	0.4218465	0.9953257	0.2441808	0.6442133	0.0561739
1000	0.9999764	0.9993645	0.2286775	0.9474513	0.5254451	0.4215755	0.9953222	0.2441518	0.6439243	0.0561729

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9993649	0.2044019	0.5734888	0.5202394	0.4123770	0.9947941	0.2441125	0.4837300	0.0561719
100	1.0000000	0.9993649	0.1727662	0.2478095	0.5009467	0.3426937	0.9894484	0.2441108	0.2883995	0.0561719
150	1.0000000	0.9993649	0.1517610	0.1091214	0.4713975	0.2473782	0.9684834	0.2441101	0.1691740	0.0561719
200	1.0000000	0.9993649	0.1401532	0.0594091	0.4478271	0.1821041	0.9179888	0.2441098	0.1089490	0.0561719
250	1.0000000	0.9993649	0.1342671	0.0428368	0.4348030	0.1472862	0.8484669	0.2441097	0.0809428	0.0561719
300	1.0000000	0.9993649	0.1314259	0.0375164	0.4294947	0.1306277	0.7905362	0.2441096	0.0684696	0.0561719
350	1.0000000	0.9993649	0.1300969	0.0358472	0.4282256	0.1230985	0.7564847	0.2441096	0.0630504	0.0561719
400	1.0000000	0.9993649	0.1294885	0.0353324	0.4285756	0.1198073	0.7404292	0.2441096	0.0607309	0.0561719
450	1.0000000	0.9993649	0.1292142	0.0351762	0.4293384	0.1183984	0.7338480	0.2441096	0.0597474	0.0561719
500	1.0000000	0.9993649	0.1290919	0.0351297	0.4300393	0.1178036	0.7313896	0.2441096	0.0593329	0.0561719
550	1.0000000	0.9993649	0.1532047	0.4221077	0.4328893	0.1200615	0.8143670	0.2441096	0.1615518	0.0561719
600	1.0000000	0.9993649	0.1848154	0.7550583	0.4529880	0.1698923	0.9265766	0.2441096	0.2957429	0.0561719
650	1.0000000	0.9993649	0.2058097	0.8911906	0.4825952	0.2600347	0.9741254	0.2441096	0.4172095	0.0561719
700	1.0000000	0.9993649	0.2174128	0.9353154	0.5058184	0.3334802	0.9894229	0.2441096	0.5139716	0.0561719
750	1.0000000	0.9993649	0.2232968	0.9469973	0.5189873	0.3780501	0.9938020	0.2441096	0.5770835	0.0561719
800	1.0000000	0.9993649	0.2261372	0.9490366	0.5247040	0.4014425	0.9949681	0.2441096	0.6123464	0.0561719
850	1.0000000	0.9993649	0.2274658	0.9487856	0.5263289	0.4126763	0.9952565	0.2441096	0.6299712	0.0561719
900	1.0000000	0.9993649	0.2280740	0.9482673	0.5261854	0.4177398	0.9953191	0.2441096	0.6380584	0.0561719
950	1.0000000	0.9993649	0.2283482	0.9478980	0.5255076	0.4199090	0.9953282	0.2441096	0.6415094	0.0561719
1000	1.0000000	0.9993649	0.2284705	0.9476877	0.5248235	0.4207969	0.9953268	0.2441096	0.6428826	0.0561719

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	1.0000000	0.9995541	0.1892931	0.9494466	0.5255382	0.4213259	0.9953573	0.1832608	0.6435611	0.0371989
100	1.0000000	0.9997177	0.1378800	0.9597345	0.5437856	0.4216548	0.9954996	0.1145976	0.6445942	0.0176979
150	1.0000000	0.9997889	0.1037431	0.9729168	0.5799912	0.4227469	0.9956482	0.0753687	0.6480756	0.0078259
200	1.0000000	0.9998158	0.0848783	0.9829741	0.6225996	0.4244403	0.9957609	0.0564175	0.6535686	0.0036734
250	1.0000000	0.9998255	0.0753124	0.9890071	0.6608231	0.4261931	0.9958372	0.0478811	0.6593474	0.0020691
300	1.0000000	0.9998289	0.0706949	0.9922042	0.6900140	0.4276244	0.9958842	0.0441667	0.6641285	0.0014783
350	1.0000000	0.9998301	0.0685351	0.9937890	0.7101057	0.4286296	0.9959108	0.0425802	0.6675198	0.0012670
400	1.0000000	0.9998305	0.0675463	0.9945457	0.7229774	0.4292672	0.9959249	0.0419096	0.6696871	0.0011930
450	1.0000000	0.9998307	0.0671005	0.9948990	0.7308041	0.4296436	0.9959319	0.0416277	0.6709739	0.0011674
500	1.0000000	0.9998307	0.0669018	0.9950616	0.7353781	0.4298543	0.9959354	0.0415097	0.6716979	0.0011586
550	1.0000000	0.9996415	0.1060895	0.9943625	0.7356266	0.4299633	0.9959363	0.1022992	0.6720733	0.0201287
600	1.0000000	0.9994780	0.1574629	0.9888491	0.7188337	0.4299004	0.9959215	0.1709333	0.6718377	0.0396287
650	1.0000000	0.9994068	0.1915824	0.9786414	0.6834288	0.4293808	0.9958570	0.2101562	0.6699901	0.0495003
700	1.0000000	0.9993799	0.2104396	0.9678969	0.6416857	0.4282658	0.9957392	0.2291093	0.6661170	0.0536527
750	1.0000000	0.9993702	0.2200023	0.9595113	0.6041939	0.4267606	0.9956068	0.2376487	0.6610184	0.0552570
800	1.0000000	0.9993668	0.2246183	0.9540408	0.5753618	0.4252191	0.9954964	0.2413653	0.6559201	0.0558478
850	1.0000000	0.9993655	0.2267775	0.9508609	0.5552928	0.4239087	0.9954202	0.2429531	0.6516744	0.0560590
900	1.0000000	0.9993651	0.2277660	0.9491512	0.5422624	0.4229336	0.9953739	0.2436244	0.6485676	0.0561331
950	1.0000000	0.9993650	0.2282117	0.9482809	0.5342268	0.4222765	0.9953481	0.2439066	0.6465005	0.0561587
1000	1.0000000	0.9993649	0.2284104	0.9478550	0.5294648	0.4218658	0.9953346	0.2440248	0.6452211	0.0561674

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	0.8472635	0.9993003	0.2359597	0.6553514	0.5739124	0.3711833	0.9949216	0.2481292	0.5602370	0.0562914
100	0.6654133	0.9986905	0.2951123	0.3995257	0.6361193	0.2915780	0.9918545	0.2752958	0.4514505	0.0575964
150	0.5540195	0.9968328	0.4160155	0.2845559	0.6556244	0.2218986	0.9841877	0.3233019	0.3988046	0.0622427
200	0.4957618	0.9935118	0.5532910	0.2313669	0.6342911	0.1802679	0.9686034	0.3732910	0.3907061	0.0717210
250	0.4671344	0.9895162	0.6675691	0.1992176	0.5940681	0.1618548	0.9368527	0.4130064	0.4004591	0.0843556
300	0.4534649	0.9859350	0.7473734	0.1764716	0.5530566	0.1557699	0.8867152	0.4400476	0.4128668	0.0966187
350	0.4470291	0.9833239	0.7974770	0.1605730	0.5194808	0.1546490	0.8301471	0.4568116	0.4226176	0.1061427
400	0.4440208	0.9816694	0.8268379	0.1501520	0.4949732	0.1550178	0.7810608	0.4665944	0.4290213	0.1124888
450	0.4426198	0.9807159	0.8432482	0.1437300	0.4783039	0.1555916	0.7453999	0.4720703	0.4328395	0.1162946
500	0.4419685	0.9802006	0.8521127	0.1399619	0.4675002	0.1560222	0.7223479	0.4750430	0.4349826	0.1184156
550	0.5944026	0.9823981	0.8452304	0.3198116	0.3882958	0.1761670	0.7175404	0.4703352	0.5164264	0.1124932
600	0.7761125	0.9895090	0.7639785	0.4852022	0.2891867	0.2004874	0.7481249	0.4335554	0.5711034	0.0907239
650	0.8874412	0.9947593	0.6225243	0.5880913	0.2325151	0.2313123	0.8199797	0.3778269	0.5631179	0.0731120
700	0.9456686	0.9973854	0.4849977	0.6783538	0.2187402	0.2675072	0.9009820	0.3278445	0.5397241	0.0636434
750	0.9742820	0.9985376	0.3823806	0.7630225	0.2382383	0.3049620	0.9540360	0.2925932	0.5288819	0.0593014
800	0.9879451	0.9990203	0.3158578	0.8317428	0.2799518	0.3393995	0.9791383	0.2707509	0.5365342	0.0574529
850	0.9943778	0.9992202	0.2762093	0.8796828	0.3317172	0.3673015	0.9891682	0.2582272	0.5565513	0.0566932
900	0.9973847	0.9993034	0.2538365	0.9096305	0.3827150	0.3875600	0.9929157	0.2513980	0.5800069	0.0563851
950	0.9987851	0.9993384	0.2416825	0.9270274	0.4260948	0.4010878	0.9943215	0.2478000	0.6007689	0.0562601
1000	0.9994360	0.9993533	0.2352602	0.9366750	0.4593353	0.4095847	0.9948768	0.2459507	0.6164746	0.0562090

0	1.0000000	0.9993648	0.2285716	0.9474661	0.5229020	0.4212851	0.9953211	0.2441164	0.6434393	0.0561720
50	0.8345304	0.9992934	0.2247376	0.9478665	0.5236160	0.4226165	0.9953295	0.2484859	0.6458134	0.0369932
100	0.6375198	0.9985723	0.2652653	0.9466683	0.5229790	0.4324196	0.9953000	0.2783118	0.6625784	0.0177780
150	0.5168395	0.9961333	0.3670382	0.9306561	0.5060785	0.4523256	0.9946540	0.3312915	0.6948068	0.0099520
200	0.4537251	0.9912890	0.4857637	0.8892585	0.4649331	0.4754133	0.9907169	0.3864167	0.7304858	0.0107058
