"Time"	xylR	arcA	lldR	betI	lldD	betT	betA	lldP	betB	ydeA	puuR	puuD	fadJ	appA	ackA	puuA	hybD	rpsJ	ssb	rplC
850	0.6838432	1.0386552	0.4912451	0.3040959	0.4056054	0.0599987	0.2836483	0.2057586	0.2515991	0.2141246	0.2125489	0.0503064	0.0370325	0.5442954	0.9858640	0.0305033	0.2305594	0.5080885	0.2113173	0.4731488
900	0.7438919	1.0376213	0.4893517	0.2681151	0.3698131	0.0504357	0.2952785	0.2408696	0.2290226	0.2047990	0.2444823	0.0494449	0.0242887	0.5191572	0.8923984	0.0237514	0.2322349	0.4274999	0.2347093	0.3821742
950	0.7644111	1.1039131	0.4720718	0.2993510	0.3996286	0.0318706	0.2956230	0.2249512	0.2393387	0.2061491	0.2387488	0.0390464	0.0338032	0.5520121	0.9478469	0.0227932	0.3022954	0.4291249	0.1959092	0.4141779
1000	0.8071695	1.0572173	0.4376943	0.2054482	0.3420331	0.0253064	0.2612119	0.1720401	0.2502328	0.1388237	0.2143779	0.0182012	0.0535049	0.5518776	0.9517301	0.0241078	0.2551916	0.4959315	0.1627243	0.3937809

0	0.8070865	1.0860969	0.4540315	0.2581129	0.4022875	0.0606355	0.3503206	0.1824606	0.2719058	0.1955380	0.2316410	0.0246904	0.0467578	0.6182916	0.9351447	0.0261620	0.2361414	0.4809806	0.1871223	0.3701220
50	0.7039904	1.0014166	0.0879190	0.3018198	0.3679242	0.0073600	0.3034338	0.1113646	0.2012944	0.1980597	0.0478876	0.0079493	0.0403702	0.6235711	1.0013682	0.0287055	0.2456859	0.4135470	0.2613633	0.3380649
100	0.8327002	1.0018588	0.0575335	0.2782049	0.4123740	0.0011964	0.2868823	0.0828120	0.1615106	0.1352910	0.0240583	0.0011888	0.0326937	0.5355538	1.0140581	0.0149281	0.2566177	0.4294180	0.2507990	0.3554152
150	0.7982100	0.9504057	0.0199004	0.2424737	0.5743549	0.0043951	0.3065344	0.0539772	0.1296102	0.1132638	0.0289263	0.0025604	0.0481676	0.5817180	1.0237097	0.0270998	0.1944910	0.3791105	0.2235635	0.3745203
200	0.7253813	1.1190816	0.0128590	0.2499271	0.7271168	0.0055606	0.3474159	0.0534841	0.1653916	0.1318504	0.0183603	0.0008636	0.0517778	0.6051498	0.9146921	0.0144557	0.2191779	0.3630755	0.2442625	0.4235168
250	0.7810715	0.9956122	0.0196284	0.2225477	0.9472386	0.0017238	0.4152807	0.0505943	0.1748439	0.1389768	0.0121840	0.0075243	0.0626365	0.6262599	1.0156259	0.0191769	0.1905397	0.4319064	0.1816550	0.4146665
300	0.7667742	1.0918962	0.0080371	0.2661284	1.0483467	0.0047219	0.3793517	0.0503311	0.2009380	0.1297732	0.0124909	0.0113635	0.0502553	0.5793246	1.0168645	0.0253650	0.2283116	0.3777644	0.1548462	0.3437580
350	0.7434227	1.0195353	0.0182874	0.2588138	0.9622570	0.0061716	0.3465832	0.0405046	0.1632278	0.1530901	0.0073436	0.0039991	0.0460857	0.5598683	1.0298695	0.0200174	0.1866000	0.3908552	0.1799830	0.4209028
400	0.6950622	1.0119152	0.0119889	0.2616200	1.0436290	0.0012261	0.2939099	0.0657054	0.1397180	0.1659435	0.0108240	0.0014889	0.0341938	0.5880238	1.0679333	0.0228888	0.2316283	0.3568826	0.1906975	0.3686195
450	0.7176776	0.9864521	0.0060679	0.3364804	0.9245362	0.0034928	0.3610475	0.0840047	0.1367020	0.2273179	0.0063341	0.0024013	0.0386242	0.5236730	1.0716458	0.0172292	0.2450385	0.3310116	0.2302591	0.3905402
500	0.7844281	1.0743006	0.0160118	0.2373428	0.9402981	0.0035924	0.3284139	0.0821710	0.1362790	0.2133084	0.0055598	0.0056558	0.0487830	0.6311432	0.9517660	0.0193542	0.2668463	0.4088598	0.2336121	0.4325839
550	0.8292419	0.9882609	0.3612149	0.2584027	0.5715287	0.0324286	0.3623254	0.1048931	0.2470447	0.1658691	0.1400816	0.0390386	0.0276042	0.6128512	0.9702626	0.0274333	0.1844090	0.4452910	0.2120578	0.4292456
600	0.7660489	0.9428275	0.4432409	0.2419662	0.4994142	0.0554675	0.4164801	0.1333367	0.3106225	0.2083570	0.1797327	0.0475418	0.0367419	0.6108445	0.9859023	0.0186733	0.2206501	0.4624111	0.1979193	0.5011429
650	0.7353404	0.9184297	0.5336884	0.3700125	0.4365505	0.0869680	0.3789331	0.1690652	0.3064687	0.2975324	0.2058533	0.0485235	0.0369759	0.5580720	0.8950613	0.0261886	0.2566218	0.4954967	0.2658457	0.4551988
700	0.7417264	0.9496823	0.4450674	0.3568766	0.4485676	0.0529307	0.3293241	0.1879772	0.2780159	0.2766388	0.2085914	0.0392393	0.0490179	0.5484619	0.9898847	0.0311365	0.2783362	0.5101978	0.2693212	0.4559840
750	0.7529532	0.9324884	0.4865003	0.3477569	0.3959249	0.0479535	0.3230933	0.1959589	0.3147451	0.2550252	0.2042623	0.0371987	0.0416964	0.5655425	0.9071361	0.0103820	0.2801047	0.4920400	0.2158655	0.4638471
800	0.7184614	1.0428515	0.5193762	0.3118688	0.4198979	0.0467020	0.3330705	0.1725792	0.1990051	0.2699460	0.1983179	0.0484881	0.0395644	0.5703613	0.8745867	0.0166094	0.2721039	0.4722036	0.2349149	0.3863330
850	0.7047931	0.9575255	0.4511398	0.3602695	0.4313005	0.0332717	0.2704033	0.2011713	0.2103255	0.2103299	0.1937730	0.0214548	0.0428126	0.6272470	0.9660558	0.0164693	0.2345786	0.5184781	0.2484185	0.3873067
900	0.7100340	1.0077296	0.4781118	0.2685896	0.4275040	0.0303407	0.2425432	0.1597579	0.2198697	0.1916692	0.2040636	0.0365257	0.0325519	0.5667289	0.9157861	0.0167332	0.2176077	0.5163946	0.2403472	0.4409824
