"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
750	0.6531527	0.0011953	0.7422797	0.0429699	0.2223348	0.1220706	0.1357862	0.8208910	0.4093258	0.0676709
800	0.6541039	0.0034922	0.7768995	0.0476723	0.1534310	0.0924560	0.1721031	0.7967663	0.3536728	0.1094376
850	0.6572990	0.0011100	0.7900284	0.0177231	0.1123255	0.1726292	0.1377939	0.7076111	0.3956128	0.1274960
900	0.6808819	0.0159042	0.7394835	0.0541817	0.1075836	0.0999202	0.1089653	0.8105756	0.3849830	0.1310925
950	0.6447150	0.0110901	0.6875060	0.0553241	0.1372989	0.1396798	0.1233799	0.6980529	0.3270969	0.1712868
1000	0.6636217	0.0043561	0.5730783	0.0231264	0.2214218	0.2635949	0.1589292	0.6933831	0.3446175	0.0802549

0	0.5990431	0.0044430	0.7491051	0.0621188	0.1248955	0.1873744	0.1323516	0.7071129	0.3324927	0.0983788
50	0.5375402	0.0093187	0.6348132	0.0235569	0.1754650	0.1942719	0.0691741	0.7586496	0.3441711	0.1667541
100	0.6080951	0.0056234	0.6618633	0.0575666	0.1300782	0.0795816	0.0378469	0.7014261	0.3087518	0.2898447
150	0.5764678	0.0082860	0.6802485	0.0053879	0.1406179	0.1024374	0.0167117	0.6681400	0.3047657	0.3361734
200	0.6057144	0.0018108	0.6325039	0.0046490	0.0952841	0.0626675	0.0520561	0.5918158	0.2981140	0.3291036
250	0.5430030	0.0046047	0.7665406	0.0044477	0.1546502	0.0741597	0.0359813	0.6384683	0.2956705	0.3368471
300	0.6102142	0.0073420	0.6321993	0.0460662	0.1318773	0.0710192	0.0407134	0.7676183	0.4404593	0.3439230
350	0.6649610	0.0091698	0.5987438	0.0206242	0.1942635	0.0587686	0.0416280	0.6335964	0.2911395	0.3870245
400	0.7152048	0.0098688	0.6700624	0.0097960	0.1617400	0.0374521	0.0462406	0.6680262	0.3902797	0.3858270
450	0.6071175	0.0065241	0.6939957	0.0098675	0.1418677	0.0476970	0.0339922	0.6516037	0.3650313	0.3736881
500	0.6168535	0.0112940	0.7475619	0.0036322	0.1568074	0.0562284	0.0413151	0.5368117	0.4010086	0.3565454
550	0.5631682	0.0132527	0.5526556	0.0160819	0.0859036	0.0889106	0.0500435	0.7182313	0.3332345	0.2585723
600	0.7642361	0.0023100	0.8388512	0.0420689	0.1854587	0.1013044	0.1104902	0.6366961	0.3221063	0.1361132
650	0.6897462	0.0007680	0.7247659	0.0609049	0.2161043	0.1015435	0.1170193	0.5673125	0.2909609	0.0905624
700	0.8216166	0.0040971	0.6252794	0.0665430	0.1540433	0.1463828	0.1636017	0.7340958	0.3217477	0.1244838
750	0.7272326	0.0049992	0.7351819	0.0819727	0.2115401	0.1757758	0.1666094	0.5438288	0.3332715	0.0931775
800	0.6628417	0.0048590	0.7165080	0.0557689	0.1356788	0.1291534	0.1466454	0.5713304	0.2861264	0.1194082
850	0.6359063	0.0007320	0.7228540	0.0339258	0.1196509	0.1459585	0.1269906	0.6287991	0.3542321	0.0759381
900	0.6725536	0.0016307	0.8276983	0.0568118	0.1721549	0.0933498	0.1393338	0.7055802	0.3387489	0.0878509
950	0.5977140	0.0013835	0.6378034	0.0686393	0.1765257	0.1138406	0.1712167	0.8116342	0.4287259	0.0510036
1000	0.6191611	0.0045953	0.8399695	0.0327583	0.2651945	0.0988703	0.1283357	0.7359853	0.2957088	0.1168686

0	0.7977868	0.0098808	0.6329364	0.0416324	0.1444121	0.1408922	0.1044429	0.7258853	0.3042804	0.0640573
50	0.4623761	0.0052095	0.2843430	0.0393902	0.1821050	0.1412842	0.1710874	0.6228019	0.2771601	0.0693120
100	0.4259290	0.0116890	0.0973857	0.1938633	0.2636971	0.3458099	0.2987822	0.6129329	0.4135873	0.1467987
150	0.3939558	0.1444539	0.0382980	0.2528188	0.3576082	0.5542509	0.2756680	0.7078866	0.3892899	0.1705557
200	0.3889261	0.2769127	0.0457927	0.2340322	0.3758541	0.6671680	0.4648923	0.7239985	0.3991847	0.3151038
250	0.3748272	0.3892925	0.0636491	0.3159022	0.5396947	0.6817076	0.5419195	0.6967424	0.4359405	0.4649409
300	0.3860034	0.4456922	0.0509974	0.4676264	0.6320280	0.6175857	0.4006276	0.5998197	0.5248560	0.3692792
350	0.2679102	0.3783213	0.0697345	0.4910300	0.6801624	0.6409174	0.5437590	0.7545977	0.5237180	0.4836694
400	0.3058773	0.3028501	0.0617365	0.3399715	0.7024513	0.5979924	0.5676503	0.7543104	0.4736691	0.5232831
450	0.2627100	0.3955997	0.0288438	0.4168868	0.6146181	0.7252635	0.5545869	0.8463063	0.4978515	0.5067396
500	0.3307604	0.3403786	0.0388961	0.4216900	0.6048154	0.7074490	0.4228436	0.7761360	0.5108314	0.4786804
550	0.5371239	0.3812130	0.4670098	0.4557241	0.7203998	0.6068163	0.3569385	0.7144473	0.4246392	0.3952680
600	0.8667146	0.1326029	0.6876446	0.2453049	0.5827691	0.5275038	0.3027239	0.5710513	0.3319547	0.3993650
