"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
750	0.9995889	0.0035655	1.0000000	0.0667777	0.2213860	0.2068424	0.2012942	0.9978989	0.4783310	0.1231973
800	0.9998789	0.0035649	1.0000000	0.0672753	0.2228939	0.2076175	0.2014158	0.9986847	0.4777654	0.1258404
850	0.9999643	0.0035647	1.0000000	0.0674881	0.2235555	0.2079809	0.2014760	0.9989463	0.4775004	0.1270185
900	0.9999895	0.0035646	1.0000000	0.0675791	0.2238457	0.2081456	0.2015043	0.9990319	0.4773828	0.1275329
950	0.9999969	0.0035645	1.0000000	0.0676180	0.2239728	0.2082187	0.2015173	0.9990593	0.4773318	0.1277553
1000	0.9999991	0.0035645	1.0000000	0.0676346	0.2240285	0.2082507	0.2015231	0.9990677	0.4773098	0.1278508

0	1.0000000	0.0035646	1.0000000	0.0676497	0.2240852	0.2082806	0.2015287	0.9990696	0.4772897	0.1279382
50	0.3250722	0.0035908	1.0000000	0.0676482	0.1356190	0.1227339	0.0638659	0.7411949	0.4772918	0.1279292
100	0.1262328	0.0043609	1.0000000	0.0676475	0.0989639	0.0988450	0.0215931	0.6505750	0.4772927	0.1279254
150	0.0676530	0.0224216	1.0000000	0.0676472	0.0837762	0.0921740	0.0086122	0.6187301	0.4772930	0.1279237
200	0.0503949	0.1801689	1.0000000	0.0676471	0.0774833	0.0903112	0.0046261	0.6075395	0.4772932	0.1279230
250	0.0453106	0.4750703	1.0000000	0.0676471	0.0748759	0.0897909	0.0034020	0.6036070	0.4772933	0.1279227
300	0.0438127	0.6793913	1.0000000	0.0676470	0.0737956	0.0896457	0.0030262	0.6022251	0.4772933	0.1279226
350	0.0433714	0.7778836	1.0000000	0.0676470	0.0733480	0.0896051	0.0029108	0.6017394	0.4772933	0.1279225
400	0.0432413	0.8195796	1.0000000	0.0676470	0.0731625	0.0895937	0.0028753	0.6015688	0.4772933	0.1279225
