"Time"	kdgR	eda	gntR	idnR	idnO	idnT	idnK	gntU	gntK	idnD
900	0.9199584	0.0060552	0.9060083	0.0754553	0.1727169	0.1586603	0.2148197	0.9486378	0.4306255	0.1082583
950	0.9577586	0.0000000	0.9284722	0.0729378	0.1997148	0.1799447	0.2310510	1.0075032	0.4913602	0.1450423
1000	0.9103406	0.0024214	0.8976653	0.0577495	0.2592463	0.2585068	0.2103372	1.0019381	0.4412120	0.1296226

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	1.0274609	0.0064140	1.0099703	0.0386590	0.1504066	0.2182099	0.2529136	0.9915110	0.4430614	0.1419572
100	1.0598820	0.0009510	0.9726525	0.0145456	0.1840943	0.2049514	0.2696689	1.0388658	0.4529750	0.1437203
150	1.0686600	0.0014999	1.0620888	0.0115976	0.1700807	0.1866736	0.1798691	1.0993999	0.4444549	0.1359977
200	1.0752864	0.0020359	1.1191019	0.0042216	0.1607678	0.1842547	0.2117795	1.1523076	0.4317016	0.1282556
250	1.0737011	0.0028080	1.0464289	0.0033081	0.1301781	0.1904454	0.1833985	1.0165385	0.4072660	0.1891969
300	1.1014514	0.0026140	0.8943764	0.0005283	0.1802722	0.1675673	0.1755538	1.0084072	0.4152192	0.1847720
350	1.1243295	0.0014142	0.8239788	0.0061887	0.2550270	0.1892567	0.2029649	1.0251073	0.4370024	0.1928088
400	1.0694038	0.0005237	0.8910886	0.0025641	0.2562260	0.2437274	0.2362142	0.9862662	0.4138665	0.1532525
450	0.9984923	0.0002413	0.9522612	0.0006546	0.1978407	0.2340473	0.2154115	1.0544496	0.4290158	0.1695973
500	1.1342595	0.0000713	0.9736687	0.0026261	0.2012611	0.1727434	0.2289805	1.0462221	0.4603848	0.1893131
550	1.0463023	0.0017053	0.9051409	0.0322584	0.2197781	0.1677177	0.2201495	0.9100055	0.5279683	0.1489189
600	0.9026577	0.0021956	0.8824489	0.0408691	0.2626992	0.2047075	0.2393438	0.8911723	0.4460719	0.1112392
650	0.9447768	0.0002302	1.0691868	0.0614996	0.2069730	0.1850687	0.2303813	0.9784879	0.4555415	0.1055722
700	0.9628063	0.0018701	1.0227074	0.0563616	0.1965748	0.1794500	0.2051883	0.9715812	0.4145033	0.0986280
750	1.0659150	0.0027489	0.9663892	0.0776173	0.1822196	0.2150539	0.2069357	0.9518698	0.4713898	0.1149883
800	1.0402665	0.0000285	1.0360314	0.0823511	0.2307364	0.2179167	0.2288998	0.9774308	0.4961875	0.1350909
850	0.9459915	0.0057209	0.9672354	0.0516730	0.1841000	0.2605591	0.2327178	0.9150148	0.4912321	0.1796381
900	0.9818070	0.0057220	0.9645887	0.0502001	0.2759523	0.2156281	0.2221401	1.0229876	0.5175653	0.1084165
950	1.0435866	0.0111059	1.0625290	0.1085553	0.2763604	0.2107304	0.2099571	1.0334248	0.5062836	0.1489813
1000	1.1704544	0.0047581	0.9924005	0.0978033	0.2813912	0.1774264	0.2149892	1.0334137	0.4816758	0.1388662

0	1.1161327	0.0109167	0.9843339	0.0579994	0.2234251	0.2250225	0.1969041	0.9972277	0.5024460	0.1048521
50	0.9330510	0.0095883	1.0055475	0.0494709	0.2360849	0.2022948	0.1850261	0.9120332	0.4415318	0.1399682
100	0.9783648	0.0061760	1.0543792	0.0382715	0.1505911	0.2110890	0.1695203	0.8754380	0.4960710	0.1227103
150	1.0761193	0.0085821	1.0664518	0.0126991	0.1603059	0.1829035	0.1762083	0.9796821	0.4768228	0.1004738
200	1.0380473	0.0037787	1.1699573	0.0034328	0.2571456	0.1828506	0.2033278	0.9472002	0.5002051	0.0762134
250	1.1439469	0.0044533	0.9074661	0.0004976	0.2657595	0.1394955	0.1836923	0.9591268	0.5382252	0.0526929
300	0.9852107	0.0077327	0.9754130	0.0030762	0.3142120	0.1598578	0.1757066	0.9594867	0.5215461	0.0255933
350	0.9624345	0.0067941	0.9331923	0.0049881	0.3081396	0.1340562	0.1532581	1.1341185	0.5752456	0.0251024
400	0.9867811	0.0030021	1.0980703	0.0096528	0.2366286	0.1176238	0.1563293	0.9841371	0.5240808	0.0253321
450	0.9634440	0.0096543	1.0026859	0.0079383	0.2123087	0.1260003	0.1942413	0.9441334	0.5044305	0.0521471
500	1.0912543	0.0080342	1.0867329	0.0012617	0.2071152	0.1536311	0.1935413	0.7931581	0.4512055	0.0602052
550	0.9881554	0.0053165	1.0510423	0.0279394	0.2374726	0.2095051	0.1856730	0.8360297	0.4902570	0.0571048
600	0.9763023	0.0023595	1.0315862	0.0699638	0.2212401	0.2138732	0.1882428	0.9294669	0.4794388	0.1019561
650	0.9892670	0.0021199	1.0317267	0.0712743	0.1903451	0.2480917	0.1990826	0.9955709	0.4696336	0.1383902
700	1.0125641	0.0039405	1.1921734	0.0802497	0.2167350	0.2187261	0.1922129	1.0497408	0.4569559	0.1134071
750	0.9743360	0.0036808	0.9694040	0.0740427	0.1947695	0.2058327	0.1933163	0.9651012	0.4857045	0.1071679
800	0.9636096	0.0056281	1.1164008	0.0613016	0.2207827	0.2318227	0.1669096	1.0233935	0.4676857	0.1332447
850	1.0462223	0.0060898	1.0887713	0.0617336	0.2154654	0.1821529	0.1732951	1.0005704	0.5172295	0.1079008
900	1.0253368	0.0113724	1.0049037	0.0513853	0.2100099	0.1993952	0.1254703	1.0452581	0.5209591	0.0933417
950	1.0120115	0.0056304	1.0566754	0.0985537	0.2107191	0.1925802	0.1739267	1.0410058	0.6056150	0.0735859
1000	1.0973889	0.0019613	0.9534868	0.0773014	0.2395683	0.1961684	0.1985450	0.9772868	0.5262015	0.1277004
