"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
900	0.9999973	0.9993603	0.2307637	0.9409058	0.4980281	0.4185712	0.9951222	0.2447593	0.6341032	0.0561850
950	0.9999993	0.9993628	0.2296180	0.9437827	0.5074711	0.4195842	0.9952100	0.2444130	0.6372029	0.0561782
1000	0.9999998	0.9993639	0.2290657	0.9454604	0.5137771	0.4202839	0.9952603	0.2442509	0.6395311	0.0561749

0	1.0000000	0.9993649	0.2285666	0.9474730	0.5232974	0.4213275	0.9953214	0.2441097	0.6435243	0.0561719
50	1.0000000	0.9993649	0.1469496	0.9517705	0.5322977	0.4184620	0.7335509	0.2441096	0.6437252	0.0561719
100	1.0000000	0.9993649	0.1183438	0.9635073	0.5640888	0.4183825	0.6785155	0.2441096	0.6456867	0.0561719
150	1.0000000	0.9993649	0.1083178	0.9742150	0.6034688	0.4197646	0.6670044	0.2441096	0.6501676	0.0561719
200	1.0000000	0.9993649	0.1048038	0.9811106	0.6370213	0.4214583	0.6646364	0.2441096	0.6555477	0.0561719
250	1.0000000	0.9993649	0.1035722	0.9849335	0.6607438	0.4228200	0.6641731	0.2441096	0.6602262	0.0561719
300	1.0000000	0.9993649	0.1031405	0.9868989	0.6758025	0.4237170	0.6640954	0.2441096	0.6636068	0.0561719
350	1.0000000	0.9993649	0.1029892	0.9878663	0.6847259	0.4242432	0.6640895	0.2441096	0.6657812	0.0561719
400	1.0000000	0.9993649	0.1029362	0.9883292	0.6897689	0.4245298	0.6640935	0.2441096	0.6670747	0.0561719
450	1.0000000	0.9993649	0.1029176	0.9885461	0.6925223	0.4246781	0.6640969	0.2441096	0.6678026	0.0561719
500	1.0000000	0.9993649	0.1029111	0.9886462	0.6939867	0.4247521	0.6640988	0.2441096	0.6681957	0.0561719
550	1.0000000	0.9993649	0.1845259	0.9862577	0.6846911	0.4276966	0.9259683	0.2441096	0.6683129	0.0561719
600	1.0000000	0.9993649	0.2131308	0.9777273	0.6509251	0.4281450	0.9811064	0.2441096	0.6672231	0.0561719
650	1.0000000	0.9993649	0.2231566	0.9674596	0.6112623	0.4272727	0.9926273	0.2441096	0.6639826	0.0561719
700	1.0000000	0.9993649	0.2266704	0.9592037	0.5788032	0.4257966	0.9949471	0.2441096	0.6592872	0.0561719
750	1.0000000	0.9993649	0.2279020	0.9538192	0.5563145	0.4243152	0.9953531	0.2441096	0.6545116	0.0561719
800	1.0000000	0.9993649	0.2283337	0.9507175	0.5421341	0.4231498	0.9953867	0.2441096	0.6505885	0.0561719
850	1.0000000	0.9993649	0.2284850	0.9490674	0.5337241	0.4223634	0.9953647	0.2441096	0.6477909	0.0561719
900	1.0000000	0.9993649	0.2285380	0.9482355	0.5289496	0.4218862	0.9953449	0.2441096	0.6459843	0.0561719
950	1.0000000	0.9993649	0.2285566	0.9478318	0.5263269	0.4216181	0.9953333	0.2441096	0.6448992	0.0561719
1000	1.0000000	0.9993649	0.2285631	0.9476412	0.5249229	0.4214757	0.9953272	0.2441096	0.6442822	0.0561719

0	1.0000000	0.9993649	0.2285666	0.9474730	0.5232974	0.4213275	0.9953214	0.2441097	0.6435243	0.0561719
50	1.0000000	0.9995340	0.2285666	0.9474773	0.5233612	0.5167657	0.9953216	0.2441037	0.5210678	0.0147177
100	1.0000000	0.9995586	0.2285666	0.9474791	0.5233925	0.5447451	0.9953216	0.2440911	0.4700292	0.0040778
150	1.0000000	0.9995622	0.2285666	0.9474799	0.5234078	0.5529478	0.9953217	0.2440821	0.4487569	0.0013469
200	1.0000000	0.9995627	0.2285666	0.9474802	0.5234151	0.5553526	0.9953217	0.2440775	0.4398908	0.0006460
250	1.0000000	0.9995628	0.2285666	0.9474804	0.5234187	0.5560577	0.9953217	0.2440755	0.4361956	0.0004661
300	1.0000000	0.9995628	0.2285666	0.9474804	0.5234204	0.5562644	0.9953217	0.2440747	0.4346554	0.0004199
350	1.0000000	0.9995628	0.2285666	0.9474805	0.5234212	0.5563250	0.9953217	0.2440744	0.4340135	0.0004081
400	1.0000000	0.9995628	0.2285666	0.9474805	0.5234216	0.5563428	0.9953217	0.2440743	0.4337460	0.0004050
450	1.0000000	0.9995628	0.2285666	0.9474805	0.5234218	0.5563480	0.9953217	0.2440743	0.4336344	0.0004043
500	1.0000000	0.9995628	0.2285666	0.9474805	0.5234219	0.5563495	0.9953217	0.2440743	0.4335880	0.0004041
550	1.0000000	0.9993937	0.2285666	0.9474805	0.5234219	0.4609166	0.9953217	0.2440802	0.5560604	0.0418583
600	1.0000000	0.9993691	0.2285666	0.9474805	0.5234220	0.4329395	0.9953217	0.2440928	0.6071068	0.0524981
650	1.0000000	0.9993655	0.2285666	0.9474805	0.5234220	0.4247377	0.9953217	0.2441018	0.6283830	0.0552290
700	1.0000000	0.9993650	0.2285666	0.9474805	0.5234220	0.4223333	0.9953217	0.2441064	0.6372509	0.0559299
750	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4216284	0.9953217	0.2441083	0.6409470	0.0561098
800	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4214218	0.9953217	0.2441091	0.6424876	0.0561560
850	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213612	0.9953217	0.2441094	0.6431297	0.0561678
900	1.0000000	0.9993649	0.2285666	0.9474805	0.5234220	0.4213435	0.9953217	0.2441095	0.6433973	0.0561709
