"Time"	fur	rcnR	metJ	metR	metE	metH	metA	rcnA	hmp	ydfN
650	0.7506429	0.7231109	0.1765951	0.7574826	0.5289358	0.4419811	0.6886252	0.1508127	0.4810215	0.0382663
700	0.7147943	0.7209095	0.1791000	0.7457412	0.4463849	0.3930493	0.7507548	0.1940722	0.4947151	0.0343495
750	0.6671033	0.7821270	0.2180383	0.6189642	0.4038372	0.3626424	0.5764225	0.2338031	0.5640526	0.0279165
800	0.6544442	0.6516677	0.1690651	0.7344101	0.4417515	0.4619690	0.7564920	0.2452548	0.5449801	0.0382645
850	0.8079889	0.7133451	0.2059068	0.7354631	0.4153130	0.4410311	0.6327709	0.2036171	0.4952751	0.0322833
900	0.7697409	0.8061202	0.1432217	0.6561648	0.3476032	0.2949880	0.6536235	0.1684625	0.5825435	0.0330012
950	0.8638837	0.7350017	0.1864872	0.6131126	0.3121163	0.3742093	0.7872961	0.1585036	0.4822237	0.0569913
1000	0.7981317	0.7872694	0.2065086	0.6927342	0.4925202	0.3556009	0.8065078	0.1696605	0.4296267	0.0394821

0	0.6878990	0.7461226	0.1948387	0.6499398	0.3395194	0.3027249	0.6184316	0.1649199	0.4917300	0.0549893
50	0.8372147	0.7890860	0.1216508	0.7162336	0.3990121	0.3173974	0.7435351	0.1397057	0.4915009	0.0214462
100	0.8199280	0.7992943	0.1684339	0.5285593	0.4142887	0.2580190	0.6507332	0.1510288	0.3421577	0.0042993
150	0.7852537	0.8146401	0.1516296	0.6343875	0.4994896	0.2833089	0.5936192	0.1287943	0.3559471	0.0028058
200	0.7977789	0.7293934	0.1676229	0.6809108	0.3591270	0.4307589	0.7824913	0.1974560	0.2859883	0.0007464
250	0.9290812	0.7915629	0.2129079	0.8834358	0.3015702	0.2930796	0.6923148	0.2256186	0.3711582	0.0032160
300	0.8088358	0.6831960	0.1968139	0.8616458	0.3552891	0.3679984	0.8869878	0.2045591	0.3274860	0.0008098
350	0.9664086	0.7532608	0.1663437	0.5561678	0.4707357	0.3343692	0.6253973	0.2067106	0.3360739	0.0014023
400	0.8168834	0.7183489	0.1834376	0.6913393	0.3818635	0.3700328	0.6102566	0.1629954	0.2872792	0.0002146
450	0.7775524	0.7467687	0.1961141	0.5990346	0.3450082	0.4300118	0.7120644	0.1864575	0.3368967	0.0000000
500	0.7528755	0.8695031	0.1494901	0.7474932	0.4679147	0.3958470	0.6401175	0.1176402	0.4226007	0.0000316
550	0.7020927	0.8319162	0.1787867	0.8685955	0.4719751	0.3719119	0.7914593	0.2072906	0.4018485	0.0160470
600	0.7104709	0.7769480	0.1810942	0.6154373	0.3326101	0.3553437	0.6925852	0.1562309	0.4648032	0.0401654
650	0.7483906	0.7401740	0.2075758	0.5192776	0.4012022	0.4148643	0.7608737	0.1435955	0.4731195	0.0439727
700	0.6746897	0.7379045	0.2309628	0.7770196	0.3145808	0.4128018	0.7148973	0.1502570	0.4641722	0.0474652
750	0.6440439	0.7308295	0.2074866	0.6758907	0.4688422	0.2869576	0.8097828	0.2075417	0.3980780	0.0354927
800	0.7989348	0.9548344	0.1435646	0.6417837	0.3231774	0.3247827	0.6967737	0.2432542	0.3461251	0.0349843
850	0.7396709	0.6821175	0.1829276	0.8135071	0.3820699	0.2521573	0.8788428	0.2228403	0.4213104	0.0233536
900	0.8567313	0.8135277	0.1811904	0.6706099	0.4380911	0.3605705	0.6792842	0.2161580	0.4190015	0.0629137
950	0.7444860	0.9093776	0.1672097	0.5808853	0.3024739	0.2785214	0.9411541	0.2268255	0.5484370	0.0472240
1000	0.7696373	0.7315943	0.1873881	0.7874627	0.3710268	0.3380808	0.8128360	0.1451518	0.5433243	0.0324240

0	0.7439091	0.7171582	0.2310323	0.7051667	0.3867137	0.3635224	0.7986286	0.1564879	0.5826350	0.0586294
50	0.7391675	0.8028983	0.1806767	0.8210752	0.3525641	0.2007647	0.6427259	0.1321710	0.5059996	0.0562956
100	0.4786905	0.6733894	0.2579886	0.7352982	0.3387244	0.1600356	0.4654800	0.1833234	0.4475243	0.0340077
150	0.4153406	0.7685347	0.4177529	0.5740307	0.4658561	0.0832108	0.4428419	0.1329088	0.5144978	0.0328528
200	0.3478254	0.7404289	0.4930738	0.6125486	0.3758933	0.1212423	0.3421907	0.2236416	0.6790198	0.0857305
250	0.3410087	0.7064707	0.6062140	0.5791658	0.2315290	0.0398244	0.4334215	0.1774937	0.5112443	0.0591995
300	0.2914459	0.8264495	0.5719305	0.5594587	0.2207337	0.0573619	0.2687250	0.1930212	0.6528658	0.1148324
350	0.2884621	0.6095388	0.5340734	0.4772239	0.2316713	0.0872189	0.3168584	0.2220565	0.6388618	0.1208999
400	0.3391625	0.5742025	0.6973754	0.4052427	0.2163817	0.0278730	0.3387511	0.2138337	0.5715275	0.1403159
450	0.2941096	0.7220703	0.6751483	0.4220566	0.2028592	0.0668739	0.3263382	0.2488216	0.5609052	0.1954755
500	0.2775692	0.7488446	0.7277841	0.5024080	0.2136446	0.0469756	0.2751830	0.2058868	0.5386828	0.1181384
550	0.4113731	0.7499140	0.5899963	0.3951473	0.1733010	0.0690598	0.2613368	0.2140144	0.6527153	0.1094848
600	0.6476346	0.9371026	0.6212750	0.4226895	0.2352121	0.1950979	0.4558244	0.3332805	0.4486350	0.0948318
650	0.6427479	0.6717157	0.4563999	0.3793373	0.1422416	0.2358267	0.4513882	0.2897368	0.5676129	0.0766008
700	0.7840750	0.7424397	0.3877518	0.4599084	0.1493173	0.2308028	0.6312172	0.2518950	0.3672002	0.0912379
750	0.6832392	0.7201934	0.2897017	0.4917626	0.1726191	0.2578015	0.8368335	0.2333360	0.3567254	0.0678221
800	0.7423423	0.5971956	0.2015948	0.7089702	0.2138873	0.2259904	0.7642593	0.1818490	0.3647321	0.0558167
850	0.6856677	0.6913675	0.1445328	0.7227792	0.2663844	0.2358316	0.6796187	0.2439233	0.4604780	0.0298941
900	0.7092708	0.6702242	0.1547768	0.6355069	0.3144136	0.3268960	0.6876017	0.1815101	0.4498450	0.0406149
950	0.8063065	0.6736068	0.1904797	0.7881383	0.3256391	0.2717171	0.7311541	0.1731751	0.5196228	0.0132390
1000	0.6829575	0.6625596	0.1929401	0.6874474	0.3041187	0.2757817	0.7808034	0.1750820	0.4790933	0.0559218

0	0.7165936	0.8071006	0.2361256	0.7804416	0.3803611	0.3164526	0.6922995	0.1688381	0.5925910	0.0560980
50	0.6464880	0.5992398	0.1409230	0.6898942	0.4617716	0.2212162	0.5950843	0.0903600	0.5971642	0.0431845
100	0.7884304	0.8132842	0.1282505	0.6621737	0.4744622	0.2892407	0.5674207	0.0487601	0.5124636	0.0678951
150	0.8279294	0.7352467	0.1188424	0.6241277	0.6551169	0.2974422	0.8454660	0.0141845	0.4583727	0.0483329
200	0.7363138	0.8997844	0.1297717	0.5271915	0.5701875	0.2368756	0.5442045	0.0102727	0.4799698	0.0229674
