"Time"	gadX	torR	hdeA	hdeB	yhiD
1000	0.1347623	0.7855858	0.5075691	0.6241454	0.3569145

0	0.2135096	0.6989332	0.4772464	0.6572493	0.4332781
50	0.1701177	0.1667561	0.5056182	0.5423501	0.4560672
100	0.2627252	0.0627867	0.4289845	0.7115594	0.2544988
150	0.2785698	0.0762531	0.2409088	0.4905721	0.1699448
200	0.4286597	0.0794475	0.2416875	0.3091123	0.1449346
250	0.4637155	0.0710443	0.2656244	0.3604748	0.1856365
300	0.4404319	0.0426397	0.2366823	0.3231949	0.2012233
350	0.5117189	0.0470670	0.2128207	0.3486818	0.1720358
400	0.5550861	0.0575619	0.2365227	0.3143153	0.2055540
450	0.5360397	0.0421857	0.2365912	0.2378027	0.1736731
500	0.5494759	0.0755440	0.2248562	0.3415685	0.1856827
550	0.4497976	0.5757036	0.2944160	0.5498025	0.2546197
600	0.2593974	0.6753743	0.4267600	0.5680380	0.3750273
650	0.1812907	0.6471221	0.5172738	0.5736570	0.4929255
700	0.1949151	0.7224432	0.4891149	0.5499614	0.3761866
750	0.1619954	0.5923517	0.6135635	0.6227496	0.3715765
800	0.2319175	0.7421547	0.4577583	0.6021472	0.3587995
850	0.1989582	0.5985857	0.5148848	0.6438073	0.3591360
900	0.1909582	0.6599047	0.4527008	0.6053375	0.3221395
950	0.1092575	0.6578697	0.5356342	0.6709645	0.4388896
1000	0.1917166	0.7262638	0.5324645	0.6445781	0.3378236

0	0.2178926	0.5895300	0.4592183	0.6202418	0.3940383
50	0.1406936	0.6848351	0.4750728	0.7789371	0.4438930
100	0.1783246	0.6050598	0.8286514	0.7754759	0.6589859
150	0.1396571	0.6399692	0.6508053	0.6625475	0.6827141
200	0.1915328	0.7553916	0.7333412	0.8182368	0.5693791
250	0.1906861	0.7367024	0.5799522	0.7146896	0.7584667
300	0.1956287	0.7552734	0.6794761	0.8738992	0.5795970
350	0.1624751	0.8392373	0.6866111	0.7368209	0.6312735
400	0.1951656	0.6994362	0.8205914	0.6231966	0.6206127
450	0.1513766	0.6877455	0.7553777	0.6136773	0.6423082
500	0.1600044	0.7559470	0.5671360	0.6027637	0.6220192
550	0.1174191	0.7269606	0.5133673	0.6794405	0.5152320
600	0.1545856	0.7179460	0.5339420	0.5967758	0.3677870
650	0.1433100	0.6256841	0.4663825	0.5167338	0.4735203
700	0.1206729	0.6704109	0.5684968	0.6597866	0.3048171
750	0.1933322	0.5980791	0.4746234	0.5581115	0.3400522
800	0.2161963	0.6657099	0.4884490	0.6233558	0.4299516
850	0.1489242	0.7059830	0.4239561	0.6400683	0.4542129
900	0.1106458	0.5855092	0.5187406	0.6249152	0.3542840
950	0.1762476	0.7905898	0.5304540	0.6619016	0.3470013
1000	0.1947801	0.7047228	0.5980993	0.5588077	0.3707975

0	0.2207607	0.6950775	0.5743235	0.5061912	0.3461566
50	0.1310523	0.8016376	0.5269740	0.5942780	0.4090519
100	0.1774343	0.6690320	0.5357251	0.8156337	0.3531053
150	0.1998659	0.6271476	0.5592257	0.8681823	0.3455232
200	0.2375306	0.5330946	0.4640191	0.6701664	0.3366675
250	0.1557765	0.6880407	0.5050130	0.6277962	0.4407722
300	0.1596327	0.5990268	0.4640047	0.6658410	0.4399368
350	0.2091828	0.5541789	0.4616772	0.6653723	0.3631491
400	0.2058735	0.6309252	0.5094782	0.7172819	0.3550989
450	0.2084593	0.6749026	0.5144085	0.6602013	0.4324118
500	0.2144460	0.7795175	0.4745307	0.6777829	0.3265977
550	0.1905945	0.6414861	0.5105377	0.6740250	0.3225848
600	0.1034484	0.6350601	0.3849609	0.7264672	0.3520497
650	0.1224806	0.6441715	0.4661566	0.7033366	0.4005531
700	0.1574821	0.7357599	0.4418710	0.7264060	0.3575370
750	0.1308716	0.6668603	0.4804452	0.7378229	0.3825879
800	0.2228226	0.6288383	0.4448840	0.5969131	0.3949812
850	0.1896978	0.7366622	0.5622590	0.7322821	0.4376082
900	0.1329023	0.7892012	0.5785461	0.5795168	0.3842816
950	0.1367091	0.6641034	0.5598836	0.6043096	0.3249772
1000	0.1161993	0.6567770	0.4849021	0.5200010	0.3736121

0	0.1775318	0.6099127	0.5845067	0.5964367	0.3962549
50	0.1494309	0.6619754	0.4724108	0.6976546	0.3227877
100	0.1620717	0.6171250	0.4980634	0.6388112	0.4004966
150	0.1341734	0.5636091	0.5210018	0.5971849	0.3858198
200	0.1814706	0.5793192	0.5704068	0.7194209	0.3784828
250	0.1453459	0.6184713	0.4935866	0.6607971	0.3388296
300	0.1495441	0.7254986	0.4742041	0.5395143	0.3593714
350	0.2525462	0.7920976	0.4842047	0.6960986	0.3549796
400	0.1791826	0.5576287	0.4761982	0.6395872	0.3491758
450	0.2499540	0.6860683	0.4949245	0.6647378	0.2959318
500	0.2658256	0.6814852	0.5230422	0.5895327	0.3576044
550	0.1402120	0.6527313	0.5557520	0.4961368	0.3607261
600	0.1641383	0.6473307	0.5837339	0.6717663	0.3003352
650	0.1475188	0.6996791	0.5062490	0.6280605	0.3787604
700	0.1625232	0.7851019	0.5017856	0.5830793	0.4217157
