"Time"	gadX	torR	hdeA	hdeB	yhiD
700	0.2454936	0.9972391	0.7433686	0.9217222	0.5420618
750	0.2443683	0.9989656	0.7450749	0.9199283	0.5420376
800	0.2438677	0.9996154	0.7458847	0.9192907	0.5419754
850	0.2436602	0.9998575	0.7462389	0.9190630	0.5419286
900	0.2435778	0.9999473	0.7463860	0.9189806	0.5419022
950	0.2435459	0.9999805	0.7464449	0.9189504	0.5418893
1000	0.2435338	0.9999928	0.7464680	0.9189393	0.5418835

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2438802	0.9884168	0.7461095	0.9188886	0.5418426
100	0.2453777	0.9775751	0.7443699	0.9189168	0.5415303
150	0.2469787	0.9724547	0.7423198	0.9189586	0.5412824
200	0.2480148	0.9703734	0.7408713	0.9190190	0.5411947
250	0.2485451	0.9695722	0.7400714	0.9190751	0.5411971
300	0.2487840	0.9692707	0.7396871	0.9191147	0.5412222
350	0.2488838	0.9691584	0.7395177	0.9191382	0.5412431
400	0.2489237	0.9691167	0.7394470	0.9191505	0.5412554
450	0.2489392	0.9691013	0.7394186	0.9191565	0.5412615
500	0.2489451	0.9690956	0.7394074	0.9191592	0.5412643
550	0.2485841	0.9806767	0.7397886	0.9191644	0.5413452
600	0.2470511	0.9915176	0.7415721	0.9191664	0.5416493
650	0.2454490	0.9966377	0.7436272	0.9191321	0.5418861
700	0.2444299	0.9987189	0.7450552	0.9190728	0.5419602
750	0.2439145	0.9995200	0.7458348	0.9190170	0.5419504
800	0.2436842	0.9998215	0.7462066	0.9189779	0.5419229
850	0.2435884	0.9999339	0.7463698	0.9189550	0.5419019
900	0.2435503	0.9999755	0.7464377	0.9189430	0.5418899
950	0.2435355	0.9999910	0.7464650	0.9189372	0.5418840
1000	0.2435299	0.9999967	0.7464757	0.9189345	0.5418813

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2144165	1.0000000	0.7463477	0.9245906	0.5413006
100	0.1949575	1.0000000	0.7458826	0.9292621	0.5391390
150	0.1888210	1.0000000	0.7454751	0.9309117	0.5373522
200	0.1871947	1.0000000	0.7452556	0.9313389	0.5364471
250	0.1867931	1.0000000	0.7451610	0.9314202	0.5360834
300	0.1866972	1.0000000	0.7451251	0.9314263	0.5359556
350	0.1866748	1.0000000	0.7451125	0.9314222	0.5359144
400	0.1866696	1.0000000	0.7451083	0.9314193	0.5359020
450	0.1866684	1.0000000	0.7451070	0.9314179	0.5358984
500	0.1866681	1.0000000	0.7451066	0.9314173	0.5358973
550	0.2157828	1.0000000	0.7451881	0.9255012	0.5363091
600	0.2352382	1.0000000	0.7455724	0.9207770	0.5381277
650	0.2413738	1.0000000	0.7460006	0.9192274	0.5400114
700	0.2429999	1.0000000	0.7462716	0.9189034	0.5411186
750	0.2434015	1.0000000	0.7464009	0.9188829	0.5416079
800	0.2434973	1.0000000	0.7464534	0.9189050	0.5417909
850	0.2435198	1.0000000	0.7464726	0.9189207	0.5418524
900	0.2435250	1.0000000	0.7464792	0.9189280	0.5418715
950	0.2435262	1.0000000	0.7464813	0.9189309	0.5418772
1000	0.2435265	1.0000000	0.7464820	0.9189320	0.5418788

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2483464	0.8501738	0.7413628	0.9188341	0.5408029
100	0.2718818	0.7099398	0.7138745	0.9185956	0.5340480
150	0.3011084	0.6437087	0.6766563	0.9183598	0.5237793
200	0.3225426	0.6167879	0.6475473	0.9183932	0.5156926
250	0.3345358	0.6064246	0.6305440	0.9186721	0.5116674
300	0.3402706	0.6025247	0.6222091	0.9190115	0.5103476
350	0.3427623	0.6010716	0.6185501	0.9192820	0.5101445
400	0.3437822	0.6005326	0.6170534	0.9194540	0.5102330
450	0.3441843	0.6003331	0.6164682	0.9195489	0.5103355
500	0.3443390	0.6002594	0.6162459	0.9195964	0.5103989
550	0.3355010	0.7500583	0.6256320	0.9202534	0.5162074
600	0.3028538	0.8902822	0.6637962	0.9217555	0.5324634
650	0.2734278	0.9565096	0.7018011	0.9219348	0.5414787
700	0.2567435	0.9834290	0.7253973	0.9211376	0.5435184
750	0.2489643	0.9937918	0.7373026	0.9202483	0.5432077
800	0.2456732	0.9976915	0.7426842	0.9196226	0.5426222
850	0.2443532	0.9991445	0.7449629	0.9192646	0.5422351
900	0.2438401	0.9996835	0.7458883	0.9190829	0.5420357
950	0.2436443	0.9998830	0.7462538	0.9189977	0.5419445
1000	0.2435705	0.9999567	0.7463954	0.9189598	0.5419056

0	0.2435474	1.0000000	0.7464636	0.9187914	0.5420054
50	0.2435313	1.0000000	0.7464784	0.9188919	0.5419141
100	0.2435277	1.0000000	0.7464815	0.9189208	0.5418887
150	0.2435268	1.0000000	0.7464822	0.9189292	0.5418819
200	0.2435266	1.0000000	0.7464823	0.9189316	0.5418801
250	0.2435266	1.0000000	0.7464823	0.9189323	0.5418796
300	0.2435266	1.0000000	0.7464823	0.9189325	0.5418795
350	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
400	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
450	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
500	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
550	0.2435266	1.0000000	0.7464823	0.9189326	0.5418794
