"Time"	gadX	torR	hdeA	hdeB	yhiD
450	0.2153484	0.7012907	0.5357620	0.5427371	0.4313376
500	0.1801891	0.6486654	0.4581339	0.6762965	0.5028442
550	0.1724708	0.6599585	0.6158301	0.6585344	0.3871019
600	0.2542298	0.6598254	0.4932408	0.6546438	0.3390205
650	0.1720894	0.6735211	0.4685450	0.4875354	0.3376373
700	0.2573477	0.7485959	0.6410083	0.6059754	0.4255042
750	0.1666919	0.8267094	0.5430253	0.6795957	0.3133636
800	0.1112257	0.6598868	0.4324611	0.6839528	0.4184294
850	0.1728454	0.5820086	0.5759917	0.6942459	0.3443950
900	0.2563070	0.5867606	0.4671825	0.5201705	0.4683682
950	0.1841757	0.6762970	0.5811767	0.6584406	0.3923434
1000	0.1899020	0.6390682	0.5462193	0.5207562	0.3725873

0	0.2236140	0.7049886	0.5529612	0.8012102	0.3089665
50	0.1086731	0.5564158	0.4888113	0.5096217	0.3815895
100	0.2190690	0.2141860	0.4588880	0.5102667	0.4377449
150	0.2444852	0.0923451	0.4232040	0.5233331	0.2320381
200	0.4597968	0.0632808	0.3446893	0.2886295	0.1525302
250	0.4736426	0.1076784	0.2538319	0.2537044	0.0832212
300	0.4721431	0.0788311	0.2309565	0.2831108	0.1596619
350	0.4532326	0.0808575	0.3088075	0.2756721	0.1586646
400	0.4183680	0.0799836	0.2362691	0.2818297	0.1108811
450	0.4789635	0.0535691	0.2293303	0.2886178	0.1267519
500	0.5032908	0.0707044	0.2046959	0.3624596	0.1931765
550	0.4052795	0.3376914	0.2756262	0.3906704	0.1946646
600	0.3618967	0.6278257	0.2969990	0.6730548	0.3115307
650	0.3069237	0.6223592	0.4447617	0.5375506	0.4223203
700	0.1868529	0.6204235	0.5536824	0.6463767	0.4077876
750	0.1504168	0.5972202	0.5217607	0.6018287	0.3524041
800	0.1846373	0.5424541	0.5313756	0.6686646	0.3286884
850	0.1801983	0.7331869	0.4693615	0.6849684	0.3461544
900	0.2260136	0.6782892	0.4972049	0.5861622	0.3621802
950	0.1969157	0.6005151	0.5634756	0.6115168	0.4082674
1000	0.1246840	0.5630729	0.4789957	0.5432972	0.3016261

0	0.1974999	0.6157668	0.5168678	0.6937541	0.2813897
50	0.2789568	0.8210704	0.6633092	0.7493605	0.5264382
100	0.1178143	0.7680714	0.6751426	0.5926563	0.5607771
150	0.1378872	0.6532918	0.7323247	0.6784031	0.7407314
200	0.1686976	0.5947955	0.6169192	0.8368125	0.6250908
250	0.1393878	0.7164660	0.6312236	0.7576560	0.5396672
300	0.1491231	0.7001927	0.7165580	0.6139730	0.5624039
350	0.2045714	0.7034315	0.7512711	0.8638052	0.5249450
400	0.1942283	0.6098395	0.6933161	0.8465130	0.6212800
450	0.1971972	0.7214070	0.5654075	0.6467274	0.6447297
500	0.1739026	0.6064364	0.6053519	0.5609000	0.7087108
550	0.1259820	0.8479548	0.4688173	0.6504945	0.5670685
600	0.1161398	0.7765182	0.4736657	0.5608492	0.5038066
650	0.1592293	0.7378729	0.4872006	0.5359284	0.4241309
700	0.1248144	0.6191935	0.5831627	0.6024118	0.3213299
750	0.1948964	0.6190183	0.5118178	0.6105384	0.4052093
800	0.1894737	0.6472824	0.5306608	0.6251622	0.3384299
850	0.1561275	0.7380359	0.4714396	0.6137346	0.3140253
900	0.2283924	0.7238827	0.3851201	0.6101340	0.3712646
950	0.1187139	0.5999035	0.3823268	0.6703836	0.4755557
1000	0.1751258	0.7167356	0.4799505	0.6728509	0.4200317

0	0.1517956	0.6422641	0.5655306	0.8148513	0.3826772
50	0.1646389	0.8293939	0.4266812	0.6613253	0.3660420
100	0.1412814	0.6119200	0.4508931	0.6926503	0.4005281
150	0.1657074	0.6356230	0.4990008	0.8261329	0.4950221
200	0.1653745	0.5521059	0.4670444	0.7397972	0.4217465
250	0.1985613	0.6310013	0.7562536	0.5989030	0.3853982
300	0.1538264	0.5139478	0.4711200	0.6719406	0.4875139
350	0.1697403	0.7505308	0.5306441	0.7006044	0.4808645
400	0.1983306	0.6172288	0.6200475	0.7922818	0.4053901
450	0.1666128	0.6421101	0.4047975	0.6052553	0.4096377
500	0.1684335	0.7835521	0.5497152	0.8563802	0.3306551
550	0.2220862	0.6390858	0.4482279	0.6273804	0.3463168
600	0.1335338	0.7264693	0.5036903	0.7444953	0.4297928
650	0.1825606	0.6714571	0.5466098	0.6449315	0.3218792
700	0.1528593	0.8012077	0.5797549	0.7451754	0.3331420
750	0.1658002	0.7643639	0.5072828	0.7004873	0.2882185
800	0.1277881	0.6167324	0.5336695	0.6446272	0.3589157
850	0.1393315	0.9773232	0.3985369	0.6090164	0.4332786
900	0.1820262	0.5995020	0.5471512	0.7300397	0.3646170
950	0.1268248	0.6130103	0.5364259	0.6148810	0.3376590
1000	0.1909830	0.6284418	0.5563234	0.6143656	0.3865566

0	0.1728016	0.6621525	0.4109283	0.7253550	0.3400407
50	0.2583134	0.7403032	0.4804852	0.6178177	0.3581668
100	0.1547172	0.7326516	0.5183117	0.6133631	0.3558609
150	0.1690329	0.6262311	0.5830457	0.6428175	0.3579286
200	0.1424333	0.6901363	0.5649416	0.5893507	0.3787684
250	0.1755678	0.6373367	0.6243067	0.6183461	0.2936532
300	0.1689843	0.7724885	0.5751083	0.6800796	0.3405704
350	0.1748841	0.6321876	0.6041092	0.6118460	0.3089760
400	0.1826560	0.4834401	0.4492390	0.7176548	0.4427381
450	0.2126659	0.6168476	0.4664922	0.7164607	0.3812690
500	0.1700470	0.6283351	0.4711685	0.6300424	0.4137420
550	0.2017957	0.5997233	0.4757309	0.6814440	0.4065856
600	0.1690946	0.6879275	0.6604140	0.5221611	0.4279737
650	0.2128760	0.6954613	0.6662075	0.6015242	0.4309450
700	0.2467627	0.6965615	0.5757764	0.6168057	0.4269420
750	0.2506658	0.5998813	0.5086785	0.6258100	0.3652511
800	0.1856798	0.7590310	0.4812200	0.5075656	0.3903453
850	0.1623111	0.6665201	0.4646952	0.6498629	0.3870082
900	0.2121422	0.5657976	0.5595017	0.7284673	0.3695897
950	0.2682946	0.7011706	0.4104780	0.6390482	0.3807991
1000	0.1910411	0.6026354	0.4607198	0.5395312	0.3232837

0	0.2203755	0.6007029	0.4932306	0.6954076	0.2682338
50	0.1895083	0.7563073	0.6356622	0.5318730	0.2745015
100	0.1315965	0.6260989	0.6205291	0.7423643	0.3371787
150	0.1317430	0.5481809	0.5483789	0.5371198	0.3580544
200	0.1368201	0.6002395	0.5383454	0.6512576	0.3671423
250	0.1855520	0.7084349	0.5676016	0.5963999	0.4283854
300	0.1559568	0.6853389	0.6237460	0.6097252	0.4563881
350	0.1560492	0.6550417	0.5555234	0.5651753	0.2449129
400	0.1124161	0.6350676	0.4829902	0.5330705	0.4040835
450	0.1597270	0.6703309	0.4664651	0.6939771	0.3460511
500	0.1480937	0.7040673	0.5439723	0.5545783	0.3158513
550	0.1596300	0.7837706	0.6447091	0.5034650	0.2786629
600	0.1299606	0.6429957	0.6476593	0.5247729	0.3976791
650	0.1595720	0.6800879	0.5034698	0.5679638	0.4442189
700	0.1353548	0.6921518	0.4457873	0.7293367	0.4193007
750	0.1825820	0.6817973	0.4932842	0.6243100	0.3381130
800	0.1569164	0.7130099	0.6085366	0.5553120	0.3224446
850	0.1116400	0.7693505	0.5721929	0.5571023	0.4022096
900	0.1368375	0.7689974	0.4947030	0.5015109	0.3268220
950	0.2113127	0.7167540	0.5324245	0.5745685	0.3432462
1000	0.1475155	0.7993134	0.4907380	0.7220356	0.3569970

0	0.1816812	0.6461847	0.4441568	0.7042337	0.3316046
50	0.1826677	0.5615409	0.4673340	0.7384533	0.4866223
100	0.2118712	0.4678748	0.5079442	0.5468621	0.4381770
150	0.2720839	0.3843266	0.4416198	0.7699112	0.3655882
200	0.1598611	0.4211054	0.4305823	0.5842380	0.3957157
250	0.2331812	0.4028088	0.3895146	0.5493247	0.4435514
300	0.1998369	0.3828810	0.3448544	0.7092428	0.3652859
350	0.2782517	0.4599911	0.4139677	0.6628766	0.3461984
400	0.2661704	0.4038278	0.4769105	0.5552624	0.2607078
450	0.3394972	0.3920820	0.4436869	0.5706340	0.4764663
500	0.2185253	0.4294551	0.4311262	0.6983072	0.2897599
550	0.2669240	0.5721313	0.3802766	0.5954650	0.3359927
600	0.2173455	0.4511535	0.4975461	0.7873406	0.3332887
650	0.1848931	0.4940454	0.5108762	0.6940269	0.2889841
700	0.2071406	0.6632158	0.4550220	0.5113346	0.3302224
750	0.1737116	0.7321355	0.4959299	0.8311292	0.3322567
800	0.1011826	0.6080897	0.5102740	0.7214016	0.3777316
850	0.1529707	0.6655922	0.4598090	0.7592558	0.4584097
900	0.1312184	0.7148217	0.4086987	0.6422269	0.4465366
950	0.1440327	0.7999533	0.4836466	0.6087597	0.4073265
1000	0.1320719	0.7519684	0.5182729	0.5819292	0.3051755

0	0.2300200	0.5773780	0.4611265	0.7907137	0.3267937
50	0.2263937	0.6917181	0.5566498	0.6974069	0.4402812
100	0.2114000	0.6470112	0.4779121	0.7004764	0.2395671
150	0.2008344	0.6794349	0.4658678	0.7048394	0.4105241
200	0.1921651	0.7083183	0.5517741	0.6565518	0.4600070
250	0.1329561	0.5299241	0.5578963	0.5822834	0.4190748
300	0.1919609	0.6718885	0.6378645	0.7280289	0.4097876
350	0.1489562	0.7131737	0.5030001	0.6913231	0.3892484
400	0.1944684	0.6756816	0.5097222	0.6568129	0.3385043
450	0.1867435	0.6407490	0.7085960	0.5850831	0.3440781
500	0.1685662	0.6072063	0.5866280	0.6419340	0.3586482
550	0.1802490	0.6275670	0.5902999	0.5028318	0.4021905
600	0.2128082	0.7054643	0.4935590	0.5591939	0.3496979
650	0.2116784	0.7200568	0.5016929	0.7706119	0.3956516
700	0.1687747	0.6854085	0.5423603	0.5571776	0.2820194
750	0.2205904	0.8046902	0.4972782	0.6065147	0.3086847
800	0.2172561	0.8703536	0.5744074	0.6675734	0.3172258
850	0.1029662	0.6277218	0.6821627	0.5731777	0.3661269
900	0.1490264	0.6799848	0.4999994	0.6104267	0.4154091
950	0.1517474	0.6246386	0.4707207	0.6334014	0.4085234
1000	0.2013996	0.6512981	0.5009615	0.6479485	0.4707716

0	0.1932132	0.6724504	0.5392689	0.7437592	0.3061394
50	0.1475539	0.7734854	0.4675247	0.6354630	0.3652671
100	0.2166266	0.6645961	0.4230101	0.6934092	0.3654944
150	0.1813319	0.5904773	0.6401141	0.8075989	0.3596029
200	0.1655125	0.6417460	0.4954618	0.5469515	0.3357461
250	0.1541437	0.6634593	0.4650417	0.6666169	0.4008830
300	0.2207730	0.7938683	0.5886110	0.5859135	0.3272912
350	0.1156466	0.7113519	0.4726854	0.7063554	0.4178132
400	0.2113323	0.7220082	0.4773157	0.6048584	0.4069587
450	0.1231898	0.8575116	0.6329310	0.6296101	0.4318855
500	0.1667077	0.6593644	0.6393044	0.5899336	0.4034765
550	0.1701940	0.7135445	0.6613255	0.6687435	0.3123993
600	0.1601259	0.6526670	0.5574424	0.6079874	0.3402430
650	0.1174943	0.6101783	0.5038961	0.6468722	0.3568121
700	0.1863327	0.6744248	0.4927635	0.6554377	0.3847359
750	0.1973238	0.6616951	0.5725855	0.6302013	0.3475657
800	0.2120029	0.6480606	0.5551697	0.6782551	0.4696112
850	0.3071979	0.6421889	0.6017427	0.7030490	0.3194427
900	0.2095232	0.8007701	0.5055497	0.6547179	0.3283062
950	0.1857259	0.6863808	0.5355202	0.6297790	0.3434235
1000	0.1886085	0.6443499	0.5502315	0.6765178	0.2961218

0	0.2617518	0.5536226	0.5879833	0.6287174	0.2535961
50	0.2000648	0.5255403	0.4779114	0.5144216	0.5843495
100	0.1598338	0.7186088	0.5594739	0.5913048	0.7508219
150	0.1830744	0.8278281	0.5724739	0.6062695	0.7082576
200	0.1389263	0.6063324	0.6418715	0.5246070	0.7022655
250	0.1818744	0.6771001	0.5431477	0.5322397	0.7061711
300	0.1535556	0.6396339	0.6405931	0.5141046	0.5542309
350	0.1356195	0.6636053	0.4797571	0.5386752	0.6817507
400	0.1926638	0.5910444	0.4466394	0.5319439	0.7296853
450	0.1696238	0.7261339	0.4750137	0.6968160	0.5517973
500	0.1962374	0.6263777	0.5395240	0.6291921	0.7358341
550	0.1181182	0.6583521	0.4358666	0.6201070	0.4473494
600	0.1681477	0.6939938	0.5673040	0.5493143	0.4311614
650	0.1799674	0.7294155	0.4300054	0.6823290	0.4882252
700	0.1777065	0.7022207	0.5210069	0.6959427	0.3644083
750	0.1882026	0.6137983	0.4508270	0.4513840	0.3613911
800	0.1593386	0.8003215	0.5303554	0.5709745	0.4019765
850	0.1816975	0.7958661	0.5336621	0.6473363	0.4257825
900	0.1135042	0.5943283	0.5343367	0.6157093	0.3955522
950	0.1395445	0.6082018	0.4841439	0.6542727	0.3425894
1000	0.1084647	0.7285217	0.4752373	0.5141369	0.4625783

0	0.2038466	0.6162168	0.5016178	0.6136531	0.3420732
50	0.1009650	0.6326515	0.6441828	0.6939853	0.4004365
100	0.0226717	0.7414817	0.5077408	0.5723533	0.3364404
150	0.0304079	0.6463140	0.6058308	0.6278110	0.4001707
200	0.0271048	0.6565407	0.4815630	0.6794131	0.3193880
250	0.0204038	0.6507271	0.5050029	0.7129450	0.3610802
300	0.0020704	0.6258763	0.5886482	0.7791713	0.3959305
350	0.0292557	0.6710026	0.5638809	0.6752846	0.3957451
400	0.0291149	0.5402650	0.6684538	0.5176651	0.4888259
450	0.0410048	0.7042051	0.6072047	0.8343941	0.4183981
500	0.0275036	0.9469213	0.6267623	0.8646746	0.4013958
550	0.1123083	0.7872350	0.6243650	0.6658906	0.3284632
600	0.2077755	0.7945358	0.6190608	0.6091682	0.3057207
650	0.1610609	0.6251685	0.4797913	0.5961536	0.4372287
700	0.1265196	0.6929610	0.4941757	0.6021202	0.4314323
750	0.1498391	0.5558788	0.5758918	0.5718356	0.2897019
800	0.2290749	0.6146038	0.5630536	0.7658723	0.3890017
850	0.2650872	0.6158511	0.4888346	0.7224697	0.3884686
900	0.1876131	0.6099180	0.4317851	0.5608976	0.3270543
950	0.1794669	0.7379834	0.4653189	0.6239741	0.3494617
1000	0.2138671	0.7531748	0.4198286	0.5875224	0.3022341

0	0.2134991	0.5970375	0.4831940	0.5874925	0.2358326
50	0.1989100	0.5927754	0.4633881	0.6065947	0.3579476
100	0.1923227	0.5753562	0.5431131	0.8328680	0.3363884
150	0.2569504	0.5042653	0.4061533	0.7562370	0.4393519
200	0.2111691	0.6255329	0.5601231	0.6690572	0.3741269
250	0.2118006	0.5343544	0.5008467	0.6265238	0.3977910
300	0.1742450	0.4927039	0.4742917	0.6502392	0.2956777
350	0.2251551	0.5061141	0.4741383	0.6140311	0.3457297
400	0.1733175	0.6000662	0.4955126	0.5656541	0.3471818
450	0.1066343	0.5093540	0.4484574	0.7269455	0.4018715
500	0.2217911	0.5368656	0.4786329	0.7344822	0.3540756
550	0.2272405	0.4031175	0.4575649	0.6822494	0.4241612
600	0.2008542	0.5854748	0.4576307	0.6523245	0.3624784
650	0.2314750	0.7243822	0.5024444	0.7031391	0.3704280
700	0.1464324	0.7014871	0.5927235	0.6569310	0.3184945
750	0.1857250	0.6995574	0.5136735	0.6769715	0.3125056
800	0.2072132	0.7398484	0.4528577	0.6125164	0.2757249
850	0.1778631	0.6373145	0.4177274	0.6124567	0.3783504
900	0.1052761	0.6834103	0.4625452	0.7298874	0.3960907
950	0.2199057	0.7295486	0.5216265	0.5661741	0.3099866
1000	0.1652878	0.6614263	0.5202937	0.7032156	0.3758565

0	0.2311173	0.6275436	0.5136278	0.7609226	0.3404487
50	0.1426095	0.7352584	0.5673340	0.6819804	0.3680113
100	0.1449905	0.7019403	0.5904793	0.7458001	0.3441971
150	0.1246782	0.7861264	0.4794090	0.6893560	0.3989645
200	0.1683047	0.7615122	0.6464365	0.6933800	0.3984631
250	0.1224057	0.7394322	0.4895560	0.7462324	0.4275551
300	0.1355933	0.6129404	0.5756602	0.5780331	0.4105174
350	0.1396285	0.6165134	0.5148788	0.6592960	0.2891817
400	0.2240349	0.6199429	0.6137659	0.6751121	0.3210559
450	0.1469126	0.6219322	0.5453509	0.6457010	0.3979182
500	0.1639474	0.8301384	0.4081680	0.6174543	0.3785166
550	0.1875756	0.6199278	0.5806748	0.5123738	0.3677687
600	0.1848989	0.6189074	0.4918159	0.6094199	0.4211511
650	0.2285498	0.7203113	0.4903964	0.5632641	0.4343600
700	0.1212965	0.6666262	0.4564659	0.6452902	0.3888644
750	0.1661696	0.7648564	0.5896454	0.6424458	0.4805481
800	0.1212278	0.6370414	0.5502311	0.7018821	0.3993826
850	0.1804620	0.6764664	0.5256946	0.8421443	0.3471693
900	0.1192929	0.6923136	0.5448041	0.6108995	0.3409228
950	0.1437701	0.6705758	0.4549408	0.6174550	0.4181129
1000	0.1991631	0.6980325	0.4395822	0.7407780	0.3490531

0	0.1730632	0.5469904	0.5318289	0.7127517	0.3076287
50	0.0943091	0.6743296	0.6098287	0.7812754	0.3180143
100	0.0565973	0.6194695	0.5931953	0.6097022	0.2523456
150	0.0149146	0.6100813	0.5351177	0.7235253	0.4514930
200	0.0198010	0.6336035	0.5157428	0.7267837	0.3459911
250	0.0241983	0.6251895	0.5944299	0.8689993	0.3594512
300	0.0245450	0.6378349	0.6328785	0.6850023	0.3048186
350	0.0169214	0.7728413	0.6618458	0.6820774	0.3392779
400	0.0147867	0.6205229	0.6184173	0.6854731	0.3875627
450	0.0495537	0.7737135	0.5740465	0.8523043	0.3371037
500	0.0107480	0.6165238	0.5081977	0.5918469	0.3448839
550	0.1046489	0.5456462	0.5002514	0.7552240	0.4552653
600	0.1157456	0.5548348	0.4282608	0.6130485	0.3608888
650	0.2250680	0.7966045	0.3777998	0.6402789	0.2920506
700	0.1429648	0.7152194	0.4118986	0.6602056	0.3914813
750	0.1783620	0.9191854	0.5279532	0.5383110	0.3007462
800	0.1836918	0.6898722	0.4840006	0.6232504	0.3391748
850	0.1225626	0.7596512	0.5046696	0.6853667	0.3867719
900	0.2089043	0.7167361	0.5363710	0.7662745	0.4140562
950	0.1527463	0.6156566	0.5548299	0.5567187	0.3595972
1000	0.1921778	0.7425594	0.5959345	0.5157715	0.3935192

0	0.2077422	0.6608481	0.5602136	0.7631149	0.3058014
50	0.1657282	0.6536004	0.5797273	0.8495697	0.3691924
100	0.1321177	0.7265288	0.4610737	0.6597849	0.3723972
150	0.2447032	0.5958536	0.5456110	0.7515616	0.4589998
200	0.1437558	0.7805577	0.5807817	0.7441759	0.3036881
250	0.2385962	0.7294793	0.5844772	0.6437120	0.3482001
300	0.1177566	0.5726725	0.5108862	0.8224753	0.3091627
350	0.1975899	0.6436553	0.6325309	0.6467412	0.3622586
400	0.2583877	0.6378720	0.4777990	0.7469706	0.3518532
450	0.1859271	0.6073672	0.6457129	0.7243657	0.3719959
500	0.2048678	0.6430171	0.5496133	0.7764472	0.2647265
550	0.1403607	0.7202401	0.4743891	0.7146589	0.3770033
600	0.2475323	0.6527814	0.4880197	0.8142443	0.4018655
