"Time"	gadX	torR	hdeA	hdeB	yhiD
400	0.2003608	1.0249859	0.9029120	0.9182790	0.5519443
450	0.2716534	1.0848282	0.7355838	0.9005954	0.6293871
500	0.2292364	1.0193056	0.7606591	0.9345663	0.5912851
550	0.2380731	0.9916236	0.8057561	1.0173812	0.5902085
600	0.2881361	1.0170237	0.7439164	0.8931186	0.5123517
650	0.2346776	1.0019447	0.7165035	0.8673144	0.4691945
700	0.3063962	1.0333905	0.7986564	0.9851266	0.5250574
750	0.2609091	1.0625750	0.7882162	1.0088764	0.5580557
800	0.2212130	1.0211329	0.7714980	0.9101440	0.5847710
850	0.2013397	0.8888128	0.7715262	0.9906537	0.5005491
900	0.2528180	0.9499011	0.7628032	0.8332166	0.6166986
950	0.2951932	0.9561233	0.8133033	0.9399043	0.5764395
1000	0.2485061	0.9921276	0.7379044	0.8728306	0.5366825

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.1902245	0.7145716	0.7248694	0.9061670	0.5855092
100	0.2333731	0.3161527	0.6944109	0.8847767	0.5947843
150	0.4020974	0.1697890	0.5332360	0.8174185	0.3435033
200	0.6140811	0.1329673	0.4890182	0.5865742	0.2280306
250	0.6796263	0.0935230	0.3440022	0.4603325	0.1793107
300	0.5894087	0.1028827	0.3366688	0.4461116	0.2681258
350	0.6747658	0.1106734	0.3317011	0.4247786	0.2468875
400	0.6955598	0.0931203	0.3568553	0.4601719	0.2495505
450	0.6912850	0.0913723	0.3378016	0.4570246	0.2727889
500	0.6847249	0.1093254	0.3156030	0.4397209	0.2651160
550	0.6076276	0.4688098	0.3307889	0.5867965	0.3282404
600	0.4839984	0.7810961	0.4668260	0.7325207	0.5444342
650	0.4381075	0.8948898	0.6899632	0.8230602	0.5659779
700	0.3346814	0.9025837	0.7549822	0.9237994	0.5920065
750	0.2588778	0.9621832	0.7710832	0.9544247	0.6156680
800	0.2507175	0.8688335	0.7857044	0.9917680	0.5140038
850	0.2572880	0.9814946	0.6901267	0.9116374	0.5315492
900	0.2822517	0.9228678	0.6964319	0.9029066	0.5044115
950	0.2874752	0.8969029	0.7461371	0.9059760	0.4898986
1000	0.2083909	0.9342073	0.7260706	0.8724789	0.5093307

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2342792	1.0284718	0.8382611	0.9659210	0.7294555
100	0.2076426	1.0514715	1.0122170	0.9999774	0.8388719
150	0.2136865	1.0167765	1.0204091	1.0034608	0.8970474
200	0.2474235	0.9157153	0.9831698	1.1705695	0.8772580
250	0.2645508	0.9659877	0.9403318	1.0843805	0.8572128
300	0.2441408	1.0045492	0.9397310	1.0206125	0.8674916
350	0.2858261	1.0031112	0.9689460	1.2375490	0.8473817
400	0.2684343	0.9457413	0.8986971	1.0944832	0.8543503
450	0.2623470	1.0466608	0.8794374	0.9661656	0.9293968
500	0.2501031	1.0331951	0.8706291	0.9653168	0.9684974
550	0.2351568	1.0351609	0.7673921	0.9566783	0.7581383
600	0.1793403	1.0792937	0.6266259	0.8341809	0.6940630
650	0.2051478	1.0416554	0.6921583	0.8795834	0.5354996
700	0.2065511	1.0163770	0.7371644	0.9170245	0.5591612
750	0.2196176	0.9162529	0.7807357	0.9469006	0.6485857
800	0.2621261	0.9160911	0.7279654	0.9300196	0.4873758
850	0.2339806	1.0669895	0.6829942	0.9987373	0.4962359
900	0.2161076	1.0783669	0.7212384	0.9329615	0.4895657
950	0.2332127	1.0277396	0.6346777	0.9081195	0.5552191
1000	0.2454897	1.0425669	0.7380592	0.9285059	0.5262278

0	0.2849478	0.9340689	0.7512470	1.0043580	0.4416038
50	0.2214090	1.0159225	0.7140580	0.9399065	0.5135675
100	0.1952398	0.9185127	0.7037984	1.0024843	0.5814589
150	0.1895193	0.8947055	0.7270578	1.1531584	0.5877472
