"Time"	gadX	torR	hdeA	hdeB	yhiD
450	0.2964644	1.0154881	0.7425966	0.9076917	0.6019777
500	0.2078615	1.0329621	0.7940065	0.9180939	0.5654083
550	0.2822722	0.9935373	0.7269229	0.9256044	0.5402297
600	0.2673554	0.9619106	0.6852816	0.9322308	0.5014161
650	0.2452682	0.9494214	0.7521580	0.9194036	0.5538488
700	0.2634102	1.0799659	0.7743018	0.9942456	0.5154648
750	0.2158815	1.0737581	0.7731049	0.9827996	0.5682985
800	0.2247178	0.9392805	0.7834407	0.9198828	0.5366786
850	0.2642347	1.0242248	0.7265991	0.9498535	0.5776886
900	0.2374709	1.0235380	0.7568103	0.8608589	0.5741249
950	0.2742122	1.0304974	0.7890262	0.8824208	0.5630769
1000	0.2595207	1.0082503	0.7535567	0.9513869	0.5726828

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.1874172	0.2640902	0.7008801	0.8705830	0.5804442
100	0.3782666	0.1008577	0.6356429	0.8795075	0.3833198
150	0.5164385	0.1064339	0.4473676	0.6544429	0.1993576
200	0.6717194	0.0981522	0.3768590	0.4532843	0.2167153
250	0.6815941	0.1252672	0.3125320	0.4673745	0.2372306
300	0.6788955	0.1062200	0.3237151	0.4610609	0.2600420
350	0.7369989	0.1164598	0.3662791	0.4638784	0.2576365
400	0.6860913	0.1133057	0.3715315	0.4960661	0.2553639
450	0.7631098	0.0919438	0.3195618	0.4278443	0.2725929
500	0.7370153	0.1045507	0.3414427	0.4054018	0.2783964
550	0.5464944	0.8687014	0.4324383	0.7596508	0.3788536
600	0.3408404	0.9756087	0.5659212	0.8968324	0.5479479
650	0.3377956	0.9849320	0.7545745	0.9299039	0.5868119
700	0.2601741	0.9686533	0.7157605	0.9228992	0.5965415
750	0.2109929	0.9510007	0.7854686	0.9297308	0.5095036
800	0.3064519	0.9824087	0.6870483	0.9055144	0.4791699
850	0.2333941	0.9949845	0.7295201	0.8705136	0.4747194
900	0.3069580	1.0042883	0.6825106	0.8725296	0.5084338
950	0.2199212	0.9475959	0.7037342	0.9703362	0.5708953
1000	0.2468464	1.0198916	0.7335885	0.9039315	0.5473414

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.2187027	0.9628148	0.8731130	1.0082990	0.7297043
100	0.2397277	1.0098111	1.0637895	1.0639880	0.9593912
150	0.2436134	0.9727996	0.9582647	1.0388596	0.8762764
200	0.2388577	0.9829710	0.9863634	1.0172246	0.9269456
250	0.2771394	1.0234851	0.9837985	1.0418043	0.8677119
300	0.2736566	1.0837029	0.9825474	1.2345131	0.8440470
350	0.2048391	1.0288704	0.9656237	1.1517648	0.8456635
400	0.2502825	1.0010341	0.9724456	0.9900232	0.9228120
450	0.2232337	0.9941774	0.9933827	0.9928782	0.9145651
500	0.2130776	1.0141923	0.8665899	1.0610875	0.9229100
550	0.2359644	1.1093069	0.7273347	0.9076325	0.6634300
600	0.2321252	1.0979588	0.7233103	0.8238230	0.5579312
650	0.2264113	0.9265174	0.7328025	0.9050853	0.5551454
700	0.2500040	0.9389000	0.7464883	0.9264545	0.5337717
750	0.2716379	0.8921828	0.7492839	0.8286736	0.5582420
800	0.2882314	0.9865569	0.7205260	0.8517743	0.5344701
850	0.2433586	1.0095105	0.7029369	0.9678999	0.5644595
900	0.2036180	1.0033901	0.7395149	0.8907898	0.5478689
950	0.2383964	1.0606208	0.7474301	0.9322934	0.5234541
1000	0.2638912	1.0018469	0.7772788	0.8827677	0.5162029

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.1912728	1.0087848	0.7025053	1.0269137	0.5116361
100	0.2365532	0.8832130	0.7120251	1.0693203	0.5680529
150	0.2334234	0.9542474	0.7319737	1.1018422	0.5497039
200	0.2768106	0.8428199	0.7879930	0.9641475	0.5254470
250	0.2710622	0.9836930	0.7265850	1.0550427	0.5683451
300	0.2431005	0.9658021	0.7289688	1.0148872	0.5333659
350	0.2570104	0.9106912	0.6850866	0.9542851	0.5853312
400	0.2731448	0.8741081	0.7365335	1.0193125	0.5306987
450	0.2713879	0.9231772	0.7569888	1.0962671	0.5451872
500	0.2419711	0.9836986	0.7398989	1.0328850	0.5326021
550	0.2814821	0.9986055	0.7728053	0.9702402	0.5481601
600	0.2281673	0.8693859	0.7015344	0.9810139	0.5456161
650	0.2375574	1.0378086	0.7063827	0.9879051	0.5225434
700	0.2440326	1.0243020	0.6915843	0.9728896	0.4996617
750	0.2139237	1.0284273	0.7353055	0.9490017	0.5935553
800	0.2492794	1.0262667	0.7007264	0.8840492	0.5084321
850	0.2911093	1.0562125	0.7696866	0.9590805	0.5746759
900	0.2258444	1.0302434	0.8037188	0.9330038	0.5541689
950	0.2589760	1.0286339	0.7244853	0.9179900	0.5746758
1000	0.2303769	0.9870389	0.7225527	0.8130209	0.5136485

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.1824347	0.9538058	0.7153214	0.8377338	0.5274576
100	0.2493722	0.9926065	0.7521163	0.8186565	0.5200991
150	0.2503898	0.9706432	0.7374764	0.8380540	0.6058728
200	0.2440575	0.9861052	0.7615902	0.9567618	0.5415360
250	0.2283802	0.9271823	0.7467784	0.9438412	0.5343386
300	0.2627444	0.9753843	0.7441064	0.8943802	0.4803037
350	0.2958635	0.9818686	0.7177507	0.8588921	0.5214179
400	0.2608656	0.9184953	0.6682953	0.9792478	0.5527778
450	0.2933084	1.0034872	0.6696502	0.9623602	0.5416831
500	0.2656212	0.9056521	0.7612274	0.8165453	0.5258640
550	0.2413306	0.9590567	0.7947896	0.8976301	0.5508771
600	0.2459429	0.9573272	0.8379096	0.9055303	0.5500178
650	0.2416165	0.9147157	0.7813920	0.9085705	0.5263394
700	0.2429021	1.0784414	0.7405016	0.8767854	0.5883345
750	0.2969442	1.0641142	0.7043005	0.8862160	0.5408190
800	0.2726050	0.9178348	0.6977308	0.9289093	0.5411122
850	0.2417721	0.9405025	0.7626452	0.8978557	0.5387868
900	0.2320769	0.9544305	0.7889312	0.8079480	0.5592622
950	0.3072353	0.9585543	0.7531292	0.9296960	0.5522910
1000	0.2690168	1.0653008	0.7739891	0.8626965	0.5624907

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.2316420	0.9462286	0.7316459	0.9608479	0.5960681
100	0.1707357	1.0373613	0.7418403	0.9236832	0.5210262
150	0.1713639	1.0885137	0.7279647	0.8229895	0.5798741
200	0.2422106	0.9965614	0.7718782	0.9499979	0.5462748
250	0.2052697	0.9709536	0.8038899	0.8115126	0.5154500
300	0.1840500	0.9991175	0.8298266	0.8888446	0.4770065
350	0.1674673	0.9703147	0.7299311	0.8637932	0.4851113
400	0.1752943	0.9591752	0.7413846	0.8381850	0.5771640
450	0.2072078	1.0662826	0.7537280	0.8730780	0.5743060
500	0.2301260	1.0318754	0.7741833	0.9880056	0.5013878
550	0.2032837	1.0778771	0.8210879	0.8766472	0.5204924
600	0.2304570	1.0707489	0.8646719	0.9707825	0.5719421
650	0.2513360	1.0730715	0.6774839	0.9922843	0.5904805
700	0.1823670	0.9891808	0.6861752	0.9565463	0.5394165
750	0.2476725	1.0256912	0.6906474	0.9221717	0.4947065
800	0.2158905	1.0083193	0.7999691	0.9032812	0.4947925
850	0.2160087	1.1133856	0.8090991	0.9215333	0.5547416
900	0.2199671	1.0220142	0.7313251	0.9120427	0.5514601
950	0.1943376	1.0308096	0.6875486	0.9351662	0.5452990
1000	0.2478780	0.9476353	0.7733965	0.9935423	0.5242546

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.2706418	0.6478249	0.6986222	0.8744218	0.5250318
100	0.3190116	0.6040884	0.6704402	0.9600414	0.5372782
150	0.3125475	0.6393378	0.6342578	0.9283617	0.5386852
200	0.3066485	0.6028539	0.5617389	0.8847800	0.5698568
250	0.3601424	0.6322910	0.5692223	0.9249135	0.5431074
300	0.3206523	0.6209852	0.5537629	0.8968093	0.5492159
350	0.3484653	0.6760115	0.6099706	0.8747735	0.4647938
400	0.3230307	0.5888832	0.5912128	0.9418381	0.4987898
450	0.3345585	0.5664631	0.5938651	0.9392132	0.5430349
500	0.3080650	0.6318449	0.5270827	0.9063989	0.5606049
550	0.2538770	0.9388206	0.6454057	1.0121646	0.5412199
600	0.2993482	0.9973742	0.6562213	0.9425853	0.5355381
650	0.2979242	1.0196142	0.7196027	0.9221547	0.5132301
700	0.2666559	0.9819854	0.6963452	0.9639489	0.4827930
750	0.2353740	1.0402432	0.7401438	1.0041646	0.5411094
800	0.2315309	0.9056038	0.6751810	0.9942120	0.5711152
850	0.2139626	1.0365429	0.6935905	0.9250159	0.6308563
900	0.2522056	0.9873561	0.7151724	0.9777122	0.5242183
950	0.2353336	0.9901214	0.7504984	0.8522966	0.5284770
1000	0.2078797	1.0082773	0.7593390	0.9027452	0.5059391

0	0.2658129	0.9705305	0.7829172	0.8982202	0.5490946
50	0.2614436	0.9849353	0.8241559	0.9222075	0.5208694
100	0.2725030	1.0011961	0.6914442	0.9145255	0.5539011
150	0.2475952	1.0154305	0.7374581	0.8968130	0.5747207
200	0.2123458	1.0082972	0.8043636	1.0067115	0.5956987
250	0.1978292	1.0471140	0.7422615	0.9196043	0.5671627
300	0.2115979	0.9830155	0.8268251	0.9681714	0.5451548
350	0.2545917	1.0248122	0.8006304	0.9461665	0.5543155
400	0.2631084	0.9488413	0.8230204	0.9360895	0.5228763
450	0.2411888	1.0223617	0.7954308	0.8638256	0.5320462
500	0.2519565	1.0294579	0.7931293	0.8428192	0.5045119
550	0.2471422	0.9150793	0.8181103	0.9238088	0.5722380
600	0.2764578	1.0542028	0.7507598	0.9333837	0.5647657
650	0.2576059	1.0317623	0.7805500	0.9314226	0.4661355
700	0.2453358	1.0666477	0.7399521	0.8331565	0.5421007
750	0.2364097	1.0691682	0.7526536	0.8744591	0.5839463
800	0.2320207	1.0022771	0.7169202	0.8957123	0.5244365
