"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
400	0.0000021	1.0000000	1.0000000	0.9999999	0.3895697	0.0085436	0.7844976	0.0025284	0.9225893	0.0170365
450	0.0000015	1.0000000	1.0000000	1.0000000	0.3895697	0.0085436	0.7845018	0.0025244	0.9225893	0.0170365
500	0.0000013	1.0000000	1.0000000	1.0000000	0.3895696	0.0085436	0.7845037	0.0025233	0.9225893	0.0170365
550	0.0088684	1.0000000	1.0000000	0.9999930	0.3829378	0.0085436	0.7808859	0.0037233	0.9225893	0.0170365
600	0.0115386	1.0000000	1.0000000	0.9998584	0.3807883	0.0085436	0.7793307	0.0074227	0.9225892	0.0170366
650	0.0123446	1.0000000	1.0000000	0.9995597	0.3801105	0.0085436	0.7786621	0.0106299	0.9225889	0.0170368
700	0.0125909	1.0000000	1.0000000	0.9992819	0.3799271	0.0085436	0.7783747	0.0124350	0.9225885	0.0170371
750	0.0126687	1.0000000	1.0000000	0.9991090	0.3799038	0.0085437	0.7782511	0.0132661	0.9225883	0.0170372
800	0.0126946	1.0000000	1.0000000	0.9990217	0.3799214	0.0085437	0.7781979	0.0136095	0.9225881	0.0170373
850	0.0127038	1.0000000	1.0000000	0.9989824	0.3799414	0.0085437	0.7781751	0.0137430	0.9225881	0.0170373
900	0.0127073	1.0000000	1.0000000	0.9989658	0.3799550	0.0085437	0.7781653	0.0137933	0.9225880	0.0170373
950	0.0127087	1.0000000	1.0000000	0.9989592	0.3799627	0.0085437	0.7781611	0.0138120	0.9225880	0.0170373
1000	0.0127092	1.0000000	1.0000000	0.9989565	0.3799665	0.0085437	0.7781592	0.0138189	0.9225880	0.0170373

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0127097	1.0000000	1.0000000	0.9989545	0.3799709	0.0085437	0.8506387	0.0138240	0.8009262	0.5715496
100	0.0127096	1.0000000	1.0000000	0.9989547	0.3799702	0.0085437	0.8817973	0.0138235	0.7660271	0.6935803
150	0.0127096	1.0000000	1.0000000	0.9989548	0.3799700	0.0085437	0.8951919	0.0138233	0.7560162	0.7204354
200	0.0127096	1.0000000	1.0000000	0.9989548	0.3799699	0.0085437	0.9009500	0.0138232	0.7531445	0.7263454
250	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9034253	0.0138232	0.7523208	0.7276459
300	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9044894	0.0138232	0.7520845	0.7279322
350	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9049468	0.0138232	0.7520167	0.7279952
400	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9051435	0.0138232	0.7519972	0.7280090
450	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9052280	0.0138232	0.7519917	0.7280121
500	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.9052643	0.0138232	0.7519901	0.7280127
550	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.8327988	0.0138232	0.8736514	0.1735006
600	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.8016471	0.0138232	0.9085504	0.0514700
650	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7882555	0.0138232	0.9185613	0.0246149
700	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7824987	0.0138232	0.9214329	0.0187049
750	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7800239	0.0138232	0.9222567	0.0174043
800	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7789600	0.0138232	0.9224930	0.0171181
850	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7785027	0.0138232	0.9225607	0.0170551
900	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7783061	0.0138232	0.9225802	0.0170413
950	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7782216	0.0138232	0.9225858	0.0170382
1000	0.0127096	1.0000000	1.0000000	0.9989549	0.3799698	0.0085437	0.7781853	0.0138232	0.9225874	0.0170375

0	0.0127098	1.0000000	1.0000000	0.9989540	0.3799725	0.0085437	0.7781572	0.0138253	0.9225880	0.0170373
50	0.0130643	1.0000000	0.8913984	0.9163551	0.2670876	0.3819930	0.7781576	0.0136195	0.9282304	0.0170374
100	0.0139699	1.0000000	0.8709190	0.8929736	0.2355052	0.5143252	0.7781577	0.0134442	0.9298488	0.0170374
150	0.0147343	1.0000000	0.8670572	0.8862686	0.2281984	0.5612173	0.7781578	0.0137500	0.9303128	0.0170376
200	0.0151746	1.0000000	0.8663289	0.8842615	0.2270343	0.5778336	0.7781578	0.0142683	0.9304455	0.0170378
250	0.0153853	1.0000000	0.8661916	0.8836077	0.2270935	0.5837216	0.7781577	0.0147162	0.9304834	0.0170380
300	0.0154767	1.0000000	0.8661657	0.8833704	0.2272651	0.5858080	0.7781577	0.0150078	0.9304940	0.0170381
350	0.0155143	1.0000000	0.8661608	0.8832760	0.2273746	0.5865473	0.7781577	0.0151690	0.9304970	0.0170382
400	0.0155295	1.0000000	0.8661599	0.8832363	0.2274300	0.5868093	0.7781577	0.0152493	0.9304978	0.0170382
450	0.0155355	1.0000000	0.8661597	0.8832194	0.2274557	0.5869022	0.7781577	0.0152866	0.9304980	0.0170382
500	0.0155380	1.0000000	0.8661597	0.8832121	0.2274671	0.5869351	0.7781577	0.0153031	0.9304981	0.0170382
550	0.0150872	1.0000000	0.9747613	0.9657583	0.3444605	0.2134974	0.7781576	0.0155702	0.9248556	0.0170382
600	0.0140997	1.0000000	0.9952407	0.9891230	0.3748521	0.0811694	0.7781577	0.0157851	0.9232374	0.0170381
