"Time"	gadX	torR	rutR	gadW	hdeA	gadY	yhiD	dctR	hdeB	gadC
950	0.0138976	0.7180720	0.6705652	0.6085023	0.2309839	0.0043700	0.4354537	0.0181563	0.7923797	0.0076828
1000	0.0077838	0.6869273	0.7399031	0.6239751	0.2690843	0.0091126	0.5781363	0.0203135	0.5375195	0.0142262

0	0.0111847	0.6031134	0.7424599	0.6372421	0.3120639	0.0166145	0.5853800	0.0163640	0.6351840	0.0239084
50	0.0067275	0.6360457	0.5100900	0.6273127	0.3183208	0.0115526	0.5761280	0.1613954	0.5964333	0.0107553
100	0.0168375	0.7096955	0.3559381	0.6987717	0.2356355	0.0058310	0.6107465	0.3037606	0.6320622	0.0092384
150	0.0112368	0.6178844	0.2808041	0.5983477	0.2278607	0.0000000	0.4620591	0.3051986	0.5673788	0.0052892
200	0.0185386	0.6815199	0.2722892	0.5816475	0.2174756	0.0003652	0.3539116	0.3756108	0.5421252	0.0194346
250	0.0136833	0.7172856	0.2533247	0.8100718	0.3049401	0.0067414	0.6444112	0.3822559	0.5635631	0.0198078
300	0.0058442	0.5575612	0.3336443	0.6776480	0.3262967	0.0039395	0.5669030	0.3265298	0.7081831	0.0055028
350	0.0283803	0.8583528	0.3260406	0.6772438	0.2365236	0.0080821	0.5976333	0.3479318	0.6021000	0.0135184
400	0.0038393	0.6986649	0.2895321	0.6579628	0.2727726	0.0202296	0.5495115	0.4388820	0.6417947	0.0102222
450	0.0110990	0.7415076	0.2733869	0.7218889	0.2015211	0.0081103	0.6108724	0.2832923	0.7658054	0.0164934
500	0.0171433	0.7249813	0.2017678	0.7618950	0.2529548	0.0190416	0.4748756	0.3428738	0.7066806	0.0179722
550	0.0086133	0.6010667	0.4438628	0.5600173	0.3023133	0.0271686	0.4820249	0.2439804	0.6725322	0.0163480
600	0.0277040	0.7473935	0.4920390	0.5899531	0.2571299	0.0130362	0.5141661	0.1209765	0.6048160	0.0193642
