"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
200	0.4644277	0.3511566	0.5031207	0.0437788	0.1539210	0.2187916	0.6262419	0.2448621	0.0727383	0.0472953	0.3347484	0.6364794	0.0953818	0.3291689	0.6932751	0.0035888	0.1659169	0.5469067	0.0191707	0.4470537
250	0.5367806	0.4017402	0.4119692	0.0592904	0.1823676	0.3013856	0.7070406	0.3546794	0.2287762	0.0493420	0.3072192	0.6937622	0.0921796	0.4153623	0.6886835	0.0113901	0.2218563	0.6789787	0.0251169	0.5322277
300	0.7129506	0.4583422	0.4666505	0.0433805	0.2801445	0.3265031	0.7309922	0.2619688	0.3500305	0.0895732	0.2974287	0.5325856	0.0968074	0.3306665	0.7549986	0.0045483	0.2663016	0.5739665	0.0095918	0.5331605
350	0.5992315	0.4127747	0.4288652	0.0278234	0.2626491	0.4308610	0.6576463	0.4942590	0.2941880	0.0596265	0.3719648	0.6271733	0.1167906	0.3018902	0.6476203	0.0112833	0.2193938	0.6086595	0.0276438	0.5072169
400	0.6252823	0.4590975	0.3984819	0.0966906	0.2565565	0.3776875	0.7486014	0.3937162	0.4870961	0.1241275	0.3596348	0.7226444	0.0704112	0.3877303	0.7236692	0.0062421	0.3039520	0.6516330	0.0218285	0.4596466
450	0.5752090	0.5021680	0.4711001	0.0800178	0.3169916	0.3979301	0.7772208	0.5122060	0.5287859	0.0650096	0.3871429	0.7145612	0.1219203	0.3941524	0.6722330	0.0302265	0.2672562	0.6279582	0.0230639	0.5706696
500	0.6511783	0.3964426	0.3463462	0.0548524	0.2901953	0.3594947	0.7620337	0.4777643	0.4743706	0.0461876	0.4218186	0.7400075	0.2110247	0.3791904	0.7647877	0.0152540	0.1694521	0.7270090	0.0237108	0.5704095
550	0.6435418	0.4310232	0.4486208	0.0398960	0.1971694	0.5507101	0.7106390	0.6046233	0.5100231	0.0522503	0.3341077	0.7395060	0.1031575	0.4035570	0.7213557	0.0389549	0.2173376	0.6959176	0.0678315	0.4996741
600	0.6069406	0.3793912	0.8035470	0.0728284	0.1625986	0.4312199	0.7551821	0.3753888	0.3180656	0.0441655	0.3435921	0.7372496	0.0669525	0.3688315	0.8348962	0.0202394	0.2371121	0.6081440	0.1788706	0.5581976
650	0.7274436	0.3201098	0.8464396	0.0630020	0.1335356	0.4657945	0.7200191	0.4232756	0.3210285	0.0220245	0.3889335	0.8140594	0.0655192	0.4742724	0.8061703	0.0168879	0.2118396	0.6958719	0.1404517	0.4347591
700	0.7321566	0.2374795	0.8233048	0.0760471	0.1178039	0.3116907	0.8184335	0.3959462	0.2616873	0.0219094	0.3845877	0.6845369	0.0425549	0.4434669	0.7397021	0.0078106	0.1531014	0.5782218	0.1866546	0.5099075
750	0.6611319	0.2889136	0.6705450	0.0349329	0.0506106	0.2436295	0.6929481	0.1998381	0.1626187	0.0222122	0.2927947	0.7237586	0.0549426	0.3912202	0.7642449	0.0080657	0.1276659	0.5591186	0.1250902	0.5922181
800	0.6117268	0.2079678	0.6039305	0.0642843	0.0382610	0.2087487	0.7379331	0.2192722	0.2032960	0.0307366	0.3284980	0.6436461	0.0334105	0.3461232	0.7151049	0.0060772	0.1748740	0.5084903	0.1065404	0.3939623
850	0.6437631	0.2144533	0.6331909	0.0865790	0.0242811	0.1957272	0.7759766	0.2387491	0.1030396	0.0293025	0.3415241	0.6364193	0.0519455	0.3302723	0.7893944	0.0046089	0.1441175	0.5278412	0.0858228	0.4426225
900	0.5314021	0.1813351	0.6720363	0.0385909	0.0572239	0.1436706	0.7602584	0.3548441	0.1039325	0.0337907	0.3298850	0.6462980	0.0419497	0.2840115	0.7786217	0.0126825	0.1150342	0.4908657	0.0755931	0.4151516
950	0.4975330	0.1858299	0.7600397	0.0177066	0.0577713	0.1332542	0.7074593	0.1962594	0.1235423	0.0252139	0.3106742	0.6905971	0.0215768	0.3500638	0.8404147	0.0063126	0.0623750	0.5291996	0.0976052	0.4213899
1000	0.5118577	0.1816901	0.7226634	0.0513999	0.0325920	0.1063125	0.7203673	0.2404899	0.0657292	0.0352086	0.3381270	0.7499420	0.0563598	0.3919333	0.8524558	0.0089528	0.0659004	0.4497962	0.1069635	0.4743810

0	0.4875380	0.1536303	0.8608692	0.0606905	0.0118251	0.0884415	0.3498969	0.1357757	0.0860116	0.0141054	0.2581596	0.7334761	0.0707405	0.3392787	0.7381334	0.0043227	0.0867016	0.3707882	0.0514966	0.3984537
50	0.5701808	0.1948385	0.6123261	0.0216228	0.0122485	0.1190584	0.4681340	0.1031020	0.0779613	0.0221826	0.1778211	0.7072906	0.0969652	0.3261938	0.7506439	0.0348109	0.0739973	0.3356853	0.0936326	0.4313480
100	0.4915422	0.1920653	0.6335151	0.0040684	0.0214729	0.1172504	0.4789906	0.1749151	0.0684767	0.0256634	0.2837585	0.7875018	0.0545054	0.4742417	0.8575205	0.0049135	0.0883574	0.3758452	0.0970864	0.4450157
150	0.5982013	0.2182685	0.6403731	0.0045855	0.0271090	0.1056677	0.5682660	0.2207959	0.1004166	0.0285401	0.4331485	0.7762235	0.0419881	0.4368379	0.7655864	0.0123922	0.1034631	0.4477415	0.1617147	0.4658775
200	0.5135323	0.2572229	0.6064074	0.0028160	0.0250763	0.1874075	0.6506421	0.2226087	0.0932971	0.0439325	0.4583424	0.6617173	0.0584851	0.5814656	0.8492436	0.0003983	0.1488014	0.3787027	0.1189906	0.4732243
250	0.5794078	0.2389762	0.6039298	0.0019072	0.0353112	0.1859738	0.5301583	0.2272359	0.0768178	0.0295373	0.5538464	0.6784990	0.0635707	0.5977357	0.7004729	0.0010654	0.1315672	0.3759133	0.1408839	0.3844268
300	0.7751575	0.2603814	0.7140577	0.0003657	0.0368298	0.1652445	0.5849868	0.2019986	0.1161652	0.0426530	0.4575096	0.6108595	0.0402786	0.5834729	0.7482346	0.0112348	0.1165566	0.4994732	0.0679553	0.4000299
350	0.6120893	0.1924149	0.7680396	0.0003134	0.0307846	0.2037061	0.6296920	0.1622996	0.0856679	0.0157338	0.5488157	0.7418859	0.1106841	0.6985844	0.7907868	0.0054303	0.0939176	0.3937364	0.0807439	0.4426067
400	0.6990193	0.1406494	0.6405069	0.0010643	0.0739207	0.1879697	0.7069920	0.1932734	0.0944208	0.0127356	0.7669925	0.8093342	0.0704133	0.4420261	0.6847402	0.0036053	0.0957853	0.4808015	0.0465279	0.4863922
450	0.6422651	0.2042214	0.6739267	0.0022720	0.0240522	0.2336095	0.6604400	0.1808245	0.1115478	0.0181784	0.4730860	0.9772491	0.0474756	0.6824888	0.8746085	0.0140896	0.1087357	0.3860512	0.0794045	0.5056909
500	0.5360373	0.2344363	0.8954005	0.0001148	0.0343847	0.1824507	0.7173723	0.1971060	0.0709891	0.0607063	0.4623017	0.7339077	0.0470187	0.6209282	0.8147993	0.0048190	0.0851954	0.4113224	0.0842585	0.4138163
550	0.6745286	0.1897485	0.6782202	0.0275946	0.0149444	0.1396144	0.6339743	0.1405881	0.1010298	0.0563863	0.4437830	0.7543966	0.0259538	0.4916646	0.7158028	0.0036595	0.0955308	0.3440817	0.0831020	0.5261205
600	0.5671857	0.1853292	0.7504789	0.0232382	0.0417638	0.1408837	0.5834567	0.1375787	0.1400694	0.0305376	0.3722483	0.7097459	0.0589312	0.4295979	0.7474071	0.0031540	0.0911273	0.3671591	0.1227855	0.4007536
650	0.6345864	0.1923278	0.8296772	0.0348452	0.0289629	0.1263518	0.6033269	0.1814733	0.1124407	0.0348031	0.4174839	0.6369762	0.0486153	0.4349560	0.7653096	0.0044845	0.0939156	0.4401856	0.1534711	0.4204296
700	0.6003240	0.1868920	0.7655432	0.0303116	0.0327412	0.0815901	0.4590098	0.2009475	0.0721391	0.0126749	0.3863561	0.7472730	0.0339156	0.3509577	0.6560209	0.0206138	0.0761427	0.3087982	0.0651274	0.5290317
750	0.6681250	0.1945323	0.8524637	0.0359236	0.1008694	0.1121239	0.5677965	0.2216924	0.0772103	0.0184902	0.2575292	0.7448632	0.0543359	0.3490371	0.6503968	0.0017945	0.0650871	0.3205372	0.0931073	0.5032757
800	0.6240432	0.2425231	0.8576551	0.0445533	0.0397143	0.1065842	0.5498225	0.2347929	0.0688983	0.0241946	0.3224169	0.7179638	0.0275818	0.4004554	0.6870055	0.0029183	0.0594303	0.4713854	0.0971051	0.5044097
850	0.5552021	0.1285862	0.7441376	0.0241717	0.0240404	0.0749902	0.5848272	0.1675072	0.1496181	0.0181477	0.2962885	0.7291894	0.0469360	0.4423581	0.6563866	0.0044390	0.0865503	0.5054254	0.0639748	0.4931564
900	0.5740784	0.2449800	0.7254478	0.0176657	0.0361748	0.0587976	0.6720819	0.1390004	0.1361876	0.0065147	0.2458163	0.8092451	0.0517025	0.4221255	0.7912043	0.0094603	0.0921893	0.4653036	0.0899998	0.4232367
950	0.4418760	0.2184898	0.5777471	0.0395403	0.0365778	0.0835966	0.5947993	0.1566314	0.0574489	0.0271462	0.2802673	0.6306182	0.0836017	0.3319352	0.8212775	0.0097680	0.0784460	0.5158765	0.0615614	0.4102869
1000	0.5352807	0.2162287	0.7162679	0.0382111	0.0093686	0.1134167	0.5467470	0.2550780	0.0693928	0.0245522	0.3205362	0.7591118	0.0443678	0.3157004	0.6137190	0.0009285	0.1190775	0.3594086	0.0400976	0.4347807

0	0.6534519	0.1490447	0.9305299	0.0617840	0.0310368	0.0952669	0.3609431	0.1523550	0.0556087	0.0264756	0.2675701	0.6686676	0.0337876	0.3570179	0.7612909	0.0034846	0.0896246	0.3981139	0.0814483	0.4330358
50	0.5782420	0.1860100	0.6654887	0.0335950	0.0216652	0.1301082	0.3255875	0.1925541	0.0665962	0.0233724	0.2852474	0.7657362	0.0542741	0.2983907	0.7146444	0.0050890	0.1108990	0.3663563	0.0354189	0.3555661
100	0.6020098	0.2009171	0.7030188	0.0056073	0.0382994	0.1618523	0.4274662	0.1623008	0.0502105	0.0351537	0.3234645	0.5867954	0.0281022	0.4400272	0.6222683	0.0014318	0.0604295	0.4614028	0.0390983	0.4333479
150	0.6459045	0.2081567	0.6672611	0.0607407	0.0434189	0.1516153	0.4297732	0.2577767	0.0447834	0.0220018	0.2707040	0.7481403	0.0670753	0.3744157	0.6193671	0.0028209	0.0719634	0.5669309	0.0469088	0.4366820
200	0.5940753	0.1874284	0.7064208	0.0412078	0.0186177	0.2037822	0.4570722	0.1563700	0.0607059	0.0142163	0.3143470	0.7955557	0.0343380	0.3473659	0.6383108	0.0077304	0.0831415	0.5289002	0.0716804	0.4315686
250	0.5042237	0.2172962	0.7055606	0.0274118	0.0248484	0.1927094	0.5404244	0.1511188	0.0977404	0.0207838	0.2153641	0.7186901	0.0539627	0.2873915	0.7068914	0.0093014	0.0791988	0.5206304	0.0841762	0.5162108
300	0.5129492	0.1583946	0.7100474	0.0104535	0.0213908	0.2059629	0.4378125	0.1456170	0.1085779	0.0044744	0.2807676	0.6898619	0.0208888	0.3131074	0.6687076	0.0145867	0.0863438	0.3974604	0.0478105	0.4000034
350	0.5254636	0.1451274	0.7087488	0.0342682	0.0104157	0.0960644	0.4247129	0.1814834	0.0528037	0.0314150	0.3042788	0.6899890	0.0345431	0.3018374	0.8870406	0.0277465	0.0428390	0.4979267	0.0611160	0.4535322
400	0.4661430	0.1738896	0.6417255	0.0314539	0.0286582	0.1439073	0.4300530	0.1820607	0.0978221	0.0212102	0.2945627	0.6593110	0.0373621	0.3691066	0.7271772	0.0087220	0.0642696	0.5341702	0.0760640	0.3913975
450	0.4880320	0.1349181	0.8922409	0.0555416	0.0261834	0.1747711	0.4198070	0.1645508	0.0916929	0.0293817	0.2345019	0.7131032	0.0541131	0.2855098	0.7430036	0.0077445	0.1004231	0.5409548	0.0423931	0.4244215
