"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
400	0.9662930	0.6186411	0.5910282	0.0693121	0.3240223	0.5813680	0.9917078	0.6327004	0.5480763	0.1025662	0.5395778	0.9997880	0.1542603	0.5352502	0.9999658	0.0119265	0.3413228	0.9079303	0.0211285	0.7040896
450	0.9675934	0.6205479	0.5910211	0.0695858	0.3280608	0.6001313	0.9931790	0.6479506	0.5603241	0.1028596	0.5470196	0.9998013	0.1553220	0.5371420	0.9999666	0.0120193	0.3439333	0.9129278	0.0216940	0.7070798
500	0.9681935	0.6213450	0.5910192	0.0697100	0.3302016	0.6099115	0.9938120	0.6564832	0.5663660	0.1029700	0.5509051	0.9998073	0.1558041	0.5380641	0.9999670	0.0120653	0.3451448	0.9153281	0.0220238	0.7085269
550	0.9679038	0.5707502	0.8919946	0.0650935	0.2187231	0.6126836	0.9939686	0.6488766	0.5574024	0.0730659	0.5512999	0.9998081	0.1359809	0.5811870	0.9999672	0.0114305	0.3086518	0.9155870	0.1774654	0.7081384
600	0.9611394	0.4480685	0.9714775	0.0581668	0.1650748	0.5882216	0.9928418	0.6074158	0.5097797	0.0443202	0.5359051	0.9997841	0.1006691	0.5713292	0.9999671	0.0101213	0.2510874	0.9045534	0.2363289	0.6974879
650	0.9404459	0.3511688	0.9924677	0.0543046	0.1273784	0.5185675	0.9881731	0.5346680	0.4112629	0.0355155	0.5061673	0.9997078	0.0797631	0.5479065	0.9999661	0.0091348	0.2052651	0.8686095	0.2368719	0.6756496
700	0.9027411	0.2957641	0.9980108	0.0524826	0.0964597	0.4193039	0.9759718	0.4468623	0.2883574	0.0329948	0.4790356	0.9995548	0.0699814	0.5232610	0.9999630	0.0085123	0.1685029	0.8035114	0.2071714	0.6521133
750	0.8544675	0.2680284	0.9994747	0.0516649	0.0732918	0.3200572	0.9504246	0.3684490	0.1936030	0.0321902	0.4585736	0.9992977	0.0656045	0.5000154	0.9999562	0.0081343	0.1425196	0.7222195	0.1705103	0.6319304
800	0.8093474	0.2551130	0.9998613	0.0513066	0.0579923	0.2402578	0.9074584	0.3113847	0.1389478	0.0319090	0.4415020	0.9989185	0.0636088	0.4802443	0.9999452	0.0079121	0.1266049	0.6467641	0.1396214	0.6149079
850	0.7766757	0.2493761	0.9999634	0.0511521	0.0488381	0.1843168	0.8507290	0.2747201	0.1114053	0.0318064	0.4261992	0.9984403	0.0626722	0.4655167	0.9999321	0.0077870	0.1178650	0.5903985	0.1178213	0.6003146
900	0.7570002	0.2469130	0.9999903	0.0510862	0.0437363	0.1484603	0.7918201	0.2529011	0.0983223	0.0317684	0.4132563	0.9979412	0.0622281	0.4558141	0.9999199	0.0077199	0.1134220	0.5539354	0.1039219	0.5884903
950	0.7465419	0.2458826	0.9999974	0.0510584	0.0410389	0.1268846	0.7421136	0.2405623	0.0922755	0.0317543	0.4034831	0.9975120	0.0620194	0.4500137	0.9999104	0.0076855	0.1112851	0.5324448	0.0956218	0.5799069
1000	0.7414261	0.2454603	0.9999993	0.0510468	0.0396700	0.1145227	0.7064489	0.2338375	0.0895235	0.0317491	0.3968954	0.9972017	0.0619233	0.4467904	0.9999040	0.0076686	0.1102988	0.5205715	0.0908876	0.5743661

0	0.7372260	0.2451787	1.0000000	0.0510387	0.0384055	0.1005268	0.6563023	0.2265897	0.0873101	0.0317461	0.3881839	0.9967848	0.0618466	0.4434562	0.9998960	0.0076538	0.1095260	0.5083448	0.0853844	0.5677264
50	0.7372254	0.2451787	1.0000000	0.0204732	0.0384049	0.1419437	0.6562599	0.2265805	0.0873095	0.0317461	0.5650819	0.9967845	0.0618466	0.6503552	0.9998960	0.0076537	0.1095259	0.5083395	0.0853739	0.5677231
100	0.7372252	0.2451787	1.0000000	0.0082707	0.0384047	0.1564686	0.6562421	0.2265762	0.0873093	0.0317461	0.6168132	0.9967844	0.0618466	0.7334626	0.9998960	0.0076537	0.1095259	0.5083374	0.0853689	0.5677218
150	0.7372251	0.2451787	1.0000000	0.0033991	0.0384046	0.1615624	0.6562348	0.2265742	0.0873092	0.0317461	0.6319412	0.9967844	0.0618466	0.7668453	0.9998960	0.0076537	0.1095259	0.5083365	0.0853664	0.5677213
200	0.7372251	0.2451787	1.0000000	0.0014543	0.0384046	0.1633488	0.6562318	0.2265733	0.0873091	0.0317461	0.6363652	0.9967844	0.0618466	0.7802544	0.9998960	0.0076537	0.1095258	0.5083362	0.0853652	0.5677211
250	0.7372250	0.2451787	1.0000000	0.0006778	0.0384046	0.1639753	0.6562306	0.2265728	0.0873091	0.0317461	0.6376588	0.9967844	0.0618466	0.7856407	0.9998960	0.0076537	0.1095258	0.5083361	0.0853646	0.5677210
300	0.7372250	0.2451787	1.0000000	0.0003678	0.0384046	0.1641950	0.6562301	0.2265726	0.0873091	0.0317461	0.6380372	0.9967844	0.0618466	0.7878042	0.9998960	0.0076537	0.1095258	0.5083360	0.0853643	0.5677210
350	0.7372250	0.2451787	1.0000000	0.0002441	0.0384046	0.1642721	0.6562299	0.2265725	0.0873091	0.0317461	0.6381478	0.9967844	0.0618466	0.7886733	0.9998960	0.0076537	0.1095258	0.5083360	0.0853642	0.5677210
400	0.7372250	0.2451787	1.0000000	0.0001947	0.0384046	0.1642991	0.6562299	0.2265725	0.0873091	0.0317461	0.6381801	0.9967844	0.0618466	0.7890223	0.9998960	0.0076537	0.1095258	0.5083360	0.0853641	0.5677210
450	0.7372250	0.2451787	1.0000000	0.0001750	0.0384046	0.1643085	0.6562298	0.2265725	0.0873091	0.0317461	0.6381896	0.9967844	0.0618466	0.7891626	0.9998960	0.0076537	0.1095258	0.5083360	0.0853641	0.5677210
500	0.7372250	0.2451787	1.0000000	0.0001671	0.0384046	0.1643119	0.6562298	0.2265724	0.0873091	0.0317461	0.6381924	0.9967844	0.0618466	0.7892189	0.9998960	0.0076537	0.1095258	0.5083360	0.0853641	0.5677210
550	0.7372250	0.2451787	1.0000000	0.0307293	0.0384046	0.1228857	0.6562298	0.2265724	0.0873091	0.0317461	0.4612888	0.9967844	0.0618466	0.5823407	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
600	0.7372250	0.2451787	1.0000000	0.0429306	0.0384046	0.1083569	0.6562298	0.2265724	0.0873091	0.0317461	0.4095551	0.9967844	0.0618466	0.4992416	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
650	0.7372250	0.2451787	1.0000000	0.0478016	0.0384046	0.1032614	0.6562298	0.2265724	0.0873091	0.0317461	0.3944261	0.9967844	0.0618466	0.4658623	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
700	0.7372250	0.2451787	1.0000000	0.0497463	0.0384046	0.1014743	0.6562298	0.2265724	0.0873091	0.0317461	0.3900017	0.9967844	0.0618466	0.4524545	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
750	0.7372250	0.2451787	1.0000000	0.0505226	0.0384046	0.1008476	0.6562298	0.2265724	0.0873091	0.0317461	0.3887079	0.9967844	0.0618466	0.4470688	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
800	0.7372250	0.2451787	1.0000000	0.0508326	0.0384046	0.1006278	0.6562298	0.2265724	0.0873091	0.0317461	0.3883295	0.9967844	0.0618466	0.4449055	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
850	0.7372250	0.2451787	1.0000000	0.0509563	0.0384046	0.1005507	0.6562298	0.2265724	0.0873091	0.0317461	0.3882189	0.9967844	0.0618466	0.4440365	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
900	0.7372250	0.2451787	1.0000000	0.0510057	0.0384046	0.1005236	0.6562298	0.2265724	0.0873091	0.0317461	0.3881865	0.9967844	0.0618466	0.4436875	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
950	0.7372250	0.2451787	1.0000000	0.0510254	0.0384046	0.1005141	0.6562298	0.2265724	0.0873091	0.0317461	0.3881770	0.9967844	0.0618466	0.4435473	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210
1000	0.7372250	0.2451787	1.0000000	0.0510333	0.0384046	0.1005108	0.6562298	0.2265724	0.0873091	0.0317461	0.3881743	0.9967844	0.0618466	0.4434910	0.9998960	0.0076537	0.1095258	0.5083360	0.0853640	0.5677210

0	0.7372260	0.2451787	1.0000000	0.0510387	0.0384055	0.1005268	0.6563023	0.2265897	0.0873101	0.0317461	0.3881839	0.9967848	0.0618466	0.4434562	0.9998960	0.0076538	0.1095260	0.5083448	0.0853844	0.5677264
50	0.7325288	0.2341446	1.0000000	0.0510386	0.0380309	0.1978584	0.6512224	0.2256024	0.0866413	0.0317452	0.3879900	0.9967296	0.0618110	0.4424817	0.9999800	0.0076478	0.1084859	0.6747106	0.0846665	0.5671121
