"Time"	hyfR	fhlA	nsrR	feaR	hycB	hyfF	hyfH	hypC	hycG	hycF	hyfI	hyfJ	hypA	hycA	focB	hycE	hypE	hyfC	hypD	hyfA
500	0.6952453	0.4656510	0.5832426	0.0407226	0.2487091	0.4989064	0.6851119	0.4802330	0.3638734	0.0774143	0.4264547	0.8497231	0.1136290	0.3189110	0.7258469	0.0211238	0.2701782	0.6492980	0.0391272	0.4799191
550	0.6494378	0.4520406	0.7851581	0.0496211	0.1819273	0.5141300	0.7639212	0.4901692	0.3388889	0.0526203	0.4352380	0.6362936	0.0700414	0.4712514	0.6394999	0.0199567	0.2052879	0.6241890	0.1207084	0.4937372
600	0.7676368	0.2927065	0.6316278	0.0345119	0.1259094	0.4000519	0.7187792	0.4271032	0.3419729	0.0232968	0.3742219	0.7484022	0.0654114	0.4048798	0.7393949	0.0187252	0.1845730	0.6430062	0.1727024	0.5699615
650	0.5287078	0.2065214	0.7061132	0.0142776	0.1704351	0.3462586	0.6606590	0.3524397	0.2684425	0.0207250	0.3085923	0.6604601	0.0395990	0.3523320	0.7488191	0.0153535	0.1660088	0.5737521	0.1113976	0.5322826
700	0.7147628	0.1941151	0.7007383	0.0254911	0.0615813	0.2733285	0.6252368	0.2302957	0.1866543	0.0344876	0.2984250	0.7414377	0.0613000	0.3912670	0.7082637	0.0162238	0.0858439	0.6290309	0.2091618	0.4430897
750	0.6738504	0.2325838	0.6906105	0.0647328	0.0795030	0.2685695	0.7868342	0.2329590	0.1319385	0.0182380	0.4166442	0.7582260	0.0547993	0.2871587	0.7686668	0.0010326	0.0708759	0.5415368	0.1054105	0.4864821
800	0.5730524	0.2398630	0.7497084	0.0184035	0.0366582	0.1554006	0.7547546	0.2670025	0.0737540	0.0201669	0.3320445	0.8033054	0.0322499	0.2807556	0.7966305	0.0071843	0.0840182	0.4777484	0.0847035	0.4473884
850	0.5331393	0.2448916	0.6305921	0.0516737	0.0322584	0.1674704	0.6484325	0.2346667	0.1297069	0.0268707	0.2759626	0.5516784	0.0341594	0.3208656	0.5912173	0.0192125	0.0879931	0.5077194	0.1264600	0.4472315
900	0.5407940	0.2114331	0.7750941	0.0587644	0.0783695	0.1164894	0.7926293	0.2076372	0.0834452	0.0291631	0.2713910	0.7158487	0.0572012	0.3574019	0.7455684	0.0127479	0.0764271	0.4421304	0.0984523	0.4394039
950	0.5484360	0.2074291	0.7140791	0.0438500	0.0594895	0.2137442	0.6264630	0.2327425	0.0967734	0.0142541	0.3059114	0.7197899	0.0287434	0.3326309	0.7233165	0.0237266	0.0638429	0.3622131	0.0938649	0.3531746
1000	0.6147331	0.1800435	0.7791492	0.0201249	0.0351496	0.1259148	0.7744300	0.2094654	0.1005094	0.0198999	0.3116128	0.7566959	0.0378565	0.3644431	0.8228487	0.0348539	0.0720256	0.4367512	0.0506935	0.4511884

0	0.5779218	0.1875912	0.6201195	0.0255518	0.0129561	0.1070752	0.5015094	0.1674021	0.0475657	0.0185505	0.2653484	0.7491616	0.0575387	0.3691430	0.6701059	0.0071397	0.0502652	0.3719236	0.0546222	0.3728490
50	0.5908469	0.2675282	0.6409006	0.0071415	0.0063521	0.0824419	0.5512725	0.1838004	0.0946039	0.0238792	0.3154854	0.7236533	0.0562678	0.4952142	0.6810310	0.0071262	0.1188934	0.4015160	0.0608758	0.4447167
100	0.7137871	0.2035532	0.7097810	0.0019415	0.0604814	0.0956986	0.5969827	0.1673702	0.1000118	0.0236272	0.4648265	0.6554125	0.0473708	0.6523925	0.7762078	0.0053949	0.0971305	0.4672209	0.0843988	0.3748401
150	0.6278420	0.2148383	0.5771523	0.0025419	0.0246534	0.2676594	0.5719838	0.2362178	0.1325814	0.0457768	0.4367944	0.7444267	0.0181231	0.6597243	0.7778300	0.0076083	0.0657108	0.4209640	0.0931997	0.5368433
200	0.5258626	0.2203143	0.7223212	0.0016006	0.0229333	0.2502114	0.5987223	0.2569535	0.1315125	0.0443923	0.5089478	0.6953721	0.0637365	0.5970337	0.8479681	0.0031694	0.1104679	0.4810167	0.0767757	0.4322909
250	0.6513452	0.2836041	0.6275515	0.0023506	0.0292711	0.1712747	0.4877319	0.2171547	0.1035312	0.0285737	0.5405696	0.6808594	0.0563340	0.6584223	0.6660386	0.0032698	0.1317999	0.3338927	0.0860625	0.4590807
300	0.6136926	0.2486796	0.6093158	0.0009416	0.0251744	0.2819137	0.6212590	0.2104391	0.0971223	0.0322917	0.5149917	0.6574652	0.0580115	0.6860003	0.6710715	0.0170777	0.1093582	0.3985038	0.0584769	0.4389174
350	0.6809235	0.2863673	0.6683415	0.0002111	0.0248922	0.2668860	0.6403380	0.2529425	0.1066873	0.0153748	0.5179003	0.7218053	0.0683307	0.6017969	0.6967712	0.0010171	0.1075656	0.6103923	0.0469166	0.6648108
400	0.5990339	0.2265069	0.7525157	0.0050156	0.0418600	0.2422219	0.7863621	0.1662866	0.0827026	0.0236307	0.5400888	0.6158038	0.0470639	0.6577741	0.6824316	0.0006829	0.0740683	0.5099540	0.1297592	0.4273546
450	0.6260149	0.1126884	0.9029412	0.0000483	0.0538214	0.1300147	0.7251538	0.2054184	0.1145838	0.0168802	0.4873690	0.8820966	0.0215587	0.6650216	0.6691584	0.0265431	0.1150054	0.4821022	0.0769943	0.3824589
500	0.5208073	0.1909792	0.7237833	0.0002459	0.0533449	0.0945003	0.7805856	0.2193854	0.0874055	0.0364165	0.4764178	0.7184158	0.0552734	0.5150694	0.7562268	0.0047255	0.0710137	0.3747486	0.0950635	0.5001368
550	0.4885414	0.2179230	0.5985639	0.0115541	0.0232214	0.1356314	0.6406037	0.2154390	0.0650314	0.0268328	0.3330669	0.7021207	0.0880509	0.4234853	0.6305702	0.0100121	0.0979067	0.4113684	0.0754078	0.4221296
600	0.5400415	0.1979326	0.7674270	0.0248036	0.0276383	0.1887410	0.5285595	0.1641928	0.1024735	0.0184521	0.3121997	0.7397855	0.0528704	0.4423739	0.5853029	0.0071123	0.0683866	0.4821540	0.0554416	0.4340316
650	0.6277902	0.1568372	0.7227724	0.0282001	0.0386440	0.1229139	0.5163573	0.1786509	0.1025401	0.0100057	0.3866279	0.6477984	0.0494199	0.4090454	0.6768889	0.0166673	0.0680022	0.4652689	0.0665766	0.3843742
700	0.6645578	0.1626942	0.6220167	0.0460581	0.0283369	0.1400339	0.6461337	0.1566673	0.0693181	0.0268600	0.4031954	0.7012090	0.0470397	0.4357326	0.6871289	0.0054493	0.0843297	0.3419479	0.1079980	0.4275568
750	0.5861391	0.1325874	0.7200680	0.0418804	0.0295765	0.0893816	0.4538471	0.1665269	0.0767372	0.0185062	0.3181652	0.8120617	0.0700819	0.3058122	0.8414388	0.0029961	0.0680961	0.3981962	0.0980926	0.4045015
800	0.5240314	0.1317868	0.7017736	0.0336238	0.0714217	0.1320084	0.5566173	0.1917241	0.0576906	0.0388709	0.3410814	0.6290395	0.0401307	0.4033014	0.7322725	0.0012799	0.1069197	0.4801509	0.0615721	0.4695767
850	0.4981696	0.1627369	0.7172205	0.0159940	0.0429895	0.0941243	0.6461317	0.2109635	0.0501716	0.0286873	0.3635650	0.6623526	0.1102783	0.3122726	0.7889934	0.0013279	0.0691571	0.5067867	0.0618453	0.3437852
900	0.5814325	0.1365705	0.7201232	0.0256433	0.0293632	0.0956381	0.6403754	0.2099451	0.0748163	0.0455615	0.2785488	0.8912096	0.0538922	0.3211593	0.6574910	0.0177995	0.1203670	0.3370950	0.0679422	0.4120263
950	0.4795390	0.1417359	0.6205275	0.0443418	0.0113365	0.0765916	0.5207948	0.1303611	0.0533962	0.0133580	0.2922127	0.7982559	0.0321071	0.4005003	0.8143037	0.0112198	0.0993113	0.3535343	0.0378680	0.4255181
1000	0.5761120	0.2179693	0.6610416	0.0540836	0.0155087	0.0931242	0.4608343	0.1748459	0.0595578	0.0275985	0.4492993	0.7639178	0.0474187	0.3050897	0.8593323	0.0036097	0.0782455	0.4527954	0.0594299	0.5555813

0	0.5711344	0.1398176	0.6449893	0.0127988	0.0157378	0.0641721	0.3915230	0.1570871	0.0474895	0.0298693	0.2286370	0.8392209	0.0494904	0.2799724	0.7326132	0.0120835	0.0588516	0.3359471	0.0948173	0.5466847
50	0.5428648	0.1195274	0.7308016	0.0230443	0.0402142	0.1536534	0.3693045	0.0995246	0.0446697	0.0230639	0.2793204	0.7395483	0.0251152	0.3317376	0.7591568	0.0029566	0.0659343	0.4179653	0.0376127	0.3176608
100	0.7305507	0.1819613	0.6886228	0.0200016	0.0198380	0.1469920	0.5562885	0.2045801	0.0559255	0.0154358	0.2832097	0.6352995	0.0383012	0.3468321	0.8250702	0.0015553	0.0457661	0.5317094	0.0697653	0.4712166
150	0.5169489	0.2267494	0.7236909	0.0168587	0.0242719	0.1665367	0.4783449	0.2151846	0.0677026	0.0376696	0.3208813	0.8539252	0.0279238	0.2562532	0.6519623	0.0146477	0.0878150	0.5772326	0.0523658	0.4296212
200	0.5729547	0.2566630	0.7257208	0.0351436	0.0388040	0.2612201	0.6713362	0.2128211	0.0832726	0.0335258	0.3563333	0.6308497	0.0368670	0.3647302	0.6966658	0.0090601	0.0926046	0.4922187	0.1113430	0.4048404
250	0.5691513	0.1884779	0.7592914	0.0276559	0.0411171	0.2294226	0.4957523	0.2062605	0.0366253	0.0291824	0.2287659	0.7906940	0.0412915	0.2532792	0.7053213	0.0149406	0.0881174	0.5889047	0.0575124	0.5599397
300	0.4976954	0.1738419	0.6813253	0.0312753	0.0610633	0.1738384	0.6001396	0.1487392	0.0563198	0.0132613	0.3024916	0.6805983	0.0414339	0.2852827	0.6853815	0.0089483	0.0598462	0.5188506	0.0561699	0.3254966
350	0.5457718	0.2173272	0.7048452	0.0527860	0.0578929	0.1843273	0.3978882	0.2015727	0.0705452	0.0290224	0.2692420	0.7894972	0.0469331	0.2546621	0.8847701	0.0160715	0.0406093	0.5309122	0.0410942	0.3834496
400	0.5285115	0.1415485	0.6274846	0.0533534	0.0096567	0.1846009	0.4462507	0.1672621	0.0524904	0.0326448	0.2077064	0.7231087	0.1026290	0.2886147	0.7890923	0.0053086	0.0901945	0.5280289	0.0669284	0.5062731
450	0.5077389	0.1129370	0.7188076	0.0664242	0.0321821	0.1315833	0.3494467	0.1588591	0.0457133	0.0176694	0.2547142	0.8210504	0.0419792	0.2931253	0.7352878	0.0103539	0.1001351	0.5025304	0.0305266	0.4421570
500	0.5151743	0.1177411	0.6749505	0.0381316	0.0299365	0.1882253	0.2742645	0.1480954	0.0695946	0.0125520	0.2298711	0.6614956	0.0237631	0.3642188	0.8012121	0.0161551	0.0456656	0.4260012	0.0311103	0.4286398
550	0.4937928	0.1755131	0.6653344	0.0247106	0.0297505	0.0969182	0.2169586	0.0879187	0.0351157	0.0432715	0.2640562	0.7941214	0.0286873	0.2545848	0.8252807	0.0059533	0.0919780	0.3521878	0.0247279	0.4305720
600	0.4871674	0.1843831	0.8505836	0.0386098	0.0235193	0.0461713	0.2585459	0.1115559	0.0779586	0.0455569	0.2153624	0.6979936	0.0274152	0.3398436	0.6856866	0.0051808	0.0724404	0.2775230	0.0415241	0.4422247
650	0.5126671	0.1697758	0.5585715	0.0220248	0.0292308	0.0438929	0.3614231	0.1536114	0.0794822	0.0150453	0.2940382	0.8470044	0.0534493	0.3066636	0.7666848	0.0033712	0.1105079	0.3235367	0.0515225	0.3404612
700	0.4569618	0.3078307	0.5879564	0.0454514	0.0144521	0.0537760	0.3131782	0.1721325	0.0310702	0.0226579	0.2223551	0.7883768	0.0739943	0.4678314	0.7034704	0.0164279	0.0776635	0.2995327	0.0501901	0.4013729
750	0.4746443	0.2096765	0.6432067	0.0480079	0.0288183	0.0824746	0.4670341	0.1341256	0.1022332	0.0210730	0.2882770	0.7767451	0.0315469	0.2593061	0.7060067	0.0035391	0.0756605	0.3569199	0.0950376	0.3788145
800	0.6700138	0.1579322	0.7179039	0.0346169	0.0273848	0.0870220	0.5984586	0.2475893	0.0946835	0.0263835	0.2849757	0.6359896	0.0338994	0.2836431	0.8658276	0.0032750	0.0814860	0.4419669	0.0502544	0.5782778
850	0.6184518	0.1409745	0.7401465	0.0701812	0.0343099	0.0829010	0.6485987	0.1735091	0.1045914	0.0278851	0.2286331	0.7365159	0.0505254	0.2546087	0.6807713	0.0115131	0.1004010	0.4331832	0.0640872	0.3950478
900	0.6678784	0.1533884	0.8614575	0.0349176	0.0523592	0.0715879	0.6689830	0.2506642	0.0518242	0.0283113	0.4001059	0.6414437	0.0636489	0.3627624	0.8070401	0.0082371	0.0810295	0.3808269	0.0704698	0.3964534
950	0.6038544	0.1682526	0.6555225	0.0492834	0.0192064	0.1151802	0.5191372	0.2503399	0.0738501	0.0284454	0.2868684	0.7476368	0.0378629	0.3510996	0.6368699	0.0130779	0.0881084	0.3473440	0.0817670	0.5116542
1000	0.4156131	0.1601744	0.7459549	0.0302519	0.0268583	0.0698231	0.5012841	0.1241499	0.0325059	0.0375943	0.2277859	0.5941537	0.0370919	0.3752684	0.6529304	0.0162400	0.0716905	0.3374769	0.0571791	0.4140867

0	0.5643474	0.1783222	0.7781952	0.0240748	0.0303511	0.0591728	0.3219617	0.0759660	0.0412064	0.0206482	0.2612169	0.6333853	0.0318767	0.3839725	0.8396546	0.0068127	0.0909004	0.3856550	0.0696355	0.4223379
50	0.5172184	0.2215339	0.6772331	0.0356802	0.0477285	0.0746940	0.4106043	0.1599195	0.1029784	0.2055490	0.3107701	0.6753310	0.0379826	0.3477373	0.7556471	0.0140170	0.0587590	0.3531507	0.0658588	0.6660954
100	0.6003755	0.1411586	0.6698836	0.0402782	0.0234633	0.0701132	0.4303649	0.2031250	0.0541802	0.2309321	0.2152179	0.6808131	0.0588923	0.2899060	0.7752171	0.0105733	0.1303716	0.4150285	0.0421683	0.8381010
150	0.5212420	0.1571320	0.6981262	0.0624044	0.0127079	0.0381670	0.4859428	0.1524793	0.0423568	0.2379692	0.2973410	0.6719339	0.0392273	0.4812308	0.7261720	0.0117249	0.0777772	0.2962526	0.0806267	0.7441485
200	0.4949404	0.1793494	0.6811896	0.0631480	0.0175928	0.0638396	0.2263380	0.1058676	0.0618637	0.1987954	0.2662143	0.9192240	0.0347998	0.2845260	0.6207327	0.0154505	0.0647756	0.2774362	0.0296286	0.7234969
250	0.4885918	0.0916281	0.6867823	0.0676057	0.0317017	0.0891928	0.3025632	0.1548323	0.0621364	0.1672497	0.2560821	0.7024011	0.0262470	0.2545329	0.6352496	0.0006028	0.1024622	0.2744238	0.0517352	0.6945419
300	0.4361205	0.1317111	0.7576271	0.0570215	0.0163063	0.0522539	0.2728731	0.1303531	0.0401263	0.2485742	0.2536956	0.6499131	0.0497748	0.2414487	0.6676977	0.0069414	0.0753574	0.3281211	0.0473438	0.6694657
